scope,variant_id,exit_reason,trade_count,net_pnl,return_on_initial_equity,win_rate,profit_factor,median_bars_held
STANDALONE,DAILY_PULLBACK_RECLAIM,HARD_STOP,18,-13265.242447240897,-0.13265242447240896,0.0,0.0,141.0
STANDALONE,DAILY_PULLBACK_RECLAIM,TIME_EXIT,6,4997.919855861159,0.04997919855861159,0.8333333333333334,25.338575432712588,480.0
STANDALONE,DAILY_PULLBACK_RECLAIM,TRAILING_STOP,10,22897.01597072845,0.22897015970728452,0.8,602.9025855739397,231.0
OVERLAY_NEW,DAILY_PULLBACK_RECLAIM,HARD_STOP,11,-7916.129571984008,-0.07916129571984008,0.0,0.0,77.0
OVERLAY_NEW,DAILY_PULLBACK_RECLAIM,TIME_EXIT,2,2193.845791991295,0.02193845791991295,0.5,11.683460886933142,480.0
STANDALONE,DAILY_COMPRESSION_BREAKOUT,HARD_STOP,16,-11739.145208757525,-0.11739145208757526,0.0,0.0,92.5
STANDALONE,DAILY_COMPRESSION_BREAKOUT,TIME_EXIT,7,6306.080637764354,0.06306080637764354,0.8571428571428571,17.53557559494327,672.0
STANDALONE,DAILY_COMPRESSION_BREAKOUT,TRAILING_STOP,13,17497.004718379558,0.17497004718379558,1.0,,391.0
OVERLAY_NEW,DAILY_COMPRESSION_BREAKOUT,HARD_STOP,13,-9408.595654205632,-0.09408595654205631,0.0,0.0,90.0
OVERLAY_NEW,DAILY_COMPRESSION_BREAKOUT,TIME_EXIT,1,168.3703756060128,0.001683703756060128,1.0,,336.0
OVERLAY_NEW,DAILY_COMPRESSION_BREAKOUT,TRAILING_STOP,1,4235.185003733064,0.04235185003733064,1.0,,191.0
STANDALONE,WEEKLY_TREND_ACCELERATION,HARD_STOP,6,-3823.3539613062003,-0.038233539613062,0.0,0.0,238.5
STANDALONE,WEEKLY_TREND_ACCELERATION,TIME_EXIT,1,-237.81818663917946,-0.0023781818663917947,0.0,0.0,1080.0
STANDALONE,WEEKLY_TREND_ACCELERATION,TRAILING_STOP,4,4766.934090735749,0.04766934090735749,0.75,277.40350814897346,426.5
OVERLAY_NEW,WEEKLY_TREND_ACCELERATION,HARD_STOP,4,-2544.9014909677444,-0.025449014909677443,0.0,0.0,189.5
OVERLAY_NEW,WEEKLY_TREND_ACCELERATION,TRAILING_STOP,1,-17.246286498529205,-0.00017246286498529204,0.0,0.0,306.0
STANDALONE,CROSS_SECTIONAL_LEADER_PULLBACK,HARD_STOP,45,-34076.76713321401,-0.3407676713321401,0.0,0.0,160.0
STANDALONE,CROSS_SECTIONAL_LEADER_PULLBACK,TIME_EXIT,10,13323.973290142636,0.13323973290142635,0.8,13.78953206137117,720.0
STANDALONE,CROSS_SECTIONAL_LEADER_PULLBACK,TRAILING_STOP,27,34016.28380797725,0.3401628380797725,0.8888888888888888,931.0066935660165,207.0
OVERLAY_NEW,CROSS_SECTIONAL_LEADER_PULLBACK,HARD_STOP,33,-24927.412460552132,-0.2492741246055213,0.0,0.0,107.0
OVERLAY_NEW,CROSS_SECTIONAL_LEADER_PULLBACK,TIME_EXIT,2,-917.6442629492003,-0.009176442629492004,0.0,0.0,492.0
OVERLAY_NEW,CROSS_SECTIONAL_LEADER_PULLBACK,TRAILING_STOP,13,17159.536388914585,0.17159536388914584,1.0,,168.0
STANDALONE,DEEP_PULLBACK_RECOVERY,HARD_STOP,45,-34025.93711288791,-0.34025937112887905,0.0,0.0,164.0
STANDALONE,DEEP_PULLBACK_RECOVERY,TIME_EXIT,32,17498.13950542678,0.17498139505426782,0.6875,7.504766669586836,480.0
STANDALONE,DEEP_PULLBACK_RECOVERY,TRAILING_STOP,14,25980.02338014262,0.2598002338014262,1.0,,325.5
OVERLAY_NEW,DEEP_PULLBACK_RECOVERY,HARD_STOP,26,-19589.75163937477,-0.1958975163937477,0.0,0.0,78.0
OVERLAY_NEW,DEEP_PULLBACK_RECOVERY,TIME_EXIT,10,774.2204563337161,0.007742204563337162,0.4,1.3614626111119215,480.0
OVERLAY_NEW,DEEP_PULLBACK_RECOVERY,TRAILING_STOP,6,9947.691310912822,0.09947691310912822,1.0,,254.0
OVERLAY_NEW,ALL_RD16T_LONG_HORIZON_HYPOTHESES_OVERLAY,HARD_STOP,64,-47058.52164331995,-0.4705852164331995,0.0,0.0,91.5
OVERLAY_NEW,ALL_RD16T_LONG_HORIZON_HYPOTHESES_OVERLAY,TIME_EXIT,7,1234.3177114331927,0.012343177114331926,0.42857142857142855,1.835782326844655,480.0
OVERLAY_NEW,ALL_RD16T_LONG_HORIZON_HYPOTHESES_OVERLAY,TRAILING_STOP,16,24892.25272821892,0.2489225272821892,0.9375,1444.3398592990893,238.5
