gate,passed,scope,universe_id
two_x_maximum_drawdown_maximum,False,WORST_UNIVERSE_ECONOMIC_GATE,C2
two_x_net_return_strictly_positive,False,WORST_UNIVERSE_ECONOMIC_GATE,C2
two_x_profit_factor_minimum,False,WORST_UNIVERSE_ECONOMIC_GATE,C2
both_engines_positive,False,WORST_UNIVERSE_ECONOMIC_GATE,D2
one_x_positive_active_year_fraction_minimum,False,WORST_UNIVERSE_ECONOMIC_GATE,D2
top_engine_profit_share_maximum,False,WORST_UNIVERSE_ECONOMIC_GATE,D2
two_x_maximum_drawdown_maximum,False,WORST_UNIVERSE_ECONOMIC_GATE,D2
two_x_net_return_strictly_positive,False,WORST_UNIVERSE_ECONOMIC_GATE,D2
two_x_profit_factor_minimum,False,WORST_UNIVERSE_ECONOMIC_GATE,D2
one_x_profit_factor_minimum,False,WORST_UNIVERSE_ECONOMIC_GATE,E2
top_engine_profit_share_maximum,False,WORST_UNIVERSE_ECONOMIC_GATE,E2
two_x_maximum_drawdown_maximum,False,WORST_UNIVERSE_ECONOMIC_GATE,E2
two_x_net_return_strictly_positive,False,WORST_UNIVERSE_ECONOMIC_GATE,E2
two_x_profit_factor_minimum,False,WORST_UNIVERSE_ECONOMIC_GATE,E2
