decision_code,outcome,precedence_order,selected,triggered
RD18_P3E_REJECTED_TECHNICAL_INVALIDITY,TECHNICAL_INVALIDITY,1,False,False
RD18_P3E_REJECTED_WORST_UNIVERSE_ECONOMIC_FAILURE,WORST_UNIVERSE_ECONOMIC_FAILURE,2,True,True
RD18_P3E_REJECTED_CROSS_UNIVERSE_ROBUSTNESS_FAILURE,CROSS_UNIVERSE_ROBUSTNESS_FAILURE,3,False,False
RD18_P3E_REJECTED_SENSITIVITY_CONCENTRATION_FAILURE,SENSITIVITY_CONCENTRATION_FAILURE,4,False,False
RD18_P3E_ROBUST_BUT_STRATEGIC_OBJECTIVE_UNMET,ROBUST_BUT_STRATEGIC_OBJECTIVE_UNMET,5,False,False
RD18_P3E_ADVANCEMENT_ELIGIBLE,ROBUST_AND_STRATEGIC_OBJECTIVE_MET,6,False,False
