decision_time,pair,canonical_asset_id,c_rank,d_rank,worst_rank,best_rank,presence_count,c_liquidity,d_liquidity,provenance_category
2019-01-07T00:00:00+00:00,BTC-USDT,BTC,1,1,1,1,2,820038.1544712749,820038.1544712749,MULTI_CHANNEL_CONFIRMED
2019-01-07T00:00:00+00:00,ETH-USDT,ETH,2,2,2,2,2,601705.1474354051,601705.1474354051,MULTI_CHANNEL_CONFIRMED
2019-01-14T00:00:00+00:00,ETH-USDT,ETH,1,1,1,1,2,670552.34001061,670552.34001061,MULTI_CHANNEL_CONFIRMED
2019-01-14T00:00:00+00:00,BTC-USDT,BTC,2,2,2,2,2,660499.97190578,660499.97190578,MULTI_CHANNEL_CONFIRMED
2019-01-21T00:00:00+00:00,ETH-USDT,ETH,1,1,1,1,2,480636.03573131503,480636.03573131503,MULTI_CHANNEL_CONFIRMED
2019-01-21T00:00:00+00:00,BTC-USDT,BTC,2,2,2,2,2,445680.624223835,445680.624223835,MULTI_CHANNEL_CONFIRMED
2019-01-28T00:00:00+00:00,BTC-USDT,BTC,1,1,1,1,2,382179.4231143,382179.4231143,MULTI_CHANNEL_CONFIRMED
2019-01-28T00:00:00+00:00,ETH-USDT,ETH,2,2,2,2,2,325174.202771435,325174.202771435,MULTI_CHANNEL_CONFIRMED
2019-02-04T00:00:00+00:00,BTC-USDT,BTC,1,1,1,1,2,360571.643931175,360571.643931175,MULTI_CHANNEL_CONFIRMED
2019-02-04T00:00:00+00:00,ETH-USDT,ETH,2,2,2,2,2,244894.88075320495,244894.88075320495,MULTI_CHANNEL_CONFIRMED
2019-02-11T00:00:00+00:00,BTC-USDT,BTC,1,1,1,1,2,316592.414482565,316592.414482565,MULTI_CHANNEL_CONFIRMED
2019-02-11T00:00:00+00:00,ETH-USDT,ETH,2,2,2,2,2,161999.66748997,161999.66748997,MULTI_CHANNEL_CONFIRMED
2019-02-18T00:00:00+00:00,BTC-USDT,BTC,1,1,1,1,2,287163.59042180504,287163.59042180504,MULTI_CHANNEL_CONFIRMED
2019-02-18T00:00:00+00:00,ETH-USDT,ETH,2,2,2,2,2,143462.580929135,143462.580929135,MULTI_CHANNEL_CONFIRMED
2019-02-25T00:00:00+00:00,BTC-USDT,BTC,1,1,1,1,2,283138.2569164155,283138.2569164155,MULTI_CHANNEL_CONFIRMED
2019-02-25T00:00:00+00:00,ETH-USDT,ETH,2,2,2,2,2,143462.580929135,143462.580929135,MULTI_CHANNEL_CONFIRMED
2019-03-04T00:00:00+00:00,BTC-USDT,BTC,1,1,1,1,2,246549.3341642785,246549.3341642785,MULTI_CHANNEL_CONFIRMED
2019-03-04T00:00:00+00:00,ETH-USDT,ETH,2,2,2,2,2,155895.931214935,155895.931214935,MULTI_CHANNEL_CONFIRMED
2019-03-11T00:00:00+00:00,BTC-USDT,BTC,1,1,1,1,2,344965.7998743532,344965.7998743532,MULTI_CHANNEL_CONFIRMED
2019-03-11T00:00:00+00:00,ETH-USDT,ETH,2,2,2,2,2,247765.7829662969,247765.7829662969,MULTI_CHANNEL_CONFIRMED
2019-03-11T00:00:00+00:00,KCS-USDT,KCS,3,3,3,3,2,145850.80812008135,145850.80812008135,MULTI_CHANNEL_CONFIRMED
2019-03-18T00:00:00+00:00,BTC-USDT,BTC,1,1,1,1,2,433734.64069128106,433734.64069128106,MULTI_CHANNEL_CONFIRMED
2019-03-18T00:00:00+00:00,ETH-USDT,ETH,2,2,2,2,2,260541.98707758295,260541.98707758295,MULTI_CHANNEL_CONFIRMED
2019-03-18T00:00:00+00:00,KCS-USDT,KCS,3,3,3,3,2,185458.58933547232,185458.58933547232,MULTI_CHANNEL_CONFIRMED
2019-03-18T00:00:00+00:00,LTC-USDT,LTC,5,4,5,4,2,10723.809821641658,10723.809821641658,MULTI_CHANNEL_CONFIRMED
2019-03-18T00:00:00+00:00,XRP-USDT,XRP,6,5,6,5,2,9041.001287411767,9041.001287411767,MULTI_CHANNEL_CONFIRMED
2019-03-18T00:00:00+00:00,TRX-USDT,TRX,8,6,8,6,2,2668.514349979304,2668.514349979304,MULTI_CHANNEL_CONFIRMED
2019-03-25T00:00:00+00:00,BTC-USDT,BTC,1,1,1,1,2,495752.67703669687,495752.67703669687,MULTI_CHANNEL_CONFIRMED
2019-03-25T00:00:00+00:00,ETH-USDT,ETH,2,2,2,2,2,273615.9903550064,273615.9903550064,MULTI_CHANNEL_CONFIRMED
2019-03-25T00:00:00+00:00,KCS-USDT,KCS,3,3,3,3,2,235549.37498894188,235549.37498894188,MULTI_CHANNEL_CONFIRMED
2019-03-25T00:00:00+00:00,LTC-USDT,LTC,4,4,4,4,2,10723.809821641658,10723.809821641658,MULTI_CHANNEL_CONFIRMED
2019-03-25T00:00:00+00:00,XRP-USDT,XRP,6,5,6,5,2,8189.907229361197,8189.907229361197,MULTI_CHANNEL_CONFIRMED
2019-03-25T00:00:00+00:00,TRX-USDT,TRX,8,6,8,6,2,3605.9503833018016,3605.9503833018016,MULTI_CHANNEL_CONFIRMED
