decision_time,year,metric,post_warmup,c_slot_count,d_slot_count,intersection_size,union_size,symmetric_difference_size,substitution_count,c_only_count,d_only_count,jaccard,shared_slot_percentage,exact_match,c_only_assets,d_only_assets
2019-10-21T00:00:00+00:00,2019,TOP_4,True,4,4,4,4,0,0.0,0,0,1.0,1.0,True,,
2019-10-21T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-10-21T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;CHR-USDT,ALGO-USDT;ARPA-USDT
2019-10-21T00:00:00+00:00,2019,TOP_10,True,10,10,7,13,6,3.0,3,3,0.5384615384615384,0.7,False,BCHSV-USDT;CHR-USDT;COTI-USDT,ARPA-USDT;ATOM-USDT;BNB-USDT
2019-10-21T00:00:00+00:00,2019,TOP_30,True,27,14,14,27,13,13.0,13,0,0.5185185185185185,0.5185185185185185,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,
2019-10-21T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-10-28T00:00:00+00:00,2019,TOP_4,True,4,4,4,4,0,0.0,0,0,1.0,1.0,True,,
2019-10-28T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-10-28T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;CHR-USDT,ALGO-USDT;ARPA-USDT
2019-10-28T00:00:00+00:00,2019,TOP_10,True,10,10,7,13,6,3.0,3,3,0.5384615384615384,0.7,False,BCHSV-USDT;CHR-USDT;TEL-USDT,ARPA-USDT;ATOM-USDT;BNB-USDT
2019-10-28T00:00:00+00:00,2019,TOP_30,True,27,14,14,27,13,13.0,13,0,0.5185185185185185,0.5185185185185185,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,
2019-10-28T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-11-04T00:00:00+00:00,2019,TOP_4,True,4,4,4,4,0,0.0,0,0,1.0,1.0,True,,
2019-11-04T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
2019-11-04T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;CHR-USDT,ALGO-USDT;ARPA-USDT
2019-11-04T00:00:00+00:00,2019,TOP_10,True,10,10,7,13,6,3.0,3,3,0.5384615384615384,0.7,False,BCHSV-USDT;CHR-USDT;COTI-USDT,ARPA-USDT;ATOM-USDT;BNB-USDT
2019-11-04T00:00:00+00:00,2019,TOP_30,True,28,15,15,28,13,13.0,13,0,0.5357142857142857,0.5357142857142857,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,
2019-11-04T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-11-11T00:00:00+00:00,2019,TOP_4,True,4,4,4,4,0,0.0,0,0,1.0,1.0,True,,
2019-11-11T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
2019-11-11T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;COTI-USDT,ALGO-USDT;ARPA-USDT
2019-11-11T00:00:00+00:00,2019,TOP_10,True,10,10,7,13,6,3.0,3,3,0.5384615384615384,0.7,False,BCHSV-USDT;CHR-USDT;COTI-USDT,ARPA-USDT;ATOM-USDT;BNB-USDT
2019-11-11T00:00:00+00:00,2019,TOP_30,True,29,16,16,29,13,13.0,13,0,0.5517241379310345,0.5517241379310345,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,
2019-11-11T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-11-18T00:00:00+00:00,2019,TOP_4,True,4,4,4,4,0,0.0,0,0,1.0,1.0,True,,
2019-11-18T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
2019-11-18T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;COTI-USDT,ALGO-USDT;ARPA-USDT
2019-11-18T00:00:00+00:00,2019,TOP_10,True,10,10,6,14,8,4.0,4,4,0.42857142857142855,0.6,False,BCHSV-USDT;COTI-USDT;MTV-USDT;NEO-USDT,ALGO-USDT;ARPA-USDT;ATOM-USDT;BNB-USDT
2019-11-18T00:00:00+00:00,2019,TOP_30,True,29,16,16,29,13,13.0,13,0,0.5517241379310345,0.5517241379310345,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,
2019-11-18T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-11-25T00:00:00+00:00,2019,TOP_4,True,4,4,4,4,0,0.0,0,0,1.0,1.0,True,,
2019-11-25T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
2019-11-25T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;COTI-USDT,ARPA-USDT;BNB-USDT
2019-11-25T00:00:00+00:00,2019,TOP_10,True,10,10,6,14,8,4.0,4,4,0.42857142857142855,0.6,False,BCHSV-USDT;COTI-USDT;NEO-USDT;VET-USDT,ADA-USDT;ALGO-USDT;ARPA-USDT;BNB-USDT
2019-11-25T00:00:00+00:00,2019,TOP_30,True,30,17,17,30,13,13.0,13,0,0.5666666666666667,0.5666666666666667,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,
2019-11-25T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-12-02T00:00:00+00:00,2019,TOP_4,True,4,4,4,4,0,0.0,0,0,1.0,1.0,True,,
2019-12-02T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
2019-12-02T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;COTI-USDT,ARPA-USDT;ATOM-USDT
2019-12-02T00:00:00+00:00,2019,TOP_10,True,10,10,6,14,8,4.0,4,4,0.42857142857142855,0.6,False,BCHSV-USDT;COTI-USDT;NEO-USDT;VET-USDT,ADA-USDT;ARPA-USDT;ATOM-USDT;BNB-USDT
2019-12-02T00:00:00+00:00,2019,TOP_30,True,30,17,17,30,13,13.0,13,0,0.5666666666666667,0.5666666666666667,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,
2019-12-02T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-12-09T00:00:00+00:00,2019,TOP_4,True,4,4,4,4,0,0.0,0,0,1.0,1.0,True,,
2019-12-09T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
2019-12-09T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;COTI-USDT,ADA-USDT;ATOM-USDT
2019-12-09T00:00:00+00:00,2019,TOP_10,True,10,10,6,14,8,4.0,4,4,0.42857142857142855,0.6,False,BCHSV-USDT;COTI-USDT;NEO-USDT;VET-USDT,ADA-USDT;ALGO-USDT;ATOM-USDT;BNB-USDT
2019-12-09T00:00:00+00:00,2019,TOP_30,True,30,18,17,31,14,14.0,13,1,0.5483870967741935,0.5666666666666667,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,XEM-USDT
2019-12-09T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-12-16T00:00:00+00:00,2019,TOP_4,True,4,4,4,4,0,0.0,0,0,1.0,1.0,True,,
2019-12-16T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
2019-12-16T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;COTI-USDT,ALGO-USDT;ATOM-USDT
2019-12-16T00:00:00+00:00,2019,TOP_10,True,10,10,7,13,6,3.0,3,3,0.5384615384615384,0.7,False,BCHSV-USDT;COTI-USDT;VET-USDT,ALGO-USDT;ARPA-USDT;BNB-USDT
2019-12-16T00:00:00+00:00,2019,TOP_30,True,30,18,17,31,14,14.0,13,1,0.5483870967741935,0.5666666666666667,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,XEM-USDT
2019-12-16T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-12-23T00:00:00+00:00,2019,TOP_4,True,4,4,4,4,0,0.0,0,0,1.0,1.0,True,,
2019-12-23T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
2019-12-23T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;COTI-USDT,ALGO-USDT;ATOM-USDT
2019-12-23T00:00:00+00:00,2019,TOP_10,True,10,10,7,13,6,3.0,3,3,0.5384615384615384,0.7,False,BCHSV-USDT;COTI-USDT;VET-USDT,ALGO-USDT;BNB-USDT;XTZ-USDT
2019-12-23T00:00:00+00:00,2019,TOP_30,True,30,18,17,31,14,14.0,13,1,0.5483870967741935,0.5666666666666667,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,XEM-USDT
2019-12-23T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2019-12-30T00:00:00+00:00,2019,TOP_4,True,4,4,3,5,2,1.0,1,1,0.6,0.75,False,BCHSV-USDT,XRP-USDT
2019-12-30T00:00:00+00:00,2019,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
2019-12-30T00:00:00+00:00,2019,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;COTI-USDT,ALGO-USDT;ATOM-USDT
2019-12-30T00:00:00+00:00,2019,TOP_10,True,10,10,7,13,6,3.0,3,3,0.5384615384615384,0.7,False,BCHSV-USDT;COTI-USDT;VET-USDT,ALGO-USDT;ARPA-USDT;XTZ-USDT
2019-12-30T00:00:00+00:00,2019,TOP_30,True,30,18,17,31,14,14.0,13,1,0.5483870967741935,0.5666666666666667,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,XEM-USDT
2019-12-30T00:00:00+00:00,2019,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2020-01-06T00:00:00+00:00,2020,TOP_4,True,4,4,3,5,2,1.0,1,1,0.6,0.75,False,BCHSV-USDT,XRP-USDT
2020-01-06T00:00:00+00:00,2020,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
2020-01-06T00:00:00+00:00,2020,TOP_8,True,8,8,6,10,4,2.0,2,2,0.6,0.75,False,BCHSV-USDT;COTI-USDT,ALGO-USDT;ATOM-USDT
2020-01-06T00:00:00+00:00,2020,TOP_10,True,10,10,6,14,8,4.0,4,4,0.42857142857142855,0.6,False,BCHSV-USDT;COTI-USDT;ETC-USDT;VET-USDT,ALGO-USDT;ARPA-USDT;ATOM-USDT;XTZ-USDT
2020-01-06T00:00:00+00:00,2020,TOP_30,True,30,18,17,31,14,14.0,13,1,0.5483870967741935,0.5666666666666667,False,AVA-USDT;BCHSV-USDT;CHR-USDT;COTI-USDT;ETC-USDT;ETN-USDT;MTV-USDT;NEO-USDT;ONT-USDT;SNX-USDT;TEL-USDT;VET-USDT;XLM-USDT,XEM-USDT
2020-01-06T00:00:00+00:00,2020,HYSTERESIS,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,TRX-USDT
2020-01-13T00:00:00+00:00,2020,TOP_4,True,4,4,3,5,2,1.0,1,1,0.6,0.75,False,BCHSV-USDT,XRP-USDT
2020-01-13T00:00:00+00:00,2020,TOP_6,True,6,6,5,7,2,1.0,1,1,0.7142857142857143,0.8333333333333334,False,BCHSV-USDT,LTC-USDT
