metric,period,total_weeks,zero_substitution_weeks,one_substitution_weeks,two_substitution_weeks,three_or_more_substitution_weeks,mean_substitutions,median_substitutions
TOP_4,FULL,313,257,55,1,0,0.18210862619808307,0.0
TOP_4,POST_WARMUP,301,248,53,0,0,0.1760797342192691,0.0
TOP_6,FULL,313,156,147,10,0,0.5335463258785943,1.0
TOP_6,POST_WARMUP,301,148,144,9,0,0.5382059800664452,1.0
TOP_8,FULL,313,112,106,89,6,0.9712460063897763,1.0
TOP_8,POST_WARMUP,301,104,105,86,6,0.9867109634551495,1.0
TOP_10,FULL,313,77,84,82,70,1.6070287539936101,1.0
TOP_10,POST_WARMUP,301,69,83,81,68,1.6345514950166113,1.0
TOP_30,FULL,313,8,26,36,243,6.801916932907348,5.0
TOP_30,POST_WARMUP,301,0,25,35,241,7.016611295681063,5.0
HYSTERESIS,FULL,313,125,165,23,0,0.6741214057507987,1.0
HYSTERESIS,POST_WARMUP,301,117,162,22,0,0.6843853820598007,1.0
