architecture_id,regime_type,regime,trade_count,net_pnl,return_on_initial_equity,win_rate,profit_factor,average_r,median_r,average_mfe_r,average_mae_r,average_holding_bars
COMPOSITE_ALPHA_V1,MARKET_TREND,BEAR,31,5948.631926742401,0.059486319267424016,0.45161290322580644,1.8273626503291738,0.3837827049511227,-0.15658188199579115,3.2052447265457613,-0.8577715609932665,17.06451612903226
COMPOSITE_ALPHA_V1,MARKET_TREND,BULL,22,2222.004324619103,0.02222004324619103,0.4090909090909091,1.3330295269062722,0.20200039314719112,-0.8802937737211959,2.1806238937038036,-0.9813274165492009,19.045454545454547
COMPOSITE_ALPHA_V1,MARKET_TREND,STRONG_BULL,501,40943.56189330958,0.4094356189330958,0.4031936127744511,1.3124085094753706,0.16344735286750336,-0.616388536641294,2.1842800857918405,-1.0841338945821999,16.01197604790419
COMPOSITE_ALPHA_V1,VOLATILITY,LOW_VOLATILITY,124,9931.905538501536,0.09931905538501536,0.4274193548387097,1.338331507963221,0.1601920248145409,-0.46604929411785284,2.17978020544089,-1.0349311755139912,15.508064516129032
COMPOSITE_ALPHA_V1,VOLATILITY,NORMAL_VOLATILITY,430,39182.292606169554,0.39182292606169555,0.4,1.339052197525145,0.1822432214240445,-0.6543639069588046,2.2589950923056845,-1.0767435743646998,16.388372093023257
