architecture_id,period,start_equity,end_equity,return,trade_count
COMPOSITE_ALPHA_V1,2019-01,100000.0,100000.0,0.0,0
COMPOSITE_ALPHA_V1,2019-02,100000.0,100000.0,0.0,0
COMPOSITE_ALPHA_V1,2019-03,100000.0,100000.0,0.0,0
COMPOSITE_ALPHA_V1,2019-04,100000.0,100000.0,0.0,0
COMPOSITE_ALPHA_V1,2019-05,100000.0,100000.0,0.0,0
COMPOSITE_ALPHA_V1,2019-06,100000.0,100000.0,0.0,0
COMPOSITE_ALPHA_V1,2019-07,100000.0,100000.0,0.0,0
COMPOSITE_ALPHA_V1,2019-08,100000.0,99457.06925837914,-0.0054293074162086175,3
COMPOSITE_ALPHA_V1,2019-09,99457.06925837914,99065.40031077003,-0.003938070471306565,2
COMPOSITE_ALPHA_V1,2019-10,99065.40031077003,97859.0726677958,-0.012177083413481893,4
COMPOSITE_ALPHA_V1,2019-11,97859.0726677958,96494.824739251,-0.013940944782667719,6
COMPOSITE_ALPHA_V1,2019-12,96494.824739251,96494.824739251,0.0,0
COMPOSITE_ALPHA_V1,2020-01,96494.824739251,96324.22738625843,-0.0017679430316968059,2
COMPOSITE_ALPHA_V1,2020-02,96324.22738625843,103740.29895083273,0.07699071942550839,7
COMPOSITE_ALPHA_V1,2020-03,103740.29895083273,104764.48158359235,0.009872562958826991,3
COMPOSITE_ALPHA_V1,2020-04,104764.48158359235,112558.23328366072,0.0743930727500397,5
COMPOSITE_ALPHA_V1,2020-05,112558.23328366072,116204.83293233764,0.03239744923400689,13
COMPOSITE_ALPHA_V1,2020-06,116204.83293233764,115357.00122988931,-0.007296010682636522,11
COMPOSITE_ALPHA_V1,2020-07,115357.00122988931,118426.72052608937,0.02661060242093649,10
COMPOSITE_ALPHA_V1,2020-08,118426.72052608937,119217.91182485406,0.006680851206974037,14
COMPOSITE_ALPHA_V1,2020-09,119217.91182485406,116371.06795238316,-0.023879330118223074,9
COMPOSITE_ALPHA_V1,2020-10,116371.06795238316,118146.06132466489,0.015252875164882163,13
