family_id,rule_id,universe_id,period_id,pair,signal_time,confirmed,reason,entry_time,value_t1,value_t2,breakout_reference
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,True,CONFIRMED,2022-01-01 21:00:00+00:00,112.983,112.679,112.04
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,False,ACCELERATION_FAILED,,112.983,112.679,112.04
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,True,CONFIRMED,2022-01-01 21:00:00+00:00,112.983,112.679,112.04
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,False,ACCELERATION_FAILED,,112.983,112.679,112.04
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,True,CONFIRMED,2022-01-01 21:00:00+00:00,112.983,112.679,112.04
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,False,ACCELERATION_FAILED,,112.983,112.679,112.04
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 01:00:00+00:00,True,CONFIRMED,2022-01-02 04:00:00+00:00,114.743,115.775,114.585
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 01:00:00+00:00,True,CONFIRMED,2022-01-02 04:00:00+00:00,114.743,115.775,114.585
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 01:00:00+00:00,True,CONFIRMED,2022-01-02 04:00:00+00:00,114.743,115.775,114.585
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 01:00:00+00:00,True,CONFIRMED,2022-01-02 04:00:00+00:00,114.743,115.775,114.585
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 01:00:00+00:00,True,CONFIRMED,2022-01-02 04:00:00+00:00,114.743,115.775,114.585
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 01:00:00+00:00,True,CONFIRMED,2022-01-02 04:00:00+00:00,114.743,115.775,114.585
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 04:00:00+00:00,False,PERSISTENCE_FAILED,,116.9,116.06,116.471
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 04:00:00+00:00,False,PERSISTENCE_FAILED,,116.9,116.06,116.471
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 04:00:00+00:00,False,PERSISTENCE_FAILED,,116.9,116.06,116.471
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 04:00:00+00:00,False,PERSISTENCE_FAILED,,116.9,116.06,116.471
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 04:00:00+00:00,False,PERSISTENCE_FAILED,,116.9,116.06,116.471
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 04:00:00+00:00,False,PERSISTENCE_FAILED,,116.9,116.06,116.471
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,C2,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,False,PERSISTENCE_FAILED,,3824.44,3795.73,3814.64
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,C2,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,False,PERSISTENCE_FAILED,,3824.44,3795.73,3814.64
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,D2,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,False,PERSISTENCE_FAILED,,3824.44,3795.73,3814.64
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE_ACCELERATION,D2,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,False,PERSISTENCE_FAILED,,3824.44,3795.73,3814.64
MOMENTUM_BREAKOUT,MB_TWO_BAR_BREAKOUT_PERSISTENCE,E2,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,False,PERSISTENCE_FAILED,,3824.44,3795.73,3814.64
