symbol,month,zip_url,checksum_url,archive_present,checksum_present,checksum_match,archive_reused,checksum_reused,archive_sha256,expected_archive_sha256,archive_bytes,schema_exact_12_columns,archive_row_count,expected_month_hours,month_exact_hourly_coverage,header_present,first_open_time,last_open_time,parse_ok,error
BTCUSDT,2022-01,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-01.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-01.zip.CHECKSUM,True,True,True,False,False,e04068d0aee5e3571dc7e9a1d220475047f544e1cf1bad800b7cbbf190281c40,e04068d0aee5e3571dc7e9a1d220475047f544e1cf1bad800b7cbbf190281c40,43687,True,744,744,True,False,2022-01-01T00:00:00+00:00,2022-01-31T23:00:00+00:00,True,
BTCUSDT,2022-02,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-02.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-02.zip.CHECKSUM,True,True,True,False,False,4e479b38278726cccb9257f5564c5c78477144d3ffe69df6afaf3b55ace617be,4e479b38278726cccb9257f5564c5c78477144d3ffe69df6afaf3b55ace617be,39642,True,672,672,True,False,2022-02-01T00:00:00+00:00,2022-02-28T23:00:00+00:00,True,
BTCUSDT,2022-03,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-03.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-03.zip.CHECKSUM,True,True,True,False,False,1cfb082f6bc9a2937b5b846073ddf65f71b18f2502778ac667aab3421ef80085,1cfb082f6bc9a2937b5b846073ddf65f71b18f2502778ac667aab3421ef80085,43784,True,744,744,True,False,2022-03-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,True,
BTCUSDT,2022-04,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-04.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-04.zip.CHECKSUM,True,True,True,False,False,7157a267e70bcd9ae04a8898527fad00d7733e941df9b95a1d5e0ae6dcd61c3e,7157a267e70bcd9ae04a8898527fad00d7733e941df9b95a1d5e0ae6dcd61c3e,42204,True,720,720,True,False,2022-04-01T00:00:00+00:00,2022-04-30T23:00:00+00:00,True,
BTCUSDT,2022-05,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-05.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-05.zip.CHECKSUM,True,True,True,False,False,ff0744eceba5e6d2f7145ecfdc9d3fac84f4576c15221dbeb71c6d6e59484300,ff0744eceba5e6d2f7145ecfdc9d3fac84f4576c15221dbeb71c6d6e59484300,43955,True,744,744,True,False,2022-05-01T00:00:00+00:00,2022-05-31T23:00:00+00:00,True,
BTCUSDT,2022-06,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-06.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-06.zip.CHECKSUM,True,True,True,False,False,b18f6f8edbb41960f81aec100c7836fdc0de6d640ee4309a3d0fad999ae0a2c8,b18f6f8edbb41960f81aec100c7836fdc0de6d640ee4309a3d0fad999ae0a2c8,42662,True,720,720,True,False,2022-06-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,True,
BTCUSDT,2022-07,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-07.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-07.zip.CHECKSUM,True,True,True,False,False,9f0ba9663f9fada7692b3cfe645df3832599f9e785056ddd77bd464475553e9e,9f0ba9663f9fada7692b3cfe645df3832599f9e785056ddd77bd464475553e9e,44740,True,744,744,True,False,2022-07-01T00:00:00+00:00,2022-07-31T23:00:00+00:00,True,
BTCUSDT,2022-08,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-08.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-08.zip.CHECKSUM,True,True,True,False,False,3cc22044f94cb303d12013293ba6db6d44abdf1490d38d00f1389e98717a3891,3cc22044f94cb303d12013293ba6db6d44abdf1490d38d00f1389e98717a3891,44748,True,744,744,True,False,2022-08-01T00:00:00+00:00,2022-08-31T23:00:00+00:00,True,
BTCUSDT,2022-09,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-09.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-09.zip.CHECKSUM,True,True,True,False,False,a65dcd73017d92ea8d86e82ea1aee3dac55881f8672594d2e85d1cf392e1e78a,a65dcd73017d92ea8d86e82ea1aee3dac55881f8672594d2e85d1cf392e1e78a,43701,True,720,720,True,False,2022-09-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,True,
BTCUSDT,2022-10,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-10.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2022-10.zip.CHECKSUM,True,True,True,False,False,2591cbbe022ce9d4559aee1fa41ea0033324c2c4debc776cfedc9588167d413b,2591cbbe022ce9d4559aee1fa41ea0033324c2c4debc776cfedc9588167d413b,44566,True,744,744,True,False,2022-10-01T00:00:00+00:00,2022-10-31T23:00:00+00:00,True,
