symbol,row_count,unique_hour_count,exact_17520_unique_hourly_open_times,no_timestamp_gte_2024,no_duplicate_or_non_hourly_open_times,number_of_trades_nonnegative_integer,quote_and_taker_volumes_finite_nonnegative,taker_buy_quote_lte_quote_volume,normalized_parquet_path,normalized_parquet_sha256
BTCUSDT,17519,17519,False,True,False,True,True,True,,
ETHUSDT,17519,17519,False,True,False,True,True,True,,
