fold_id,trade_count,win_rate,mean_net_return,median_net_return,median_holding_hours,median_mfe,median_mae,median_time_to_mfe_hours,median_captured_mfe_fraction,eligible_mfe_10pct_count,winner_to_loser_10pct_count,winner_to_loser_10pct_rate,severe_giveback_after_10pct_count,severe_giveback_after_10pct_rate,early_peak_severe_giveback_count,deep_mae_10pct_count,deep_mae_close_recovery_count,deep_mae_close_recovery_rate,deep_mae_profitable_exit_count,stale_loser_14d_count,stale_loser_14d_rate
WF01,29,0.27586206896551724,-0.08060890788172993,-0.07913276981390752,160.0,0.102929532858274,-0.10096398801638573,80.0,-0.9931099279674296,15,8,0.5333333333333333,10,0.6666666666666666,5,15,2,0.13333333333333333,1,6,0.20689655172413793
WF02,59,0.4576271186440678,0.07462645216234864,-0.025085072251746676,228.0,0.0809673043640955,-0.08910891089108908,68.0,-0.37065868263472646,27,4,0.14814814814814814,9,0.3333333333333333,5,25,4,0.16,3,6,0.1016949152542373
WF03,59,0.4745762711864407,0.10635473124203944,-0.00717300059997144,312.0,0.11443152972611892,-0.1105140538103111,84.0,-0.070655015311074,32,7,0.21875,11,0.34375,6,33,20,0.6060606060606061,10,8,0.13559322033898305
