stage_id,purpose,path,exists,sha256,status,decision,structural_integrity,fold_robustness,stress_cost_result,expected_next_stage,observed_next_stage,authorization_safe,hash_verification,reconciliation_pass,notes,key_metrics,evidence_commit
D0,PIT readiness,reports/research/ams-rd04-d0-pit-universe-readiness-v1.json,True,21d3d1d8e231d9b9d4094a4bf7f5369d5b1a925365c3e71dfc3e268e439de2cf,COMPLETE,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_RECORDED,True,,NOT_RECORDED,893cfa3d66cc54fad294944f514847560148b82f
D0A,identity normalization,reports/research/ams-rd04-d0a-investable-universe-normalization-v1.json,True,db555ceff9568c488e54a826116902a0718362fcda95d70c2a76deb4b137b809,COMPLETE,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_RECORDED,True,,NOT_RECORDED,be06c32cc3b7ae4647040e1d505a7e9d2be38576
D0B_DATA,venue expansion,reports/research/ams-rd04-d0b-expanded-dataset-registration-v1.json,True,a42297c083cd96e41279fe7893fcc6f54769f3756d5b0f47c8adce7885793cf2,PASS,BLOCKED_BY_DATA_INTEGRITY,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,PASS,True,,NOT_RECORDED,0d1ca2c9f2a31ca5b63beef3943f96dbb14779dc
D0B,venue data recovery,reports/research/ams-rd04-d0b-pit-venue-data-expansion-v1.json,True,5f8def066d6655a0cd0d275ff38627c6c3b0c0ff6433d3e14a8433f20af29f28,COMPLETE,BLOCKED_BY_DATA_INTEGRITY,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,PASS,True,,NOT_RECORDED,0d1ca2c9f2a31ca5b63beef3943f96dbb14779dc
D0C,adjudicated data registration,reports/research/ams-rd04-d0c-adjudicated-dataset-registration-v1.json,True,20274d913a7b52c818555d23308bac43b6ddb3b962531286b1c523e7e0f6ca07,PASS,PIT_UNIVERSE_REPLAY_READY,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,PASS,True,,NOT_RECORDED,e6e21f6573b0cddd4b31b74d5e473d98b0edff86
D0C_SOURCE,source integrity,reports/research/ams-rd04-d0c-source-integrity-adjudication-v1.json,True,a122578ca97fea4e5d8c05a62a792d8c4380cb8f7b92cab63481fa3a3614e3f3,COMPLETE,PIT_UNIVERSE_REPLAY_READY,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,PASS,True,,NOT_RECORDED,e6e21f6573b0cddd4b31b74d5e473d98b0edff86
D1,PIT replay,reports/research/ams-rd04-d1-pit-universe-replay-v1.json,True,7f0d212bc11260077210d6c712b38c291eccfdd8e59de02a5e53ed02abd2340d,COMPLETE,PIT_UNIVERSE_REPLAY_FAIL,True,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_RECORDED,True,,fixed_return=2.6861470605832247; pit_return=-0.4810345157020558; pit_pf=0.8533000104768909,1dfbfc4e5b5d32077d78419c557e574b4f5a6a75
D2,membership attribution,reports/research/ams-rd04-d2-universe-membership-attribution-v1.json,True,3bc676368e51163cb2f25aa4ae8cd4242ba59f2e20c4887fcf6bc6af823bb135,COMPLETE,MIXED_MEMBERSHIP_FAILURE,True,NOT_RECORDED,NOT_RECORDED,MEMBERSHIP_SELECTION_INTERACTION_DIAGNOSTICS,MEMBERSHIP_SELECTION_INTERACTION_DIAGNOSTICS,True,NOT_RECORDED,True,,pit_minus_fixed=-3.1671815762852806; entrant_effect=1.3807596626994938; removal_effect=1.7864219135857866,a4e0ecff742504717d0abe83fd63cee10491c656
D3,membership failure diagnostics,reports/research/ams-rd04-d3-membership-failure-diagnostics-v1.json,True,45068589985a9232cea874c1bd3bcd910511e07358c2e7b791adad338213fcbf,COMPLETE,ENTRANT_EDGE_AND_SURVIVOR_DISPLACEMENT_CONFIRMED,True,NOT_RECORDED,NOT_RECORDED,RD04_D4_CAUSAL_ELIGIBILITY_HYPOTHESIS_REGISTRATION,RD04_D4_CAUSAL_ELIGIBILITY_HYPOTHESIS_REGISTRATION,True,NOT_RECORDED,True,,entrant_pit_pnl=-94301.5435961918; removed_fixed_pnl=99489.7769194499; removed_union_pnl=90613.37963955523,0fc01e01ae81ff3117ade5c8e510c072293225f6
D4,hypothesis registration,reports/research/ams-rd04-d4-hypothesis-registry-v1.json,True,118d0b19673cdfafcbdb379efc5c1e804b155a3eaf1933a76674e90d2f515f55,COMPLETE,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_RECORDED,True,,NOT_RECORDED,09d227820700fca6355c8264f3be2fec6e41999b
D5A_DATA,turnover data registration,reports/research/ams-rd04-d5a-turnover-dataset-registration-v1.json,True,a3a595c6853397aabff01eec5a41b8501befdbb816d7eed6bdc18b3ebf243df3,PASS,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,PASS,True,,NOT_RECORDED,ee3b653ef9035c79bfa23395d544b95c9be8570b
D5A,liquidity floor,reports/research/ams-rd04-d5a-liquidity-floor-v1.json,True,f031c5e6b546e57b805f615baa3cb2ed0f05a844968442eaa83f6bd8fb0e06d8,COMPLETE,LIQUIDITY_FLOOR_FAIL,True,NOT_RECORDED,NOT_RECORDED,RD04-D5D-PIT-EQUAL-WEIGHT-BENCHMARK,RD04-D5D-PIT-EQUAL-WEIGHT-BENCHMARK,True,NOT_RECORDED,True,,base_delta_return=-0.055126588705641244; base_delta_pf=-0.05545703538888003; base_delta_dd=0.006936606820460489,ee3b653ef9035c79bfa23395d544b95c9be8570b
D5D0,BF01 evidence recovery,reports/research/ams-rd04-d5d0-bf01-protocol-recovery-v1.json,True,e8193adfc1d11e0e0334451407771259acda5781d77aa18b7fc549b960c66b09,COMPLETE,BF01_PROTOCOL_EVIDENCE_COLLECTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_RECORDED,True,,NOT_RECORDED,64b584fa421afa4ee891a80a15d7a2995c4a3622
D5D1,BF01 accounting adjudication,reports/research/ams-rd04-d5d1-bf01-protocol-adjudication-v1.json,True,fe8e9a708c2795ecf2205c2a06b44061ca590ac0de5b337a20f8ab51fa971531,COMPLETE,BF01_PROTOCOL_RECOVERED_ACCOUNTING_REPAIR_REGISTERED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_RECORDED,True,,NOT_RECORDED,989ec18909354c834f596e949faa2fddcdbca15b
D5D2,PIT equal-weight benchmark,reports/research/ams-rd04-d5d2-pit-equal-weight-benchmark-v1.json,True,b4f44a4565aedb5422f2a9b95a39dfc46edc56e4b681684d9f08fa1b88aa1e3c,COMPLETE,M05_RELATIVE_EDGE_NOT_CONFIRMED,True,NOT_RECORDED,NOT_RECORDED,RD04-D5B0-V5R1-ATR-GRID-RECOVERY,RD04-D5B0-V5R1-ATR-GRID-RECOVERY,True,NOT_RECORDED,True,,m05_minus_equal_weight_return=-0.1333255168185027; m05_minus_equal_weight_expectancy=-0.0034313653405927706,2486cfd65bd8f74e935da0c1acc8d0df2135989b
