dominance_quadrant,valid_daily_folds,valid_trade_folds,daily_excess_positive_folds,daily_excess_negative_folds,trade_expectancy_positive_folds,trade_expectancy_negative_folds,daily_excess_sign_consistent,trade_expectancy_sign_consistent
BTC_DOWN_STABLE_DOWN,3,3,0,3,1,2,True,False
BTC_DOWN_STABLE_UP,3,3,3,0,2,1,True,False
BTC_UP_STABLE_DOWN,3,3,2,1,2,1,False,False
BTC_UP_STABLE_UP,3,3,2,1,2,1,False,False
