symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason
ADA/USDT,2021-04-19 00:00:00+00:00,2021-04-24 00:00:00+00:00,1.276854,1.158123,-0.09660794852738208,5,DAILY_STOP_TRIGGER
UNI/USDT,2021-04-19 00:00:00+00:00,2021-04-24 00:00:00+00:00,31.6814,32.9316,0.03531209248789846,5,DAILY_STOP_TRIGGER
LINK/USDT,2021-04-19 00:00:00+00:00,2021-04-24 00:00:00+00:00,39.1115,35.1956,-0.10371377720633557,5,DAILY_STOP_TRIGGER
ADA/USDT,2021-04-24 00:00:00+00:00,2021-05-08 00:00:00+00:00,1.158123,1.652948,0.42156697102952,14,MAXIMUM_HOLDING_DAYS
DOT/USDT,2021-04-24 00:00:00+00:00,2021-05-08 00:00:00+00:00,32.2489,39.8702,0.2313920017411477,14,MAXIMUM_HOLDING_DAYS
BTC/USDT,2021-04-24 00:00:00+00:00,2021-05-08 00:00:00+00:00,51102.7,57307.3,0.11693762449564082,14,MAXIMUM_HOLDING_DAYS
BTC/USDT,2021-05-14 00:00:00+00:00,2021-05-20 00:00:00+00:00,49675.4,36664.7,-0.26486079765566617,6,DAILY_STOP_TRIGGER
ZEC/USDT,2021-06-23 00:00:00+00:00,2021-07-07 00:00:00+00:00,106.434,117.567,0.1001904528504296,14,MAXIMUM_HOLDING_DAYS
BTC/USDT,2021-06-23 00:00:00+00:00,2021-07-07 00:00:00+00:00,32505.1,34228.5,0.04881570219556708,14,MAXIMUM_HOLDING_DAYS
UNI/USDT,2021-06-23 00:00:00+00:00,2021-07-07 00:00:00+00:00,16.4153,22.4022,0.3592666634103696,14,MAXIMUM_HOLDING_DAYS
XLM/USDT,2021-07-21 00:00:00+00:00,2021-08-04 00:00:00+00:00,0.212033,0.274234,0.28819218467414953,14,MAXIMUM_HOLDING_DAYS
UNI/USDT,2021-09-27 00:00:00+00:00,2021-10-11 00:00:00+00:00,24.0595,24.1629,0.0002885063016799805,14,MAXIMUM_HOLDING_DAYS
SOL/USDT,2021-12-05 00:00:00+00:00,2021-12-14 00:00:00+00:00,200.72,155.073,-0.23050046777708033,9,DAILY_STOP_TRIGGER
BNB/USDT,2021-12-05 00:00:00+00:00,2021-12-16 00:00:00+00:00,569.447,541.136,-0.053510201217838116,11,DAILY_STOP_TRIGGER
ETH/USDT,2021-12-05 00:00:00+00:00,2021-12-19 00:00:00+00:00,4117.87,3960.01,-0.04217433361269107,14,MAXIMUM_HOLDING_DAYS
BTC/USDT,2022-01-25 00:00:00+00:00,2022-02-08 00:00:00+00:00,36675.4,43845.7,0.1907345868202952,14,MAXIMUM_HOLDING_DAYS
ETH/USDT,2022-01-25 00:00:00+00:00,2022-02-08 00:00:00+00:00,2440.38,3139.76,0.2814504413018102,14,MAXIMUM_HOLDING_DAYS
ZEC/USDT,2022-01-25 00:00:00+00:00,2022-02-08 00:00:00+00:00,94.444,128.8,0.3583269275265064,14,MAXIMUM_HOLDING_DAYS
BTC/USDT,2022-02-25 00:00:00+00:00,2022-03-05 00:00:00+00:00,38320.9,39143.6,0.017390983086318368,8,DAILY_STOP_TRIGGER
AVAX/USDT,2022-02-25 00:00:00+00:00,2022-03-11 00:00:00+00:00,76.401,73.95,-0.03594468110153426,14,MAXIMUM_HOLDING_DAYS
TRX/USDT,2022-02-25 00:00:00+00:00,2022-03-11 00:00:00+00:00,0.061068,0.059861,-0.023677966657894123,14,MAXIMUM_HOLDING_DAYS
LTC/USDT,2022-04-13 00:00:00+00:00,2022-04-26 00:00:00+00:00,104.871,104.541,-0.007126177316106097,13,DAILY_STOP_TRIGGER
DOGE/USDT,2022-04-26 00:00:00+00:00,2022-04-27 00:00:00+00:00,0.15818,0.1376,-0.1335775786901351,1,DAILY_STOP_TRIGGER
XRP/USDT,2022-04-26 00:00:00+00:00,2022-04-30 00:00:00+00:00,0.69316,0.61146,-0.12138749795693982,4,DAILY_STOP_TRIGGER
BTC/USDT,2022-04-26 00:00:00+00:00,2022-05-06 00:00:00+00:00,40428.4,36554.6,-0.09942828672186366,10,DAILY_STOP_TRIGGER
NEAR/USDT,2022-05-09 00:00:00+00:00,2022-05-12 00:00:00+00:00,11.1506,6.5198,-0.4176301854347374,3,DAILY_STOP_TRIGGER
BNB/USDT,2022-05-11 00:00:00+00:00,2022-05-12 00:00:00+00:00,319.124,271.841,-0.1515655156389818,1,DAILY_STOP_TRIGGER
BNB/USDT,2022-05-13 00:00:00+00:00,2022-05-27 00:00:00+00:00,268.736,303.047,0.12317378965574477,14,MAXIMUM_HOLDING_DAYS
BTC/USDT,2022-05-13 00:00:00+00:00,2022-05-27 00:00:00+00:00,29023.7,29199.3,0.0020340593426650955,14,MAXIMUM_HOLDING_DAYS
ZEC/USDT,2022-05-13 00:00:00+00:00,2022-05-27 00:00:00+00:00,86.676,87.273,0.002868207928597988,14,DAILY_STOP_TRIGGER
LTC/USDT,2022-06-08 00:00:00+00:00,2022-06-11 00:00:00+00:00,63.844,56.647,-0.11626990364862666,3,DAILY_STOP_TRIGGER
BNB/USDT,2022-06-08 00:00:00+00:00,2022-06-13 00:00:00+00:00,290.29,254.787,-0.12580562118038885,5,DAILY_STOP_TRIGGER
BNB/USDT,2022-06-15 00:00:00+00:00,2022-06-19 00:00:00+00:00,223.036,196.935,-0.1205507974706802,4,DAILY_STOP_TRIGGER
DOGE/USDT,2022-06-15 00:00:00+00:00,2022-06-19 00:00:00+00:00,0.05554,0.05291,-0.05115623991484086,4,DAILY_STOP_TRIGGER
XLM/USDT,2022-06-15 00:00:00+00:00,2022-06-29 00:00:00+00:00,0.1128,0.114351,0.009703093812375219,14,MAXIMUM_HOLDING_DAYS
XRP/USDT,2022-07-14 00:00:00+00:00,2022-07-27 00:00:00+00:00,0.32366,0.33716,0.03755191218008891,13,DAILY_STOP_TRIGGER
LTC/USDT,2022-08-23 00:00:00+00:00,2022-09-06 00:00:00+00:00,57.219,60.403,0.05143169680492554,14,MAXIMUM_HOLDING_DAYS
SNX/USDT,2022-08-28 00:00:00+00:00,2022-09-07 00:00:00+00:00,2.886106,2.789259,-0.03741434530369503,10,DAILY_STOP_TRIGGER
AVAX/USDT,2022-08-30 00:00:00+00:00,2022-09-13 00:00:00+00:00,19.324,21.374,0.10167018478051149,14,MAXIMUM_HOLDING_DAYS
XRP/USDT,2022-09-08 00:00:00+00:00,2022-09-16 00:00:00+00:00,0.33687,0.32633,-0.03515514759657523,8,DAILY_STOP_TRIGGER
LTC/USDT,2022-09-20 00:00:00+00:00,2022-10-04 00:00:00+00:00,52.89,54.193,0.02054567363665538,14,MAXIMUM_HOLDING_DAYS
LINK/USDT,2022-10-14 00:00:00+00:00,2022-10-22 00:00:00+00:00,7.0272,6.808,-0.03506057102552629,8,DAILY_STOP_TRIGGER
SHIB/USDT,2022-10-12 00:00:00+00:00,2022-10-26 00:00:00+00:00,1.025e-05,1.023e-05,-0.00593544618080899,14,MAXIMUM_HOLDING_DAYS
BNB/USDT,2022-10-14 00:00:00+00:00,2022-10-28 00:00:00+00:00,271.615,286.802,0.051698477021988376,14,MAXIMUM_HOLDING_DAYS
DOT/USDT,2022-12-14 00:00:00+00:00,2022-12-17 00:00:00+00:00,5.2851,4.6531,-0.12309610972375129,3,DAILY_STOP_TRIGGER
BNB/USDT,2022-12-18 00:00:00+00:00,2023-01-01 00:00:00+00:00,242.019,246.251,0.013424409140804228,14,MAXIMUM_HOLDING_DAYS
XLM/USDT,2022-12-30 00:00:00+00:00,2023-01-08 00:00:00+00:00,0.071987,0.075625,0.04634314240647841,9,DAILY_STOP_TRIGGER
XRP/USDT,2023-01-03 00:00:00+00:00,2023-01-17 00:00:00+00:00,0.34811,0.38552,0.10304500877306588,14,MAXIMUM_HOLDING_DAYS
AAVE/USDT,2023-02-14 00:00:00+00:00,2023-02-25 00:00:00+00:00,82.519,81.51,-0.016170690647691832,11,DAILY_STOP_TRIGGER
BTC/USDT,2023-03-11 00:00:00+00:00,2023-03-25 00:00:00+00:00,20151.9,27452.2,0.35682542982257326,14,MAXIMUM_HOLDING_DAYS
ETH/USDT,2023-03-11 00:00:00+00:00,2023-03-25 00:00:00+00:00,1426.47,1749.5,0.22155808959450396,14,MAXIMUM_HOLDING_DAYS
SOL/USDT,2023-03-11 00:00:00+00:00,2023-03-25 00:00:00+00:00,18.172,20.658,0.13226573487407767,14,MAXIMUM_HOLDING_DAYS
XLM/USDT,2023-05-11 00:00:00+00:00,2023-05-25 00:00:00+00:00,0.08903,0.086512,-0.03216171274209956,14,DAILY_STOP_TRIGGER
ADA/USDT,2023-06-07 00:00:00+00:00,2023-06-08 00:00:00+00:00,0.353022,0.322251,-0.09080859305574318,1,DAILY_STOP_TRIGGER
BTC/USDT,2023-06-07 00:00:00+00:00,2023-06-11 00:00:00+00:00,27229.8,25841.0,-0.054791356698570604,4,DAILY_STOP_TRIGGER
SOL/USDT,2023-06-09 00:00:00+00:00,2023-06-11 00:00:00+00:00,18.887,15.621,-0.17622487856393954,2,DAILY_STOP_TRIGGER
BTC/USDT,2023-06-16 00:00:00+00:00,2023-06-30 00:00:00+00:00,25597.4,30448.8,0.18477845031884543,14,MAXIMUM_HOLDING_DAYS
ETH/USDT,2023-06-16 00:00:00+00:00,2023-06-30 00:00:00+00:00,1666.96,1852.06,0.1066051656345608,14,MAXIMUM_HOLDING_DAYS
TRX/USDT,2023-08-02 00:00:00+00:00,2023-08-16 00:00:00+00:00,0.0786,0.076343,-0.03259239790139823,14,MAXIMUM_HOLDING_DAYS
BTC/USDT,2023-08-02 00:00:00+00:00,2023-08-16 00:00:00+00:00,29708.9,29202.2,-0.020979425313713884,14,MAXIMUM_HOLDING_DAYS
