asset,day,source_timestamp,available_at,market_cap_usd,canonical_asset,canonical_symbol,normalization_rule,stablecoin_excluded,investable_identity,raw_form_count,canonical_source_asset,identity_overlay_rule,identity_excluded,identity_exclusion_reason,d0b_raw_form_count,rebalance_time,market_cap_rank,venue_data_eligible,venue_rank
btc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,895826639879.7356,btc,BTC,IDENTITY,False,True,2,btc,D0A_IDENTITY_RETAINED,False,,2,2022-01-03T00:00:00+00:00,1,True,1
eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,452429174354.97003,eth,ETH,IDENTITY,False,True,2,eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,2,True,2
xrp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,85949716924.47646,xrp,XRP,IDENTITY,False,True,1,xrp,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,3,True,3
cro,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,58777276986.3213,cro,CRO,IDENTITY,False,True,1,cro,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,4,True,4
ada,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,45345872744.50135,ada,ADA,IDENTITY,False,True,1,ada,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,5,True,5
avaxp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,38009442424.67607,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,6,True,6
shib_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,34048163937.024635,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1,shib_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,7,True,7
dot,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,33573002049.69655,dot,DOT,IDENTITY,False,True,1,dot,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,8,True,8
xlm,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,30744497509.82964,xlm,XLM,IDENTITY,False,True,1,xlm,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,9,True,9
doge,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,23141588948.45676,doge,DOGE,IDENTITY,False,True,1,doge,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,11,True,10
link,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,21811073084.4362,link,LINK,IDENTITY,False,True,1,link,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,12,True,11
uni,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,18395486140.3873,uni,UNI,IDENTITY,False,True,1,uni,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,13,True,12
algo,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,16739817081.1578,algo,ALGO,IDENTITY,False,True,1,algo,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,14,True,13
ftt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,13461829749.62069,ftt,FTT,IDENTITY,False,True,1,ftt,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,15,True,14
icp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,13034539002.752676,icp,ICP,IDENTITY,False,True,1,icp,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,16,True,15
ltc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,10497001735.865566,ltc,LTC,IDENTITY,False,True,1,ltc,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,17,True,16
crv,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,10039984903.018045,crv,CRV,IDENTITY,False,True,1,crv,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,18,True,17
mana,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,7329469009.696603,mana,MANA,IDENTITY,False,True,1,mana,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,20,True,18
etc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4681737342.338215,etc,ETC,IDENTITY,False,True,1,etc,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,23,True,19
qnt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4581595337.4260845,qnt,QNT,IDENTITY,False,True,1,qnt,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,24,True,20
aave,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4266659832.4856,aave,AAVE,IDENTITY,False,True,2,aave,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,25,True,21
xmr,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4200403151.1478624,xmr,XMR,IDENTITY,False,True,1,xmr,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,26,True,22
xtz,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4067383435.8069763,xtz,XTZ,IDENTITY,False,True,1,xtz,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,27,True,23
1inch,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,3837813703.47525,1inch,1INCH,IDENTITY,False,True,1,1inch,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,28,True,24
lrc_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2921127779.8287272,lrc,LRC,NETWORK_FORM_TO_PARENT,False,True,1,lrc_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,30,True,25
neo,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2706930715.24441,neo,NEO,IDENTITY,False,True,1,neo,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,31,True,26
sushi,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2152969931.4490924,sushi,SUSHI,IDENTITY,False,True,1,sushi,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,35,True,27
comp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2109510064.48048,comp,COMP,IDENTITY,False,True,1,comp,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,36,True,28
bat,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1949448890.467065,bat,BAT,IDENTITY,False,True,1,bat,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,37,True,29
zec,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1842526342.0301576,zec,ZEC,IDENTITY,False,True,1,zec,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,38,True,30
btc,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,792682352625.3268,btc,BTC,IDENTITY,False,True,2,btc,D0A_IDENTITY_RETAINED,False,,2,2022-01-10T00:00:00+00:00,1,True,1
eth,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,372503346874.9416,eth,ETH,IDENTITY,False,True,2,eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,2,True,2
xrp,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,75378378435.07605,xrp,XRP,IDENTITY,False,True,1,xrp,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,3,True,3
cro,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,46196145894.3485,cro,CRO,IDENTITY,False,True,1,cro,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,4,True,4
ada,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,38596365673.10361,ada,ADA,IDENTITY,False,True,1,ada,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,5,True,5
avaxp,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,29809420753.808205,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,6,True,6
shib_eth,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,28290884322.614132,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1,shib_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,7,True,7
dot,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,27798747807.828514,dot,DOT,IDENTITY,False,True,1,dot,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,8,True,8
link,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,27582873595.8018,link,LINK,IDENTITY,False,True,1,link,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,9,True,9
xlm,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,27501490922.707985,xlm,XLM,IDENTITY,False,True,1,xlm,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,10,True,10
doge,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,19984898172.177235,doge,DOGE,IDENTITY,False,True,1,doge,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,12,True,11
icp,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,17168568352.353884,icp,ICP,IDENTITY,False,True,1,icp,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,13,True,12
uni,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,15782169491.7721,uni,UNI,IDENTITY,False,True,1,uni,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,14,True,13
algo,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,14007439177.8814,algo,ALGO,IDENTITY,False,True,1,algo,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,15,True,14
ftt,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,12442183569.760633,ftt,FTT,IDENTITY,False,True,1,ftt,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,16,True,15
ltc,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,9090792283.746635,ltc,LTC,IDENTITY,False,True,1,ltc,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,17,True,16
crv,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,7576612891.94402,crv,CRV,IDENTITY,False,True,1,crv,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,18,True,17
mana,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,6451263099.785187,mana,MANA,IDENTITY,False,True,1,mana,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,20,True,18
qnt,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,4215114247.32562,qnt,QNT,IDENTITY,False,True,1,qnt,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,23,True,19
etc,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,3939023015.0137095,etc,ETC,IDENTITY,False,True,1,etc,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,24,True,20
xtz,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,3667790811.16009,xtz,XTZ,IDENTITY,False,True,1,xtz,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,25,True,21
aave,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,3357128842.376128,aave,AAVE,IDENTITY,False,True,2,aave,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,26,True,22
xmr,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,3341834028.583586,xmr,XMR,IDENTITY,False,True,1,xmr,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,27,True,23
1inch,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,3223657590.12594,1inch,1INCH,IDENTITY,False,True,1,1inch,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,28,True,24
neo,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,2365032573.00824,neo,NEO,IDENTITY,False,True,1,neo,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,31,True,25
lrc_eth,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,2193804108.8992734,lrc,LRC,NETWORK_FORM_TO_PARENT,False,True,1,lrc_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,32,True,26
comp,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,1937898347.21245,comp,COMP,IDENTITY,False,True,1,comp,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,35,True,27
zec,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,1720361716.0443861,zec,ZEC,IDENTITY,False,True,1,zec,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,36,True,28
sushi,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,1656779144.7129395,sushi,SUSHI,IDENTITY,False,True,1,sushi,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,37,True,29
dash,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,1605661435.6098976,dash,DASH,IDENTITY,False,True,1,dash,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,38,True,30
btc,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,817252077983.4712,btc,BTC,IDENTITY,False,True,2,btc,D0A_IDENTITY_RETAINED,False,,2,2022-01-17T00:00:00+00:00,1,True,1
eth,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,396274948183.3029,eth,ETH,IDENTITY,False,True,2,eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,2,True,2
xrp,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,77962462335.05908,xrp,XRP,IDENTITY,False,True,1,xrp,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,3,True,3
ada,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,46583066324.297455,ada,ADA,IDENTITY,False,True,1,ada,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,4,True,4
cro,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,46410605084.5964,cro,CRO,IDENTITY,False,True,1,cro,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,5,True,5
dot,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,31356377139.3374,dot,DOT,IDENTITY,False,True,1,dot,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,6,True,6
avaxp,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,30986162599.90091,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,7,True,7
