asset,day,source_timestamp,available_at,market_cap_usd,canonical_asset,canonical_symbol,normalization_rule,stablecoin_excluded,investable_identity,raw_form_count,canonical_source_asset,identity_overlay_rule,identity_excluded,identity_exclusion_reason,d0b_raw_form_count,rebalance_time,market_cap_rank,venue_data_eligible,venue_rank
shib_eth,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,30535679125.279823,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1,shib_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,8,True,8
xlm,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,27312818044.663555,xlm,XLM,IDENTITY,False,True,1,xlm,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,9,True,9
link,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,25624725926.0135,link,LINK,IDENTITY,False,True,1,link,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,10,True,10
doge,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,23561667850.894333,doge,DOGE,IDENTITY,False,True,1,doge,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,11,True,11
uni,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,17823219916.3317,uni,UNI,IDENTITY,False,True,1,uni,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,13,True,12
ftt,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,15549925464.417297,ftt,FTT,IDENTITY,False,True,1,ftt,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,14,True,13
icp,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,14893603020.51325,icp,ICP,IDENTITY,False,True,1,icp,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,15,True,14
algo,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,14314767149.2198,algo,ALGO,IDENTITY,False,True,1,algo,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,16,True,15
ltc,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,10181625314.18731,ltc,LTC,IDENTITY,False,True,1,ltc,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,17,True,16
crv,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,8596664750.935707,crv,CRV,IDENTITY,False,True,1,crv,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,18,True,17
mana,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,6846369862.48326,mana,MANA,IDENTITY,False,True,1,mana,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,20,True,18
etc,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,4280531408.9116235,etc,ETC,IDENTITY,False,True,1,etc,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,22,True,19
qnt,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,4091721833.780232,qnt,QNT,IDENTITY,False,True,1,qnt,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,23,True,20
xmr,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,3947009724.118028,xmr,XMR,IDENTITY,False,True,1,xmr,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,24,True,21
aave,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,3880872791.723744,aave,AAVE,IDENTITY,False,True,2,aave,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,26,True,22
xtz,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,3749608225.24993,xtz,XTZ,IDENTITY,False,True,1,xtz,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,27,True,23
1inch,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,3652564340.325285,1inch,1INCH,IDENTITY,False,True,1,1inch,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,28,True,24
neo,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,2518343782.67703,neo,NEO,IDENTITY,False,True,1,neo,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,29,True,25
comp,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,1914855662.98453,comp,COMP,IDENTITY,False,True,1,comp,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,34,True,26
lrc_eth,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,1904125765.9073298,lrc,LRC,NETWORK_FORM_TO_PARENT,False,True,1,lrc_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,35,True,27
zec,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,1706058846.2857625,zec,ZEC,IDENTITY,False,True,1,zec,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,36,True,28
sushi,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,1669597003.3168728,sushi,SUSHI,IDENTITY,False,True,1,sushi,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,37,True,29
bat,2022-01-16T00:00:00+00:00,2022-01-16T00:00:00+00:00,2022-01-17T00:00:00+00:00,1584830072.195385,bat,BAT,IDENTITY,False,True,1,bat,D0A_IDENTITY_RETAINED,False,,1,2022-01-17T00:00:00+00:00,38,True,30
btc,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,686903645043.7297,btc,BTC,IDENTITY,False,True,2,btc,D0A_IDENTITY_RETAINED,False,,2,2022-01-24T00:00:00+00:00,1,True,1
eth,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,299160671633.6106,eth,ETH,IDENTITY,False,True,2,eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,2,True,2
xrp,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,62849188182.75203,xrp,XRP,IDENTITY,False,True,1,xrp,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,3,True,3
cro,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,37840331658.3671,cro,CRO,IDENTITY,False,True,1,cro,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,4,True,4
ada,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,36981147739.35025,ada,ADA,IDENTITY,False,True,1,ada,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,5,True,5
shib_eth,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,22371905855.36368,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1,shib_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,6,True,6
avaxp,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,21711755430.12401,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,7,True,7
dot,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,21314790336.12279,dot,DOT,IDENTITY,False,True,1,dot,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,8,True,8
xlm,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,21078329493.42937,xlm,XLM,IDENTITY,False,True,1,xlm,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,9,True,9
doge,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,18817887654.87779,doge,DOGE,IDENTITY,False,True,1,doge,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,10,True,10
link,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,16512174455.8241,link,LINK,IDENTITY,False,True,1,link,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,11,True,11
ftt,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,12005980545.663326,ftt,FTT,IDENTITY,False,True,1,ftt,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,13,True,12
uni,2022-01-23T00:00:00+00:00,2022-01-23T00:00:00+00:00,2022-01-24T00:00:00+00:00,11510704287.3647,uni,UNI,IDENTITY,False,True,1,uni,D0A_IDENTITY_RETAINED,False,,1,2022-01-24T00:00:00+00:00,14,True,13
