symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason
LINK/USDT,2021-02-13 00:00:00+00:00,2021-02-24 00:00:00+00:00,30.6026,25.9889,-0.15415187284062182,11,DAILY_STOP_TRIGGER
LTC/USDT,2021-02-10 00:00:00+00:00,2021-03-01 00:00:00+00:00,181.455,165.249,-0.09294688295559017,19,DAILY_STOP_TRIGGER
TRX/USDT,2021-03-20 00:00:00+00:00,2021-04-19 00:00:00+00:00,0.058622,0.14305,1.4304688020840035,30,MAXIMUM_HOLDING_DAYS
BNB/USDT,2021-04-02 00:00:00+00:00,2021-04-19 00:00:00+00:00,335.611,481.662,0.429450159871966,17,DAILY_STOP_TRIGGER
BTC/USDT,2021-07-27 00:00:00+00:00,2021-08-26 00:00:00+00:00,37242.9,48983.2,0.30998548135169735,30,MAXIMUM_HOLDING_DAYS
XRP/USDT,2021-07-29 00:00:00+00:00,2021-08-28 00:00:00+00:00,0.7329,1.19116,0.6187813757122134,30,MAXIMUM_HOLDING_DAYS
UNI/USDT,2021-09-02 00:00:00+00:00,2021-09-08 00:00:00+00:00,31.3611,24.3088,-0.22796844236217706,6,DAILY_STOP_TRIGGER
LINK/USDT,2021-09-06 00:00:00+00:00,2021-09-08 00:00:00+00:00,33.5289,28.2397,-0.16111275148702564,2,DAILY_STOP_TRIGGER
XMR/USDT,2021-10-07 00:00:00+00:00,2021-10-28 00:00:00+00:00,286.56,255.72,-0.11118382999495147,21,DAILY_STOP_TRIGGER
XLM/USDT,2021-10-07 00:00:00+00:00,2021-10-28 00:00:00+00:00,0.357914,0.33022,-0.08105925868497466,21,DAILY_STOP_TRIGGER
DOT/USDT,2021-11-02 00:00:00+00:00,2021-11-17 00:00:00+00:00,49.978,40.831,-0.18628192412645594,15,DAILY_STOP_TRIGGER
BNB/USDT,2021-10-30 00:00:00+00:00,2021-11-19 00:00:00+00:00,533.036,532.015,-0.005899812348977185,20,DAILY_STOP_TRIGGER
LINK/USDT,2022-01-06 00:00:00+00:00,2022-01-22 00:00:00+00:00,25.2149,17.4191,-0.3119321244720106,16,DAILY_STOP_TRIGGER
NEAR/USDT,2022-01-14 00:00:00+00:00,2022-01-22 00:00:00+00:00,19.612,13.22,-0.32861383087384277,8,DAILY_STOP_TRIGGER
SHIB/USDT,2022-02-08 00:00:00+00:00,2022-02-21 00:00:00+00:00,3.255e-05,2.546e-05,-0.22094122047763154,13,DAILY_STOP_TRIGGER
XRP/USDT,2022-02-08 00:00:00+00:00,2022-02-22 00:00:00+00:00,0.83213,0.70156,-0.16027620530752995,14,DAILY_STOP_TRIGGER
LTC/USDT,2022-03-23 00:00:00+00:00,2022-04-08 00:00:00+00:00,122.739,114.139,-0.07377968462003814,16,DAILY_STOP_TRIGGER
AAVE/USDT,2022-03-18 00:00:00+00:00,2022-04-10 00:00:00+00:00,155.623,184.781,0.18262307819156032,23,DAILY_STOP_TRIGGER
UNI/USDT,2022-07-15 00:00:00+00:00,2022-08-14 00:00:00+00:00,7.0195,8.9878,0.2752931916635424,30,MAXIMUM_HOLDING_DAYS
AAVE/USDT,2022-07-15 00:00:00+00:00,2022-08-14 00:00:00+00:00,91.239,110.421,0.2054077489318209,30,MAXIMUM_HOLDING_DAYS
SHIB/USDT,2022-08-15 00:00:00+00:00,2022-08-18 00:00:00+00:00,1.691e-05,1.478e-05,-0.1294501476054395,3,DAILY_STOP_TRIGGER
ADA/USDT,2022-08-15 00:00:00+00:00,2022-08-20 00:00:00+00:00,0.569621,0.449967,-0.21321242624324221,5,DAILY_STOP_TRIGGER
XMR/USDT,2022-09-13 00:00:00+00:00,2022-09-14 00:00:00+00:00,164.03,145.54,-0.11626530515144795,1,DAILY_STOP_TRIGGER
NEAR/USDT,2022-09-10 00:00:00+00:00,2022-09-19 00:00:00+00:00,4.8117,3.915,-0.18960632261258392,9,DAILY_STOP_TRIGGER
AAVE/USDT,2022-10-19 00:00:00+00:00,2022-11-09 00:00:00+00:00,82.505,72.325,-0.12688591667038618,21,DAILY_STOP_TRIGGER
LTC/USDT,2022-10-26 00:00:00+00:00,2022-11-09 00:00:00+00:00,55.925,57.803,0.029454617809530736,14,DAILY_STOP_TRIGGER
BNB/USDT,2023-01-09 00:00:00+00:00,2023-02-08 00:00:00+00:00,274.953,333.081,0.20657470669293065,30,MAXIMUM_HOLDING_DAYS
AAVE/USDT,2023-01-09 00:00:00+00:00,2023-02-08 00:00:00+00:00,59.3,88.717,0.49009848767894226,30,MAXIMUM_HOLDING_DAYS
SOL/USDT,2023-02-21 00:00:00+00:00,2023-02-26 00:00:00+00:00,26.282,22.375,-0.1520554507756423,5,DAILY_STOP_TRIGGER
NEAR/USDT,2023-04-13 00:00:00+00:00,2023-04-22 00:00:00+00:00,2.2263,1.9271,-0.13784890354941204,9,DAILY_STOP_TRIGGER
SOL/USDT,2023-04-13 00:00:00+00:00,2023-04-24 00:00:00+00:00,23.797,21.472,-0.10130338138699269,11,DAILY_STOP_TRIGGER
TRX/USDT,2023-05-02 00:00:00+00:00,2023-06-01 00:00:00+00:00,0.068505,0.075202,0.09337701503787543,30,MAXIMUM_HOLDING_DAYS
ADA/USDT,2023-05-29 00:00:00+00:00,2023-06-06 00:00:00+00:00,0.382775,0.351205,-0.08613941863513519,8,DAILY_STOP_TRIGGER
XLM/USDT,2023-06-01 00:00:00+00:00,2023-06-06 00:00:00+00:00,0.092561,0.087789,-0.05534139745487132,5,DAILY_STOP_TRIGGER
XRP/USDT,2023-07-14 00:00:00+00:00,2023-07-15 00:00:00+00:00,0.8157,0.71793,-0.12337377470142463,1,DAILY_STOP_TRIGGER
TRX/USDT,2023-07-14 00:00:00+00:00,2023-07-25 00:00:00+00:00,0.081715,0.081488,-0.006758874101518431,11,DAILY_STOP_TRIGGER
UNI/USDT,2023-08-01 00:00:00+00:00,2023-08-08 00:00:00+00:00,6.528,5.8756,-0.103531784470275,7,DAILY_STOP_TRIGGER
SHIB/USDT,2023-08-06 00:00:00+00:00,2023-08-18 00:00:00+00:00,9.98e-06,8.124e-06,-0.18922155688622744,12,DAILY_STOP_TRIGGER
