symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason
DOT/USDT,2021-01-01 00:00:00+00:00,2021-01-12 00:00:00+00:00,9.2603,8.2667,-0.11086042551571706,11,DAILY_STOP_TRIGGER
UNI/USDT,2021-01-01 00:00:00+00:00,2021-02-15 00:00:00+00:00,5.1566,20.8239,3.0221794707137715,45,MAXIMUM_HOLDING_DAYS
BNB/USDT,2021-02-18 00:00:00+00:00,2021-02-21 00:00:00+00:00,165.324,253.154,0.5251470154945486,3,DAILY_STOP_TRIGGER
SNX/USDT,2021-01-13 00:00:00+00:00,2021-02-24 00:00:00+00:00,14.804016,18.198533,0.22438966329600452,42,DAILY_STOP_TRIGGER
ADA/USDT,2021-02-21 00:00:00+00:00,2021-03-13 00:00:00+00:00,1.114832,1.03,-0.07978222409036129,20,DAILY_STOP_TRIGGER
UNI/USDT,2021-03-08 00:00:00+00:00,2021-03-25 00:00:00+00:00,34.2668,27.2649,-0.20751111618732032,17,DAILY_STOP_TRIGGER
TRX/USDT,2021-03-20 00:00:00+00:00,2021-03-25 00:00:00+00:00,0.058622,0.055692,-0.05377372579054651,5,DAILY_STOP_TRIGGER
TRX/USDT,2021-04-01 00:00:00+00:00,2021-04-08 00:00:00+00:00,0.093024,0.110468,0.18278089503826878,7,DAILY_STOP_TRIGGER
BNB/USDT,2021-04-02 00:00:00+00:00,2021-04-19 00:00:00+00:00,335.611,481.662,0.429450159871966,17,DAILY_STOP_TRIGGER
XRP/USDT,2021-04-11 00:00:00+00:00,2021-04-19 00:00:00+00:00,1.37204,1.40831,0.022337544089105377,8,DAILY_STOP_TRIGGER
LTC/USDT,2021-05-06 00:00:00+00:00,2021-05-17 00:00:00+00:00,356.128,296.009,-0.17213101091374616,11,DAILY_STOP_TRIGGER
LINK/USDT,2021-05-05 00:00:00+00:00,2021-05-18 00:00:00+00:00,45.5356,37.1847,-0.18665268309120053,13,DAILY_STOP_TRIGGER
BTC/USDT,2021-07-27 00:00:00+00:00,2021-09-08 00:00:00+00:00,37242.9,46861.7,0.2532490043822948,43,DAILY_STOP_TRIGGER
XRP/USDT,2021-07-29 00:00:00+00:00,2021-09-08 00:00:00+00:00,0.7329,1.13001,0.5356787856950855,41,DAILY_STOP_TRIGGER
AVAX/USDT,2021-09-13 00:00:00+00:00,2021-10-11 00:00:00+00:00,59.306,56.546,-0.05034452728105321,28,DAILY_STOP_TRIGGER
