signal_id,fold_id,evaluable_decision_count,excluded_decision_count,mean_rank_ic,median_rank_ic,positive_ic_period_share,mean_top_excess,median_top_excess,positive_top_excess_share,top_quintile_hit_rate
AGE_OR_TENURE,WF01,26,0,0.11625369531700554,0.13355063701318143,0.7307692307692307,0.003839215535206636,-0.0006831479750123628,0.5,0.5064102564102565
AGE_OR_TENURE,WF02,26,0,0.005800872698724183,-0.03893370161495927,0.46153846153846156,0.0018423564763405556,-0.00039476371683339236,0.4230769230769231,0.4935897435897436
AGE_OR_TENURE,WF03,52,0,0.08408136013696613,0.10218809842719011,0.7115384615384616,0.0047710520097190064,0.005113263972856476,0.5961538461538461,0.49679487179487175
ATR_EXPANSION_WITH_POSITIVE_RETURN,WF01,23,3,0.04818759393175149,0.06740823136818687,0.6086956521739131,0.020610232512867862,0.013230193604101992,0.6086956521739131,0.5289855072463768
ATR_EXPANSION_WITH_POSITIVE_RETURN,WF02,24,2,-0.013848994594786617,0.025860613681308896,0.5416666666666666,0.0003739390236208046,-0.005157831798701047,0.4166666666666667,0.5
ATR_EXPANSION_WITH_POSITIVE_RETURN,WF03,40,12,-0.07677046684972184,-0.10753617446865926,0.4,-0.012915635600784528,-0.0011814263203283673,0.45,0.4708333333333334
BETA_ADJUSTED_MOMENTUM_28D,WF01,26,0,-0.03604004449388209,-0.05828698553948832,0.4230769230769231,0.0038050521539801227,-0.005973784020389001,0.46153846153846156,0.5256410256410257
BETA_ADJUSTED_MOMENTUM_28D,WF02,26,0,-0.040587221454852156,-0.07235817575083427,0.4230769230769231,-0.0030767831817963805,-0.0030935112057984384,0.4230769230769231,0.42948717948717946
BETA_ADJUSTED_MOMENTUM_28D,WF03,52,0,-0.04681239227957804,-0.0949944382647386,0.36538461538461536,-0.0016021353811219996,-0.013083298020789764,0.40384615384615385,0.47435897435897434
BTC_RELATIVE_RETURN_28D,WF01,26,0,-0.043022161375887734,-0.06718576195773082,0.38461538461538464,0.009696033561603241,0.004054227628357797,0.5,0.5128205128205129
