fold_id,dominance_quadrant,status,trade_count,net_pnl,mean_net_pnl,mean_return_fraction,win_rate,profit_factor,mean_mfe,mean_mae,mean_holding_hours
AGGREGATE,BTC_DOWN_STABLE_DOWN,VALID,23,-51795.38654211907,-2251.9733279182205,-0.07459071694566316,0.17391304347826086,0.45354993167451635,0.13281897035755832,-0.17887170431355723,307.30434782608694
AGGREGATE,BTC_DOWN_STABLE_UP,VALID,17,23920.176190924252,1407.0691877014267,0.039290677805911334,0.47058823529411764,2.2605160816857284,0.26090120364152014,-0.11456093902197066,520.0
AGGREGATE,BTC_UP_STABLE_DOWN,VALID,80,275805.7621411243,3447.5720267640536,0.10669569403606685,0.5,3.3189136943916355,0.3040054247194496,-0.1081944547642649,341.45
AGGREGATE,BTC_UP_STABLE_UP,VALID,27,36045.07018255096,1335.0025993537392,0.031563738387153414,0.4074074074074074,1.7196106109822467,0.19468723606094673,-0.12567498587517154,337.3333333333333
WF01,BTC_DOWN_STABLE_DOWN,VALID,9,-24269.13904088703,-2696.5710045430033,-0.1343000652118893,0.2222222222222222,0.06350029870948702,0.10335615070191066,-0.20371033146648931,291.1111111111111
WF01,BTC_DOWN_STABLE_UP,VALID,4,-8512.184873767757,-2128.0462184419393,-0.10647690036580093,0.25,0.016222089017778833,0.10158154852947672,-0.15345429904092672,158.0
WF01,BTC_UP_STABLE_DOWN,VALID,12,-1001.2946236797496,-83.44121863997914,-0.019016255069564027,0.4166666666666667,0.9054839163993986,0.17710160688572807,-0.1096163040456584,279.0
WF01,BTC_UP_STABLE_UP,VALID,4,-11065.776692014091,-2766.444173003523,-0.118713769841298,0.0,0.0,0.03541822652221563,-0.16959942677710987,261.0
WF02,BTC_DOWN_STABLE_DOWN,VALID,6,13036.587456312463,2172.7645760520772,0.029680545985014368,0.16666666666666666,2.114634613940959,0.2149614121779602,-0.11203954447700064,339.3333333333333
WF02,BTC_DOWN_STABLE_UP,VALID,5,6031.745240406111,1206.3490480812222,0.06013314284726247,0.6,2.330069899933797,0.24786997841579445,-0.08782578631218498,676.8
WF02,BTC_UP_STABLE_DOWN,VALID,43,76590.5061112426,1781.1745607265723,0.07644130344588906,0.4883720930232558,2.4254713200558458,0.22630318691518553,-0.09314706638844972,329.3953488372093
WF02,BTC_UP_STABLE_UP,VALID,5,13281.677283766487,2656.3354567532974,0.1274471278517884,0.4,2.525400543991022,0.28713732421934113,-0.14662942197581258,432.0
WF03,BTC_DOWN_STABLE_DOWN,VALID,8,-40562.83495754451,-5070.354369693064,-0.08562114734416684,0.125,0.2905450128171262,0.10435781110486059,-0.20105236864392612,301.5
WF03,BTC_DOWN_STABLE_UP,VALID,8,26400.6158242859,3300.0769780357373,0.099147926240923,0.5,5.560449141266655,0.34870554696362044,-0.11182372945610869,603.0
WF03,BTC_UP_STABLE_DOWN,VALID,25,200216.55065356143,8008.662026142457,0.21907498142187545,0.56,4.666054948283484,0.4985671063029701,-0.1333934751155981,392.16
WF03,BTC_UP_STABLE_UP,VALID,18,33829.16959079857,1879.3983105999205,0.03832446536441066,0.5,2.115851851798517,0.20439976924777742,-0.11009332231345162,328.0
