cost_mode,transaction_cost,fixed_compounded_return,pit_compounded_return,delta_compounded_return,fixed_mean_fold_return,pit_mean_fold_return,delta_mean_fold_return,fixed_worst_fold_return,pit_worst_fold_return,delta_worst_fold_return,fixed_mean_maximum_drawdown,pit_mean_maximum_drawdown,delta_mean_maximum_drawdown,fixed_expectancy,pit_expectancy,delta_expectancy,fixed_trade_count,pit_trade_count,delta_trade_count,fixed_turnover,pit_turnover,delta_turnover,fixed_fees,pit_fees,delta_fees,fixed_top_1_symbol_contribution,pit_top_1_symbol_contribution,delta_top_1_symbol_contribution,fixed_profit_factor,pit_profit_factor,delta_profit_factor,fixed_break_even_fee,pit_break_even_fee,delta_break_even_fee
ZERO_COST,0.0,3.2184367709303876,-0.40411894482882516,-3.622555715759213,1.0506985290683308,-0.058993547309334295,-1.1096920763776652,-0.4343476954041896,-0.5887347479585601,-0.15438705255437046,0.4164948802205643,0.5389537577499274,0.12245887752936307,2144.282712384349,-115.67362217516548,-2259.9563345595143,147.0,153.0,6.0,9257544.135029491,5351123.608669361,-3906420.52636013,0.0,0.0,0.0,0.17817037984438203,0.29324617124013264,0.11507579139575061,2.121960767414217,0.9170171807414186,-1.2049435866727984,0.03404893934318739,-0.0033073547701510182,-0.037356294113338406
BASE_COST,0.002,2.6861470605832247,-0.4810345157020558,-3.1671815762852806,0.9465854065749347,-0.10555219266528004,-1.0521375992402149,-0.44848395230348626,-0.6004860326022057,-0.15200208029871942,0.4312530196716661,0.5534433874568565,0.12219036778519038,1931.806952193744,-206.9650836574116,-2138.7720358511556,147.0,153.0,6.0,8994638.117716236,5223277.757630483,-3771360.360085753,17989.276235432473,10446.555515260969,-7542.720720171505,0.18040560400257027,0.3034823360035585,0.12307673200098823,2.004196566411565,0.8533000104768909,-1.1508965559346742,0.03357165616403727,-0.004062411242313284,-0.03763406740635055
STRESS_0_4_PERCENT,0.004,2.22009138426767,-0.5481740878572945,-2.7682654721249644,0.8476955291516058,-0.14984169069945708,-0.9975372198510629,-0.46229625067711766,-0.6119255068690967,-0.1496292561919791,0.4455981573322763,0.5674969464635001,0.12189878913122382,1729.9908758196034,-293.8072366656021,-2023.7981124852054,147.0,153.0,6.0,8741204.505504228,5099663.546565982,-3641540.9589382466,34964.81802201691,20398.654186263928,-14566.163835752981,0.18210433650059224,0.3150068567240161,0.1329025202234239,1.893965267436359,0.7943213832026699,-1.099643884233689,0.033093091070612375,-0.00481479862335375,-0.03790788969396613
