symbol,row_count,duplicate_count,gap_count,null_nonfinite_count,flat_bar_share,zero_quote_volume_share,zero_trade_count_share,zero_taker_buy_share,taker_exceeds_quote_count,largest_robust_return_outlier,symbol_excluded
1INCH,8766,0,0,0,0.0,0.0,0.0,0.0,0,22.09757238894232,False
AAVE,8766,0,0,0,0.0,0.0,0.0,0.0,0,14.986259196689693,False
ADA,8766,0,0,0,0.0,0.0,0.0,0.0,0,12.909837321234907,False
ALGO,8766,0,0,0,0.0,0.0,0.0,0.0,0,12.339043051882602,False
AVAX,8766,0,0,0,0.0,0.0,0.0,0.0,0,15.372389352003484,False
BAL,8766,0,0,0,0.0,0.0,0.0,0.0,0,12.963603881209533,False
BAT,8766,0,0,0,0.0,0.0,0.0,0.0,0,18.809354645885303,False
BCH,8766,0,0,0,0.0,0.0,0.0,0.0,0,20.230711908357144,False
BTC,8766,0,0,0,0.0,0.0,0.0,0.0,0,18.435218524334957,False
COMP,8766,0,0,0,0.0,0.0,0.0,0.0,0,17.514567433930225,False
CRV,8766,0,0,0,0.0,0.0,0.0,0.0,0,15.552003189186689,False
DASH,8766,0,0,0,0.0,0.0,0.0,0.0,0,20.129976783402096,False
DOGE,8766,0,0,0,0.0,0.0,0.0,0.0,0,62.09481066938372,False
DOT,8766,0,0,0,0.0,0.0,0.0,0.0,0,21.164169354616902,False
ETC,8766,0,0,0,0.0,0.0,0.0,0.0,0,25.78686978798904,False
ETH,8766,0,0,0,0.0,0.0,0.0,0.0,0,15.5268435537012,False
FLOW,7503,0,0,0,0.0,0.0,0.0,0.0,0,24.801753797372903,False
FTT,6900,0,1,0,0.0,0.0,0.0,0.0,0,69.80795511095744,False
ICP,7986,0,0,0,0.0,0.0,0.0,0.0,0,24.294320114131107,False
LDO,5806,0,0,0,0.0,0.0,0.0,0.0,0,12.46832863313852,False
LINK,8766,0,0,0,0.0,0.0,0.0,0.0,0,12.292385533693597,False
LPT,7883,0,0,0,0.0,0.0,0.0,0.0,0,19.53974898808187,False
LRC,8766,0,0,0,0.0,0.0,0.0,0.0,0,17.48166344762767,False
LTC,8766,0,0,0,0.0,0.0,0.0,0.0,0,14.114178036472282,False
MANA,8766,0,0,0,0.0,0.0,0.0,0.0,0,22.67272196775519,False
MATIC,8089,0,0,0,0.0,0.0,0.0,0.0,0,15.75479177937232,False
NEO,8766,0,0,0,0.0,0.0,0.0,0.0,0,21.2163931661916,False
PAXG,8766,0,0,0,0.0,0.0,0.0,0.00011407711613050422,0,22.278678646461973,False
QNT,7511,0,0,0,0.0,0.0,0.0,0.0,0,17.035856125552776,False
SHIB,7990,0,0,0,0.0,0.0,0.0,0.0,0,25.410567442340504,False
SNX,8766,0,0,0,0.0,0.0,0.0,0.0,0,14.701581192388305,False
SUSHI,8766,0,0,0,0.0,0.0,0.0,0.0,0,12.744151570836078,False
UMA,8766,0,0,0,0.0,0.0,0.0,0.0,0,27.21238371521655,False
UNI,8766,0,0,0,0.0,0.0,0.0,0.0,0,30.968212235581056,False
XLM,8766,0,0,0,0.0,0.0,0.0,0.0,0,34.43360206870795,False
XMR,6871,0,0,0,0.0,0.0,0.0,0.0,0,17.017358695612394,False
XRP,8766,0,0,0,0.0,0.0,0.0,0.0,0,33.16619263755285,False
XTZ,8766,0,0,0,0.0,0.0,0.0,0.0,0,17.405243088787753,False
ZEC,8766,0,0,0,0.0,0.0,0.0,0.0,0,17.72807359490917,False
ZRX,8766,0,0,0,0.0,0.0,0.0,0.0,0,23.931995172755308,False
