signal_id,label_id,decision_count,mean_rank_ic,median_rank_ic,mean_top_excess,used_for_confirmation
XSM_RETURN_7D,FORWARD_1D_RETURN,104,-0.05280210612524295,-0.0625139043381535,0.0013231697231755922,False
XSM_RETURN_7D,FORWARD_3D_RETURN,104,-0.0668563360999401,-0.08943270300333704,-0.000267181490145663,False
XSM_RETURN_7D,FORWARD_14D_RETURN,103,-0.0022334879716868327,0.004226918798665183,-0.0006228215753015774,False
XSM_RETURN_7D,FORWARD_28D_RETURN,101,0.00582637001980827,0.010011123470522803,-0.016789294662990836,False
XSM_RETURN_7D,FORWARD_7D_MAX_FAVOURABLE_EXCURSION,104,0.024575841288855753,-0.014905450500556174,0.02470175975980651,False
XSM_RETURN_7D,FORWARD_7D_MAX_ADVERSE_EXCURSION,104,-0.043126061924727115,-0.04516129032258065,-0.009614070405528913,False
XSM_RETURN_28D,FORWARD_1D_RETURN,104,-0.08188249459105967,-0.09610678531701891,-0.0010284457298760132,False
XSM_RETURN_28D,FORWARD_3D_RETURN,104,-0.05886760625359068,-0.08698553948832036,-0.00016042291349770377,False
XSM_RETURN_28D,FORWARD_14D_RETURN,103,-0.04017316204320103,-0.03937708565072302,-0.012993974427180994,False
XSM_RETURN_28D,FORWARD_28D_RETURN,101,-0.041546555736139315,-0.04649610678531702,-0.0365570671042344,False
XSM_RETURN_28D,FORWARD_7D_MAX_FAVOURABLE_EXCURSION,104,0.012638126611986461,-0.004004449388209121,0.016363238567781102,False
XSM_RETURN_28D,FORWARD_7D_MAX_ADVERSE_EXCURSION,104,-0.08027493918761995,-0.0914349276974416,-0.012274991515085602,False
XSM_RETURN_84D,FORWARD_1D_RETURN,104,-0.06256829933136941,-0.0525027808676307,-0.001796607765979742,False
XSM_RETURN_84D,FORWARD_3D_RETURN,104,-0.034966048967717496,-0.059844271412680755,-5.813159693045191e-06,False
XSM_RETURN_84D,FORWARD_14D_RETURN,103,-0.044617304787720684,-0.022914349276974416,-0.014928867804354583,False
XSM_RETURN_84D,FORWARD_28D_RETURN,101,-0.04446493274784335,-0.028698553948832035,-0.03608569552021125,False
XSM_RETURN_84D,FORWARD_7D_MAX_FAVOURABLE_EXCURSION,104,-0.0078226417631312,0.00022246941045606268,0.007447229195152219,False
XSM_RETURN_84D,FORWARD_7D_MAX_ADVERSE_EXCURSION,104,-0.09153623073256,-0.10433815350389322,-0.009587190340140703,False
XSM_28D_SKIP_1D,FORWARD_1D_RETURN,104,-0.07778820178708944,-0.07853170189098999,-0.0015147890547912277,False
XSM_28D_SKIP_1D,FORWARD_3D_RETURN,104,-0.04899262306103241,-0.08542825361512793,-0.0023349342527822533,False
XSM_28D_SKIP_1D,FORWARD_14D_RETURN,103,-0.03512918499365145,-0.030033370411568408,-0.013759779222539265,False
XSM_28D_SKIP_1D,FORWARD_28D_RETURN,101,-0.03669030338597184,-0.05183537263626251,-0.031990215659010716,False
XSM_28D_SKIP_1D,FORWARD_7D_MAX_FAVOURABLE_EXCURSION,104,0.011792406703418941,-0.008231368186874304,0.009864772301044829,False
XSM_28D_SKIP_1D,FORWARD_7D_MAX_ADVERSE_EXCURSION,104,-0.0780494811084355,-0.07764182424916574,-0.012337647001349688,False
TSM_RETURN_28D,FORWARD_1D_RETURN,104,-0.08188249459105967,-0.09610678531701891,-0.0010284457298760132,False
TSM_RETURN_28D,FORWARD_3D_RETURN,104,-0.05886760625359068,-0.08698553948832036,-0.00016042291349770377,False
TSM_RETURN_28D,FORWARD_14D_RETURN,103,-0.04017316204320103,-0.03937708565072302,-0.012993974427180994,False
TSM_RETURN_28D,FORWARD_28D_RETURN,101,-0.041546555736139315,-0.04649610678531702,-0.0365570671042344,False
TSM_RETURN_28D,FORWARD_7D_MAX_FAVOURABLE_EXCURSION,104,0.012638126611986461,-0.004004449388209121,0.016363238567781102,False
TSM_RETURN_28D,FORWARD_7D_MAX_ADVERSE_EXCURSION,104,-0.08027493918761995,-0.0914349276974416,-0.012274991515085602,False
TSM_RETURN_84D,FORWARD_1D_RETURN,104,-0.06256829933136941,-0.0525027808676307,-0.001796607765979742,False
TSM_RETURN_84D,FORWARD_3D_RETURN,104,-0.034966048967717496,-0.059844271412680755,-5.813159693045191e-06,False
TSM_RETURN_84D,FORWARD_14D_RETURN,103,-0.044617304787720684,-0.022914349276974416,-0.014928867804354583,False
TSM_RETURN_84D,FORWARD_28D_RETURN,101,-0.04446493274784335,-0.028698553948832035,-0.03608569552021125,False
TSM_RETURN_84D,FORWARD_7D_MAX_FAVOURABLE_EXCURSION,104,-0.0078226417631312,0.00022246941045606268,0.007447229195152219,False
TSM_RETURN_84D,FORWARD_7D_MAX_ADVERSE_EXCURSION,104,-0.09153623073256,-0.10433815350389322,-0.009587190340140703,False
EMA_20_50_TREND_STATE,FORWARD_1D_RETURN,104,-0.003224125707440498,-0.010901001112347052,4.674380514895826e-05,False
EMA_20_50_TREND_STATE,FORWARD_3D_RETURN,104,-0.0007184417362392856,0.00489432703003337,-0.0015684914880872895,False
EMA_20_50_TREND_STATE,FORWARD_14D_RETURN,103,-0.015999746983472167,-0.05539488320355951,-0.016110432007599543,False
EMA_20_50_TREND_STATE,FORWARD_28D_RETURN,101,-0.013578972707377207,-0.04649610678531702,-0.030190629576132687,False
EMA_20_50_TREND_STATE,FORWARD_7D_MAX_FAVOURABLE_EXCURSION,104,-0.04940669730714224,-0.05939933259176863,-0.025580267266305724,False
EMA_20_50_TREND_STATE,FORWARD_7D_MAX_ADVERSE_EXCURSION,104,0.03996045667347114,0.014238042269187987,0.01109234369804373,False
MULTI_HORIZON_TREND_AGREEMENT,FORWARD_1D_RETURN,104,-0.058081713775048636,-0.06699066636151463,0.0004913817525728473,False
MULTI_HORIZON_TREND_AGREEMENT,FORWARD_3D_RETURN,104,-0.0411693867399831,-0.04610679123062053,0.002705587636890106,False
MULTI_HORIZON_TREND_AGREEMENT,FORWARD_14D_RETURN,103,-0.046700706319994796,-0.036111395774435506,-2.805242357028466e-06,False
MULTI_HORIZON_TREND_AGREEMENT,FORWARD_28D_RETURN,101,-0.0397061776162832,-0.02388683085981526,-0.013370023735366903,False
MULTI_HORIZON_TREND_AGREEMENT,FORWARD_7D_MAX_FAVOURABLE_EXCURSION,104,0.008285969088214539,0.006344958288984419,0.004619460958495767,False
MULTI_HORIZON_TREND_AGREEMENT,FORWARD_7D_MAX_ADVERSE_EXCURSION,104,-0.06167502506397067,-0.08779899747620504,-0.001995035292912864,False
REVERSAL_1D_VOL_NORMALIZED,FORWARD_1D_RETURN,104,0.017095918541969707,0.028253615127919914,-0.0010407849544914797,False
REVERSAL_1D_VOL_NORMALIZED,FORWARD_3D_RETURN,104,0.03750320869342004,0.06585094549499443,-0.0007535073212039738,False
