label_id,horizon_days,convention,missing_horizon_handling,execution_status
FORWARD_7D_CLOSE_TO_CLOSE_RETURN,7,next eligible close-to-close,EXCLUDE_AND_REPORT,REGISTERED_NOT_COMPUTED
FORWARD_1D_RETURN,1,next eligible close-to-close,EXCLUDE_AND_REPORT,REGISTERED_NOT_COMPUTED
FORWARD_3D_RETURN,3,next eligible close-to-close,EXCLUDE_AND_REPORT,REGISTERED_NOT_COMPUTED
FORWARD_14D_RETURN,14,next eligible close-to-close,EXCLUDE_AND_REPORT,REGISTERED_NOT_COMPUTED
FORWARD_28D_RETURN,28,next eligible close-to-close,EXCLUDE_AND_REPORT,REGISTERED_NOT_COMPUTED
FORWARD_7D_MAX_FAVOURABLE_EXCURSION,7,next eligible high,EXCLUDE_AND_REPORT,REGISTERED_NOT_COMPUTED
FORWARD_7D_MAX_ADVERSE_EXCURSION,7,next eligible low,EXCLUDE_AND_REPORT,REGISTERED_NOT_COMPUTED
