signal_id,regime_id,state,decision_count,mean_rank_ic
TSM_RETURN_28D,BTC_TREND_STATE,UP,80,-0.030073692992213564
TSM_RETURN_28D,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,-0.08263502657273514
TSM_RETURN_28D,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,-0.051664970534636596
TSM_RETURN_28D,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,-0.022517897378853995
TSM_RETURN_28D,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,-0.07965260545905704
TSM_RETURN_28D,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,-0.02709955506117909
TSM_RETURN_28D,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,-0.02485590049550005
TSM_RETURN_28D,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,-0.04609502010781211
TSM_RETURN_28D,MARKET_BREADTH_TERCILE,HIGH,48,-0.08733083055246571
TSM_RETURN_28D,MARKET_BREADTH_TERCILE,LOW,21,-0.1274961597542243
TSM_RETURN_28D,MARKET_BREADTH_TERCILE,MID,35,0.05929763228984586
TSM_RETURN_28D,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,-0.04609502010781211
TSM_RETURN_84D,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,-0.10921394141638857
TSM_RETURN_84D,BTC_TREND_STATE,UP,80,-0.03255939138725568
TSM_RETURN_84D,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,-0.10842382188322121
TSM_RETURN_84D,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,-0.03469102785601022
TSM_RETURN_84D,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,-0.042148174406238914
TSM_RETURN_84D,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,-0.06908286374359787
TSM_RETURN_84D,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,-0.03798665183537263
TSM_RETURN_84D,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,-0.039881253340652664
TSM_RETURN_84D,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,-0.05024890293244019
TSM_RETURN_84D,MARKET_BREADTH_TERCILE,HIGH,48,-0.05569978547592563
TSM_RETURN_84D,MARKET_BREADTH_TERCILE,LOW,21,-0.0951631820692682
TSM_RETURN_84D,MARKET_BREADTH_TERCILE,MID,35,-0.01582483939070622
TSM_RETURN_84D,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,-0.05024890293244019
EMA_20_50_TREND_STATE,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,-0.14234334445680386
EMA_20_50_TREND_STATE,BTC_TREND_STATE,UP,80,0.004266844112505963
EMA_20_50_TREND_STATE,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,0.03994561858855519
EMA_20_50_TREND_STATE,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,-0.05540434998698316
EMA_20_50_TREND_STATE,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,-0.030510498029964087
EMA_20_50_TREND_STATE,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,-0.009837955889123845
EMA_20_50_TREND_STATE,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,-0.0793103448275862
EMA_20_50_TREND_STATE,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,-0.004644891630431119
EMA_20_50_TREND_STATE,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,-0.029566276326565534
EMA_20_50_TREND_STATE,MARKET_BREADTH_TERCILE,HIGH,48,-0.0010828830976216907
EMA_20_50_TREND_STATE,MARKET_BREADTH_TERCILE,LOW,21,-0.1476879071984745
EMA_20_50_TREND_STATE,MARKET_BREADTH_TERCILE,MID,35,0.0022437629111711436
EMA_20_50_TREND_STATE,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,-0.029566276326565534
MULTI_HORIZON_TREND_AGREEMENT,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,-0.08695422062114684
MULTI_HORIZON_TREND_AGREEMENT,BTC_TREND_STATE,UP,80,-0.025511723616488107
MULTI_HORIZON_TREND_AGREEMENT,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,-0.001420591940536248
MULTI_HORIZON_TREND_AGREEMENT,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,-0.041198385662432106
MULTI_HORIZON_TREND_AGREEMENT,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,-0.055537035978528486
MULTI_HORIZON_TREND_AGREEMENT,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,-0.027205288256777614
MULTI_HORIZON_TREND_AGREEMENT,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,-0.054095627616755466
MULTI_HORIZON_TREND_AGREEMENT,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,-0.04047796540836575
MULTI_HORIZON_TREND_AGREEMENT,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,-0.03969076138679398
MULTI_HORIZON_TREND_AGREEMENT,MARKET_BREADTH_TERCILE,HIGH,48,-0.04912179074520146
MULTI_HORIZON_TREND_AGREEMENT,MARKET_BREADTH_TERCILE,LOW,21,-0.08884022584090792
MULTI_HORIZON_TREND_AGREEMENT,MARKET_BREADTH_TERCILE,MID,35,0.002732900405776124
MULTI_HORIZON_TREND_AGREEMENT,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,-0.03969076138679398
REVERSAL_1D_VOL_NORMALIZED,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,0.028902484241750088
REVERSAL_1D_VOL_NORMALIZED,BTC_TREND_STATE,UP,80,0.028651477832512318
REVERSAL_1D_VOL_NORMALIZED,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,0.04132987269805956
REVERSAL_1D_VOL_NORMALIZED,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,0.042387522779447614
