canonical_symbol,row_count_4h,row_count_8h,row_count_1d,first_bar_open_time,last_bar_close_time,source_pairs,incomplete_8h_edge_group_count,incomplete_1d_edge_group_count,integrity_status
MATIC,2512,1256,418,2023-11-09T08:00:00+00:00,2025-01-01T00:00:00+00:00,POL-USDT,0,1,COMPLETE
BCH,8766,4383,1461,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,BCH-USDT,0,0,COMPLETE
