symbol,exchange,tradable_from,tradable_until,listing_delay_hours,delisting_advance_hours,source_symbols,availability_basis,segment_id,bar_count
1INCH,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,1INCH-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
AAVE,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,AAVE/USDT,,,
ADA,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,ADA/USDT,,,
ALGO,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,ALGO-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
AVAX,kucoin,2021-03-05T08:00:00+00:00,2025-01-01T00:00:00+00:00,1520.0,0.0,AVAX/USDT,,,
BAL,kucoin,2021-09-03T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,BAL-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,7294.0
BAT,kucoin,2021-02-08T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,BAT-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8538.0
BNB,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,BNB/USDT,,,
BTC,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,BTC/USDT,,,
COMP,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,COMP-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
CRO,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,CRO-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
CRV,kucoin,2021-01-21T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,CRV-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8644.0
CVC,kucoin,2024-11-08T04:00:00+00:00,2025-01-01T00:00:00+00:00,,,CVC-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,323.0
DASH,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,DASH-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
DCR,kucoin,2023-11-22T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,DCR-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,2434.0
DEXE,kucoin,2021-09-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,6480.0,0.0,DEXE/USDT,,,
DGB,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,DGB-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
DOGE,kucoin,2021-02-09T00:00:00+00:00,2025-01-01T00:00:00+00:00,936.0,0.0,DOGE/USDT,,,
DOT,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,DOT/USDT,,,
ENA,kucoin,2024-06-14T00:00:00+00:00,2025-01-01T00:00:00+00:00,30240.0,0.0,ENA/USDT,,,
ETC,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,ETC-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
ETH,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,ETH/USDT,,,
FLOW,kucoin,2021-09-14T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,FLOW-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,7228.0
FTT,kucoin,2021-09-24T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,FTT-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,7168.0
GAS,kucoin,2021-03-05T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,GAS-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8386.0
GRAM,kucoin,2022-12-22T00:00:00+00:00,2025-01-01T00:00:00+00:00,17280.0,0.0,GRAM/USDT,,,
HYPE,kucoin,2024-12-11T00:00:00+00:00,2025-01-01T00:00:00+00:00,34560.0,0.0,HYPE/USDT,,,
ICP,kucoin,2021-05-11T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,ICP-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,7984.0
ICX,kucoin,2022-06-17T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,ICX-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,5572.0
KNC,kucoin,2022-04-26T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,KNC-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,5884.0
LDO,kucoin,2022-07-08T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,LDO-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,5446.0
LINK,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,LINK/USDT,,,
LPT,kucoin,2021-06-30T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,LPT-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,7684.0
LRC,kucoin,2021-02-03T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,LRC-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8566.0
LTC,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,LTC/USDT,,,
MANA,kucoin,2021-03-17T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,MANA-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8314.0
NEAR,kucoin,2021-09-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,6480.0,0.0,NEAR/USDT,,,
NEO,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,NEO-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
ONDO,kucoin,2024-03-16T00:00:00+00:00,2025-01-01T00:00:00+00:00,28080.0,0.0,ONDO/USDT,,,
PAXG,kucoin,2021-11-10T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,PAXG-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,6886.0
PEPE,kucoin,2023-06-20T00:00:00+00:00,2025-01-01T00:00:00+00:00,21600.0,0.0,PEPE/USDT,,,
QNT,kucoin,2021-02-07T12:00:00+00:00,2025-01-01T00:00:00+00:00,,,QNT-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8541.0
QTUM,kucoin,2024-11-11T04:00:00+00:00,2025-01-01T00:00:00+00:00,,,QTUM-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,305.0
SEI,kucoin,2023-09-18T00:00:00+00:00,2025-01-01T00:00:00+00:00,23760.0,0.0,SEI/USDT,,,
SHIB,kucoin,2021-05-10T04:00:00+00:00,2025-01-01T00:00:00+00:00,3100.0,0.0,SHIB/USDT,,,
SNX,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,SNX/USDT,,,
SOL,kucoin,2021-09-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,6480.0,0.0,SOL/USDT,,,
SUI,kucoin,2023-06-20T00:00:00+00:00,2025-01-01T00:00:00+00:00,21600.0,0.0,SUI/USDT,,,
SUSHI,kucoin,2021-01-22T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,SUSHI-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8638.0
SYN,kucoin,2023-03-22T00:00:00+00:00,2025-01-01T00:00:00+00:00,19440.0,0.0,SYN/USDT,,,
TAO,kucoin,2024-03-16T00:00:00+00:00,2025-01-01T00:00:00+00:00,28080.0,0.0,TAO/USDT,,,
TRX,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,TRX/USDT,,,
UMA,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,UMA-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
UNI,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,UNI/USDT,,,
VET,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,VET-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
XEM,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,XEM-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
XLM,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,XLM/USDT,,,
XMR,kucoin,2021-03-24T08:00:00+00:00,2025-01-01T00:00:00+00:00,1976.0,0.0,XMR/USDT,,,
XRP,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,XRP/USDT,,,
XTZ,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,XTZ-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
YFI,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,,,YFI-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8766.0
ZEC,kucoin,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0,0.0,ZEC/USDT,,,
ZIL,kucoin,2021-04-07T04:00:00+00:00,2025-01-01T00:00:00+00:00,,,ZIL-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,8189.0
ZRX,kucoin,2023-11-22T08:00:00+00:00,2025-01-01T00:00:00+00:00,,,ZRX-USDT,OBSERVED_CONTIGUOUS_4H_CANDLES,1.0,2434.0
