symbol,universe_mode,entry_membership_role,trade_count,net_pnl,mean_trade_pnl,win_rate,profit_factor,fixed_survivor_member,pit_ever_member,pit_entrant_symbol,pit_membership_weeks,pit_membership_share,common_weeks,entrant_weeks,removed_survivor_weeks,first_pit_rebalance,last_pit_rebalance,longest_consecutive_pit_weeks,best_market_cap_rank,median_market_cap_rank,worst_market_cap_rank,best_venue_rank,median_venue_rank,worst_venue_rank
1INCH,PIT_UNIVERSE,PIT_ENTRANT,1,-1337.620607419449,-1337.620607419449,0.0,0.0,False,True,True,142,0.9044585987261147,0,142,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,136,26.0,30.0,36.0,22.0,25.0,30.0
ALGO,PIT_UNIVERSE,PIT_ENTRANT,4,-10186.56521514565,-2546.6413037864127,0.0,0.0,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,14.0,22.0,27.0,13.0,19.0,22.0
ALGO,UNION_FIXED_AND_PIT,PIT_ENTRANT,2,-6779.494698924787,-3389.7473494623937,0.0,0.0,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,14.0,22.0,27.0,13.0,19.0,22.0
BCH,PIT_UNIVERSE,PIT_ENTRANT,6,-5180.614896050618,-863.4358160084363,0.16666666666666666,0.2492925035436444,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,11.0,16.0,23.0,10.0,15.0,20.0
BCH,UNION_FIXED_AND_PIT,PIT_ENTRANT,3,-7593.4075622277805,-2531.135854075927,0.3333333333333333,0.18547262203733275,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,11.0,16.0,23.0,10.0,15.0,20.0
COMP,PIT_UNIVERSE,PIT_ENTRANT,2,2461.6237184073834,1230.8118592036917,0.5,2.2008180464438625,False,True,True,134,0.8535031847133758,0,134,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,80,30.0,34.0,38.0,25.0,28.0,30.0
COMP,UNION_FIXED_AND_PIT,PIT_ENTRANT,2,2401.293697143816,1200.646848571908,0.5,2.1257271516338845,False,True,True,134,0.8535031847133758,0,134,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,80,30.0,34.0,38.0,25.0,28.0,30.0
CRO,PIT_UNIVERSE,PIT_ENTRANT,5,-1855.8520317875434,-371.1704063575087,0.4,0.6932319383748187,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,4.0,9.0,13.0,4.0,9.0,12.0
CRO,UNION_FIXED_AND_PIT,PIT_ENTRANT,2,-247.18008958989776,-123.59004479494888,0.5,0.895723833894384,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,4.0,9.0,13.0,4.0,9.0,12.0
CRV,PIT_UNIVERSE,PIT_ENTRANT,4,-12434.35088688598,-3108.587721721495,0.0,0.0,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,18.0,24.0,33.0,17.0,20.0,28.0
CRV,UNION_FIXED_AND_PIT,PIT_ENTRANT,1,-12955.541817854772,-12955.541817854772,0.0,0.0,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,18.0,24.0,33.0,17.0,20.0,28.0
DASH,PIT_UNIVERSE,PIT_ENTRANT,2,-1139.4741797730608,-569.7370898865304,0.0,0.0,False,True,True,71,0.45222929936305734,0,71,0,2022-03-14T00:00:00+00:00,2023-11-06T00:00:00+00:00,57,30.0,36.0,38.0,26.0,29.0,30.0
