signal_id,grid_id,decision_count,evaluable_decision_count,mean_rank_ic,median_rank_ic,ic_information_ratio,positive_ic_share,mean_top_excess,positive_top_excess_share
DISTANCE_FROM_EMA20_ATR_4H,PRIMARY_GRID,728,728,0.042862586595998585,0.04404894327030033,0.1872987106155932,0.5755494505494505,-1.4919387615336825e-05,0.5137362637362637
DISTANCE_FROM_EMA20_ATR_4H,REPLICATION_A,727,727,0.05139320462300456,0.04649610678531702,0.2286125439483141,0.5873452544704264,-0.00032829737397092066,0.4965612104539202
DISTANCE_FROM_EMA20_ATR_4H,REPLICATION_B,727,727,0.05626946033572379,0.05228031145717464,0.24113808511034276,0.5969738651994498,0.0002211393736353075,0.5213204951856947
DONCHIAN_42_POSITION,PRIMARY_GRID,728,728,-0.024945789050607542,-0.026473859844271412,-0.11640059738737697,0.4491758241758242,0.00015844603220416514,0.4642857142857143
DONCHIAN_42_POSITION,REPLICATION_A,727,727,-0.02834023827778612,-0.022914349276974416,-0.1275401744055636,0.45529573590096284,-3.0277545516961266e-05,0.4580467675378267
DONCHIAN_42_POSITION,REPLICATION_B,727,727,-0.034650050967449,-0.03181312569521691,-0.1507024899653765,0.42916093535075656,0.0002371770417131189,0.4511691884456671
DRAWDOWN_RESILIENCE_42,PRIMARY_GRID,728,728,0.034557572340891685,0.04582869855394883,0.11103449333845018,0.5412087912087912,-7.09971869959775e-05,0.4766483516483517
DRAWDOWN_RESILIENCE_42,REPLICATION_A,727,727,0.03921159415932373,0.035372636262513905,0.1323374164429574,0.5639614855570839,-2.627270421533944e-05,0.5199449793672627
DRAWDOWN_RESILIENCE_42,REPLICATION_B,727,727,0.03612863444481335,0.04471635150166852,0.12347296869366393,0.5557083906464925,-0.00017817190452065195,0.4951856946354883
LOW_REALIZED_VOLATILITY_42,PRIMARY_GRID,728,728,0.06756494782455627,0.07230255839822025,0.21402261663814887,0.5851648351648352,-0.0002925216673820205,0.49313186813186816
LOW_REALIZED_VOLATILITY_42,REPLICATION_A,727,727,0.07002704089424228,0.071412680756396,0.22716263258821237,0.5859697386519945,-0.00024617792026685164,0.5061898211829436
LOW_REALIZED_VOLATILITY_42,REPLICATION_B,727,727,0.06910833657011972,0.0625139043381535,0.22474078875802028,0.5722145804676754,-0.00030510933618283984,0.48830811554332876
PATH_EFFICIENCY_42BAR,PRIMARY_GRID,728,728,-0.04883508238095777,-0.05183537263626252,-0.21711691770218025,0.41620879120879123,0.0002314462165626961,0.4766483516483517
PATH_EFFICIENCY_42BAR,REPLICATION_A,727,727,-0.04785632852974062,-0.046941045606229144,-0.22221785699837981,0.40440165061898214,0.00046474070622264563,0.45392022008253097
PATH_EFFICIENCY_42BAR,REPLICATION_B,727,727,-0.0529162843264331,-0.05228031145717464,-0.22375974910080262,0.42916093535075656,0.0008923995057193647,0.4814305364511692
PRICE_TURNOVER_CONFIRMATION_18,PRIMARY_GRID,728,728,-0.007867832344451294,-0.008620689655172414,-0.038302895306951745,0.47527472527472525,0.0003923995768360049,0.47527472527472525
PRICE_TURNOVER_CONFIRMATION_18,REPLICATION_A,727,727,-0.00512676592958229,-0.0135706340378198,-0.02456792432536925,0.47042640990371387,0.00017546639617916447,0.4786795048143054
PRICE_TURNOVER_CONFIRMATION_18,REPLICATION_B,727,727,-0.008437284378884004,-0.0055617352614015575,-0.040520500209351676,0.48693259972489683,0.0010716158462393678,0.48418156808803303
QUOTE_TURNOVER_ACCELERATION_6_42,PRIMARY_GRID,728,728,-0.01738637962007561,-0.011806769426346734,-0.08153083387118004,0.4725274725274725,0.0007434350441957295,0.4945054945054945
QUOTE_TURNOVER_ACCELERATION_6_42,REPLICATION_A,727,727,-0.016097829985079384,-0.021182266009852218,-0.07325532374150513,0.4580467675378267,2.457813242613054e-05,0.4731774415405777
QUOTE_TURNOVER_ACCELERATION_6_42,REPLICATION_B,727,727,-0.020860933449121766,-0.02246941045606229,-0.09642244135020238,0.47042640990371387,0.00030675440709081566,0.4607977991746905
RETURN_18BAR,PRIMARY_GRID,728,728,-0.04849890937520634,-0.04560622914349277,-0.1923957673985661,0.4230769230769231,-0.00025169895429866273,0.4478021978021978
RETURN_18BAR,REPLICATION_A,727,727,-0.04584950571507787,-0.04338153503893215,-0.1870401469994127,0.4305364511691884,-0.00011416795597634228,0.45667125171939477
RETURN_18BAR,REPLICATION_B,727,727,-0.053876766226561,-0.05094549499443826,-0.21077522357485126,0.41815680880330125,-0.00022610694895901972,0.4484181568088033
RETURN_42BAR,PRIMARY_GRID,728,728,-0.055736704795043855,-0.07274749721913237,-0.22530294245590898,0.38324175824175827,0.0006859334993279323,0.46703296703296704
RETURN_42BAR,REPLICATION_A,727,727,-0.05023131857929513,-0.05583982202447164,-0.2043122212204845,0.4154057771664374,0.0005217376916342999,0.46354883081155435
RETURN_42BAR,REPLICATION_B,727,727,-0.05629968772977548,-0.06162402669632926,-0.2191910217091793,0.4167812929848693,0.0007231909860992337,0.46629986244841815
RETURN_6BAR,PRIMARY_GRID,728,728,-0.037183537096356654,-0.03648498331479422,-0.14792336816979518,0.42445054945054944,-0.000630802596198249,0.4423076923076923
RETURN_6BAR,REPLICATION_A,727,727,-0.03547734247509305,-0.03804226918798665,-0.14189883875994413,0.4346629986244842,-0.00039030112852211755,0.44566712517193946
RETURN_6BAR,REPLICATION_B,727,727,-0.03310571275129175,-0.04916573971078977,-0.1333869065491658,0.4360385144429161,-0.0006523123213874768,0.4332874828060523
REVERSAL_1BAR_VOL_NORMALIZED,PRIMARY_GRID,728,728,-0.0002432446658134449,-0.0017798419102201183,-0.001111875882831147,0.4958791208791209,-0.0010354436183007934,0.45054945054945056
REVERSAL_1BAR_VOL_NORMALIZED,REPLICATION_A,727,727,0.03789606056507325,0.02914349276974416,0.17074583207842406,0.5584594222833562,0.0006813840275742606,0.5268225584594223
REVERSAL_1BAR_VOL_NORMALIZED,REPLICATION_B,727,727,0.028375986015101107,0.02825361512791991,0.12875360888074702,0.5584594222833562,0.00014796833844292153,0.4896836313617607
REVERSAL_3BAR_VOL_NORMALIZED,PRIMARY_GRID,728,728,0.011793853097848233,0.007563959955506117,0.051549662837065205,0.5096153846153846,-0.0006747428082637221,0.45604395604395603
REVERSAL_3BAR_VOL_NORMALIZED,REPLICATION_A,727,727,0.026320657074799216,0.023804226918798667,0.12011729952289064,0.5433287482806052,8.638866518381543e-05,0.48005502063273725
REVERSAL_3BAR_VOL_NORMALIZED,REPLICATION_B,727,727,0.03637031692382816,0.033592880978865404,0.15689819488199336,0.5502063273727648,0.0003215176648285762,0.49931224209078406
REVERSAL_6BAR_VOL_NORMALIZED,PRIMARY_GRID,728,728,0.02737699120702143,0.023136818687430477,0.12000772096195408,0.5425824175824175,-5.7182047165311054e-05,0.4848901098901099
