variant_id,cost_mode,symbol,compounded_return
MD01-M02,ZERO_COST,DEXE,0.5269809948406083
MD01-M02,ZERO_COST,DOGE,0.40682424529267425
MD01-M02,ZERO_COST,ENA,0.32360671077369085
MD01-M02,ZERO_COST,ETH,0.47453895070044005
MD01-M02,ZERO_COST,GRAM,0.29115477307192306
MD01-M02,ZERO_COST,LINK,0.3308986223294039
MD01-M02,ZERO_COST,LTC,0.3542892486757103
MD01-M02,ZERO_COST,NEAR,0.777781755945482
MD01-M02,ZERO_COST,ONDO,0.441354354441583
MD01-M02,ZERO_COST,PEPE,0.3500609236346941
MD01-M02,ZERO_COST,SEI,0.27862851180497117
MD01-M02,ZERO_COST,SHIB,0.5086837536026101
MD01-M02,ZERO_COST,SNX,0.5784322314468309
MD01-M02,ZERO_COST,SOL,0.11488516217768097
MD01-M02,ZERO_COST,SUI,-0.10993253263423242
MD01-M02,ZERO_COST,SYN,0.3217410949690407
MD01-M02,ZERO_COST,TAO,0.3759645889282184
MD01-M02,ZERO_COST,TRX,0.36666696222008355
MD01-M02,ZERO_COST,UNI,0.4569925917351543
MD01-M02,ZERO_COST,XLM,0.2696613604156006
MD01-M02,ZERO_COST,XMR,0.6046568569105275
MD01-M02,ZERO_COST,XRP,0.6087954681763323
MD01-M02,ZERO_COST,ZEC,0.5616919224163488
MD01-M02,BASE_COST,AAVE,0.43062025733826137
MD01-M02,BASE_COST,ADA,0.1928465382400706
MD01-M02,BASE_COST,AVAX,0.037084620243527544
MD01-M02,BASE_COST,BNB,0.30554623430276284
MD01-M02,BASE_COST,BTC,0.264194403704727
MD01-M02,BASE_COST,DEXE,0.4056285631934766
MD01-M02,BASE_COST,DOGE,0.2894221710994802
MD01-M02,BASE_COST,ENA,0.21274057128872514
MD01-M02,BASE_COST,ETH,0.35312950438138935
MD01-M02,BASE_COST,GRAM,0.1829832408850156
MD01-M02,BASE_COST,LINK,0.21969799854469807
MD01-M02,BASE_COST,LTC,0.2411819949860401
MD01-M02,BASE_COST,NEAR,0.6459278402726856
MD01-M02,BASE_COST,ONDO,0.32097694224564344
MD01-M02,BASE_COST,PEPE,0.23566655630110134
MD01-M02,BASE_COST,SEI,0.170589216193493
MD01-M02,BASE_COST,SHIB,0.3871845691836695
MD01-M02,BASE_COST,SNX,0.4519520092878557
MD01-M02,BASE_COST,SOL,0.02153687968883533
MD01-M02,BASE_COST,SUI,-0.18728409680446967
