research_program,registered_trials,confirmed_trials,decision
RD05,33,0,RD05_WEEKLY_PRIMITIVE_SIGNAL_RESEARCH_COMPLETE_NO_EDGE_CONFIRMED
RD06,15,0,RD06_RESEARCH_SEQUENCE_COMPLETE_NO_EDGE_CONFIRMED
RD07,14,0,RD07_CROSS_VENUE_SPOT_FLOW_EDGE_NOT_CONFIRMED
