asset,day,source_timestamp,available_at,market_cap_usd,canonical_asset,canonical_symbol,normalization_rule,stablecoin_excluded,investable_identity,raw_form_count,canonical_source_asset,identity_overlay_rule,identity_excluded,identity_exclusion_reason,d0b_raw_form_count,rebalance_time,market_cap_rank
btc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,895826639879.7356,btc,BTC,IDENTITY,False,True,2,btc,D0A_IDENTITY_RETAINED,False,,2,2022-01-03T00:00:00+00:00,1
eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,452429174354.97003,eth,ETH,IDENTITY,False,True,2,eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,2
xrp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,85949716924.47646,xrp,XRP,IDENTITY,False,True,1,xrp,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,3
cro,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,58777276986.3213,cro,CRO,IDENTITY,False,True,1,cro,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,4
ada,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,45345872744.50135,ada,ADA,IDENTITY,False,True,1,ada,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,5
avaxp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,38009442424.67607,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,6
shib_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,34048163937.024635,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1,shib_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,7
dot,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,33573002049.69655,dot,DOT,IDENTITY,False,True,1,dot,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,8
xlm,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,30744497509.82964,xlm,XLM,IDENTITY,False,True,1,xlm,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,9
matic_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,25447051554.2857,matic,MATIC,NETWORK_FORM_TO_PARENT,False,True,1,matic_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,10
doge,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,23141588948.45676,doge,DOGE,IDENTITY,False,True,1,doge,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,11
link,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,21811073084.4362,link,LINK,IDENTITY,False,True,1,link,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,12
uni,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,18395486140.3873,uni,UNI,IDENTITY,False,True,1,uni,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,13
algo,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,16739817081.1578,algo,ALGO,IDENTITY,False,True,1,algo,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,14
ftt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,13461829749.62069,ftt,FTT,IDENTITY,False,True,1,ftt,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,15
icp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,13034539002.752676,icp,ICP,IDENTITY,False,True,1,icp,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,16
ltc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,10497001735.865566,ltc,LTC,IDENTITY,False,True,1,ltc,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,17
crv,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,10039984903.018045,crv,CRV,IDENTITY,False,True,1,crv,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,18
bch,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,8488466693.876067,bch,BCH,IDENTITY,False,True,1,bch,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,19
mana,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,7329469009.696603,mana,MANA,IDENTITY,False,True,1,mana,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,20
gno,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,5173208276.74643,gno,GNO,IDENTITY,False,True,1,gno,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,21
ht,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4702847959.11507,ht,HT,IDENTITY,False,True,1,ht,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,22
etc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4681737342.338215,etc,ETC,IDENTITY,False,True,1,etc,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,23
qnt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4581595337.4260845,qnt,QNT,IDENTITY,False,True,1,qnt,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,24
aave,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4266659832.4856,aave,AAVE,IDENTITY,False,True,2,aave,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,25
xmr,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4200403151.1478624,xmr,XMR,IDENTITY,False,True,1,xmr,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,26
xtz,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,4067383435.8069763,xtz,XTZ,IDENTITY,False,True,1,xtz,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,27
1inch,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,3837813703.47525,1inch,1INCH,IDENTITY,False,True,1,1inch,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,28
ldo,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,3647118750.01505,ldo,LDO,IDENTITY,False,True,1,ldo,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,29
lrc_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2921127779.8287272,lrc,LRC,NETWORK_FORM_TO_PARENT,False,True,1,lrc_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,30
neo,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2706930715.24441,neo,NEO,IDENTITY,False,True,1,neo,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,31
leo_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2497771701.1104593,leo,LEO,NETWORK_FORM_TO_PARENT,False,True,1,leo_eth,D0A_IDENTITY_RETAINED,False,,2,2022-01-03T00:00:00+00:00,32
mkr,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2438961293.5719023,mkr,MKR,IDENTITY,False,True,1,mkr,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,33
bsv,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2350755429.2422266,bsv,BSV,IDENTITY,False,True,1,bsv,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,34
sushi,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2152969931.4490924,sushi,SUSHI,IDENTITY,False,True,1,sushi,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,35
comp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,2109510064.48048,comp,COMP,IDENTITY,False,True,1,comp,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,36
bat,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1949448890.467065,bat,BAT,IDENTITY,False,True,1,bat,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,37
zec,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1842526342.0301576,zec,ZEC,IDENTITY,False,True,1,zec,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,38
snx,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1504803289.916348,snx,SNX,IDENTITY,False,True,1,snx,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,39
dash,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1495876506.4599104,dash,DASH,IDENTITY,False,True,1,dash,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,40
yfi,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1435488145.0172856,yfi,YFI,IDENTITY,False,True,1,yfi,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,41
perp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1356510997.8529155,perp,PERP,IDENTITY,False,True,1,perp,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,42
xem,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1175397392.1760373,xem,XEM,IDENTITY,False,True,1,xem,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,43
dcr,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1011741619.3418407,dcr,DCR,IDENTITY,False,True,1,dcr,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,44
