asset,day,source_timestamp,available_at,market_cap_usd,canonical_asset,canonical_symbol,normalization_rule,stablecoin_excluded,investable_identity,raw_form_count,canonical_source_asset,identity_overlay_rule,identity_excluded,identity_exclusion_reason,d0b_raw_form_count,rebalance_time,market_cap_rank
lpt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1003412036.1909779,lpt,LPT,IDENTITY,False,True,1,lpt,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,45
uma,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,1002619089.4182137,uma,UMA,IDENTITY,False,True,1,uma,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,46
qtum_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,923073174.419853,qtum,QTUM,NETWORK_FORM_TO_PARENT,False,True,1,qtum_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,47
bal,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,921622040.4628444,bal,BAL,IDENTITY,False,True,1,bal,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,48
zrx,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,890011576.217549,zrx,ZRX,IDENTITY,False,True,1,zrx,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,49
omg,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,883071089.9582127,omg,OMG,IDENTITY,False,True,1,omg,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,50
renbtc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,836299921.9837174,renbtc,RENBTC,IDENTITY,False,True,1,renbtc,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,51
btg,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,796335776.2079879,btg,BTG,IDENTITY,False,True,1,btg,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,52
powr,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,748641764.185258,powr,POWR,IDENTITY,False,True,1,powr,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,53
alpha,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,698541389.577659,alpha,ALPHA,IDENTITY,False,True,1,alpha,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,54
rev_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,637431386.0522379,rev,REV,NETWORK_FORM_TO_PARENT,False,True,1,rev_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,55
hedg,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,634762805.605318,hedg,HEDG,IDENTITY,False,True,1,hedg,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,56
srm,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,612987498.1954719,srm,SRM,IDENTITY,False,True,1,srm,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,57
poly,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,591819920.151982,poly,POLY,IDENTITY,False,True,1,poly,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,58
ren,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,565058286.262243,ren,REN,IDENTITY,False,True,1,ren,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,59
ant,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,518442692.7767032,ant,ANT,IDENTITY,False,True,1,ant,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,60
dgb,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,516082563.7390459,dgb,DGB,IDENTITY,False,True,1,dgb,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,61
icx_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,505062680.3462472,icx,ICX,NETWORK_FORM_TO_PARENT,False,True,1,icx_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,62
snt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,498621194.03925335,snt,SNT,IDENTITY,False,True,1,snt,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,63
nxm,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,466300886.6947977,nxm,NXM,IDENTITY,False,True,1,nxm,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,64
elf,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,423493005.72559255,elf,ELF,IDENTITY,False,True,1,elf,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,65
xaut,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,414285675.8158954,xaut,XAUT,IDENTITY,False,True,1,xaut,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,66
cvc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,399229692.599405,cvc,CVC,IDENTITY,False,True,1,cvc,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,67
paxg,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,326791850.3269399,paxg,PAXG,IDENTITY,False,True,1,paxg,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,68
xvg,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,293320712.15873903,xvg,XVG,IDENTITY,False,True,1,xvg,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,69
gnt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,228910244.86153933,gnt,GNT,IDENTITY,False,True,1,gnt,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,70
rep,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,207654399.4408235,rep,REP,IDENTITY,False,True,1,rep,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,71
maid,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,190263672.3222146,maid,MAID,IDENTITY,False,True,1,maid,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,72
gas,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,168792752.2030054,gas,GAS,IDENTITY,False,True,1,gas,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,73
wnxm,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,166341247.6284754,wnxm,WNXM,IDENTITY,False,True,1,wnxm,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,74
fun,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,141107170.14042193,fun,FUN,IDENTITY,False,True,1,fun,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,75
knc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,104321189.05826972,knc,KNC,IDENTITY,False,True,1,knc,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,76
vet_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,87226409.3352868,vet,VET,NETWORK_FORM_TO_PARENT,False,True,1,vet_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,77
wtc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,68671859.19797735,wtc,WTC,IDENTITY,False,True,1,wtc,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,78
aion_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,66863237.244416,aion,AION,NETWORK_FORM_TO_PARENT,False,True,1,aion_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,79
qash,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,56693271.8234492,qash,QASH,IDENTITY,False,True,1,qash,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,80
btm_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,55714116.464419864,btm,BTM,NETWORK_FORM_TO_PARENT,False,True,1,btm_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,81
ae_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,39752235.8893301,ae,AE,NETWORK_FORM_TO_PARENT,False,True,1,ae_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,82
drgn,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,32423546.12951933,drgn,DRGN,IDENTITY,False,True,1,drgn,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,83
ppt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,30009004.234127868,ppt,PPT,IDENTITY,False,True,1,ppt,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,84
vtc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,29002584.350447692,vtc,VTC,IDENTITY,False,True,1,vtc,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,85
grin,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,22289832.825899076,grin,GRIN,IDENTITY,False,True,1,grin,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,86
nas_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,15999416.027893124,nas,NAS,NETWORK_FORM_TO_PARENT,False,True,1,nas_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,87
zil_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,13733808.826189656,zil,ZIL,NETWORK_FORM_TO_PARENT,False,True,1,zil_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,88
pay,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,10765217.05740198,pay,PAY,IDENTITY,False,True,1,pay,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,89
swrv,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,5904018.871203121,swrv,SWRV,IDENTITY,False,True,1,swrv,D0A_IDENTITY_RETAINED,False,,1,2022-01-03T00:00:00+00:00,90
btc,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,792682352625.3268,btc,BTC,IDENTITY,False,True,2,btc,D0A_IDENTITY_RETAINED,False,,2,2022-01-10T00:00:00+00:00,1
eth,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,372503346874.9416,eth,ETH,IDENTITY,False,True,2,eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,2
xrp,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,75378378435.07605,xrp,XRP,IDENTITY,False,True,1,xrp,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,3
cro,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,46196145894.3485,cro,CRO,IDENTITY,False,True,1,cro,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,4
ada,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,38596365673.10361,ada,ADA,IDENTITY,False,True,1,ada,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,5
avaxp,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,29809420753.808205,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,6
shib_eth,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,28290884322.614132,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1,shib_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,7
dot,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,27798747807.828514,dot,DOT,IDENTITY,False,True,1,dot,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,8
link,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,27582873595.8018,link,LINK,IDENTITY,False,True,1,link,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,9
xlm,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,27501490922.707985,xlm,XLM,IDENTITY,False,True,1,xlm,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,10
matic_eth,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,21115325035.7435,matic,MATIC,NETWORK_FORM_TO_PARENT,False,True,1,matic_eth,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,11
doge,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,19984898172.177235,doge,DOGE,IDENTITY,False,True,1,doge,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,12
icp,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,17168568352.353884,icp,ICP,IDENTITY,False,True,1,icp,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,13
uni,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,15782169491.7721,uni,UNI,IDENTITY,False,True,1,uni,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,14
algo,2022-01-09T00:00:00+00:00,2022-01-09T00:00:00+00:00,2022-01-10T00:00:00+00:00,14007439177.8814,algo,ALGO,IDENTITY,False,True,1,algo,D0A_IDENTITY_RETAINED,False,,1,2022-01-10T00:00:00+00:00,15
