fold_id,symbol,week_start,weekly_path_complete,observed_bar_count,missing_bar_count,weekly_low_time,weekly_low_weekday,weekly_low_price,friday_close
WF01,AAVE,2022-04-04T00:00:00Z,True,42,0,2022-04-10T20:00:00Z,SUNDAY,175.414,183.348
WF01,AAVE,2022-10-24T00:00:00Z,True,42,0,2022-10-28T00:00:00Z,FRIDAY,80.588,84.12
WF01,ALGO,2022-11-07T00:00:00Z,True,42,0,2022-11-09T20:00:00Z,WEDNESDAY,0.25,0.3032
WF01,COMP,2022-04-18T00:00:00Z,True,42,0,2022-04-24T16:00:00Z,SUNDAY,127.25,135.21
WF01,CRO,2022-02-14T00:00:00Z,True,42,0,2022-02-20T20:00:00Z,SUNDAY,0.4016,0.4352
WF01,CRV,2022-04-25T00:00:00Z,True,42,0,2022-05-01T00:00:00Z,SUNDAY,1.947,2.23
WF01,DASH,2022-12-05T00:00:00Z,True,42,0,2022-12-08T00:00:00Z,THURSDAY,43.35,46.53
WF01,DOGE,2022-04-18T00:00:00Z,True,42,0,2022-04-24T16:00:00Z,SUNDAY,0.1309,0.13636
WF01,DOGE,2022-10-31T00:00:00Z,True,42,0,2022-11-06T20:00:00Z,SUNDAY,0.11181,0.12611
WF01,ETC,2022-02-14T00:00:00Z,True,42,0,2022-02-20T04:00:00Z,SUNDAY,26.84,28.931
WF01,ETC,2022-03-28T00:00:00Z,True,42,0,2022-04-01T00:00:00Z,FRIDAY,42.8758,47.2056
WF01,ETC,2022-08-01T00:00:00Z,True,42,0,2022-08-02T00:00:00Z,TUESDAY,32.1434,38.3156
WF01,ETH,2022-10-31T00:00:00Z,True,42,0,2022-11-02T20:00:00Z,WEDNESDAY,1502.05,1644.92
WF01,FTT,2022-02-07T00:00:00Z,True,42,0,2022-02-12T04:00:00Z,SATURDAY,42.817,43.417
WF01,ICP,2022-08-01T00:00:00Z,True,42,0,2022-08-02T04:00:00Z,TUESDAY,7.48,8.39
WF01,LDO,2022-08-08T00:00:00Z,True,42,0,2022-08-09T12:00:00Z,TUESDAY,2.09,2.826
WF01,LRC,2022-03-28T00:00:00Z,True,42,0,2022-03-28T00:00:00Z,MONDAY,1.0756,1.189
WF01,LRC,2022-04-11T00:00:00Z,True,42,0,2022-04-11T20:00:00Z,MONDAY,0.835,0.8954
WF01,LTC,2022-11-07T00:00:00Z,True,42,0,2022-11-09T20:00:00Z,WEDNESDAY,47.557,61.42
WF01,MANA,2022-02-07T00:00:00Z,True,42,0,2022-02-13T16:00:00Z,SUNDAY,2.7547,2.91766
WF01,PAXG,2022-12-05T00:00:00Z,True,42,0,2022-12-06T08:00:00Z,TUESDAY,1764.8,1799.77
WF01,QNT,2022-08-01T00:00:00Z,True,42,0,2022-08-02T04:00:00Z,TUESDAY,98.597,107.302
WF01,QNT,2022-10-31T00:00:00Z,True,42,0,2022-11-02T20:00:00Z,WEDNESDAY,154.0,164.471
WF01,QNT,2022-12-12T00:00:00Z,True,42,0,2022-12-17T20:00:00Z,SATURDAY,106.567,111.054
WF01,SHIB,2022-09-05T00:00:00Z,True,42,0,2022-09-06T20:00:00Z,TUESDAY,1.172e-05,1.291e-05
WF01,SNX,2022-02-07T00:00:00Z,True,42,0,2022-02-13T16:00:00Z,SUNDAY,4.452227,4.893751
WF01,SNX,2022-03-21T00:00:00Z,True,42,0,2022-03-22T00:00:00Z,TUESDAY,4.918811,5.0542
WF01,SNX,2022-04-25T00:00:00Z,True,42,0,2022-04-30T20:00:00Z,SATURDAY,4.23748,4.979255
WF01,SNX,2022-08-08T00:00:00Z,True,42,0,2022-08-10T00:00:00Z,WEDNESDAY,3.705861,4.142582
WF01,UNI,2022-10-24T00:00:00Z,True,42,0,2022-10-24T12:00:00Z,MONDAY,6.0662,6.8507
WF01,XMR,2022-04-18T00:00:00Z,True,42,0,2022-04-18T04:00:00Z,MONDAY,233.42,268.34
WF01,XRP,2022-02-14T00:00:00Z,True,42,0,2022-02-17T20:00:00Z,THURSDAY,0.75372,0.78406
WF01,ZEC,2022-03-21T00:00:00Z,True,42,0,2022-03-21T12:00:00Z,MONDAY,165.545,195.217
WF02,AAVE,2023-09-18T00:00:00Z,True,42,0,2023-09-18T00:00:00Z,MONDAY,58.093,64.333
WF02,AAVE,2023-10-02T00:00:00Z,True,42,0,2023-10-04T00:00:00Z,WEDNESDAY,63.039,68.877
WF02,ADA,2023-04-17T00:00:00Z,True,42,0,2023-04-21T20:00:00Z,FRIDAY,0.379003,0.382432
WF02,ADA,2023-12-11T00:00:00Z,True,42,0,2023-12-11T00:00:00Z,MONDAY,0.506839,0.600355
WF02,ALGO,2023-12-25T00:00:00Z,True,42,0,2023-12-26T16:00:00Z,TUESDAY,0.2168,0.2266
WF02,AVAX,2023-11-13T00:00:00Z,True,42,0,2023-11-14T00:00:00Z,TUESDAY,15.548,21.938
WF02,BCH,2023-06-26T00:00:00Z,True,42,0,2023-06-26T00:00:00Z,MONDAY,187.5,304.08
WF02,BCH,2023-09-18T00:00:00Z,True,42,0,2023-09-24T20:00:00Z,SUNDAY,202.81,207.72
WF02,BCH,2023-10-09T00:00:00Z,True,42,0,2023-10-11T00:00:00Z,WEDNESDAY,206.58,217.27
WF02,BCH,2023-10-23T00:00:00Z,True,42,0,2023-10-27T16:00:00Z,FRIDAY,232.62,239.5
WF02,BTC,2023-03-20T00:00:00Z,True,42,0,2023-03-22T20:00:00Z,WEDNESDAY,26610.0,27452.2
WF02,BTC,2023-04-10T00:00:00Z,True,42,0,2023-04-10T12:00:00Z,MONDAY,28166.1,30463.2
WF02,BTC,2023-06-26T00:00:00Z,True,42,0,2023-06-30T12:00:00Z,FRIDAY,29500.0,30475.1
WF02,BTC,2023-10-30T00:00:00Z,True,42,0,2023-10-31T08:00:00Z,TUESDAY,34031.0,34716.1
