signal_id,signal_class,mean_rank_ic,ic_information_ratio,positive_ic_share,mean_top_excess,bh_adjusted_p_value,maximum_symbol_contribution_share,missing_label_share,positive_regime_cell_count,failed_gate_count,failed_gate_ids,confirmed,external_replication_candidate
REVERSAL_1BAR_VOL_NORMALIZED,CONFIRMATORY_NOVEL,-0.0002432446658134449,-0.001111875882831147,0.4958791208791209,-0.0010354436183007934,1.0,0.08291497489762906,0.0,9,6,mean_ic|ic_ir|positive_ic_share|top_excess|fold_top|bh,False,False
REVERSAL_3BAR_VOL_NORMALIZED,CONFIRMATORY_NOVEL,0.011793853097848233,0.051549662837065205,0.5096153846153846,-0.0006747428082637221,0.24837516248375163,0.13688181696523097,0.0,13,7,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|bh,False,False
REVERSAL_6BAR_VOL_NORMALIZED,CONFIRMATORY_NOVEL,0.02737699120702143,0.12000772096195408,0.5425824175824175,-5.7182047165311054e-05,0.001124887511248875,0.07987173343293866,0.0,14,5,ic_ir|positive_ic_share|top_excess|fold_top|grid_top,False,False
DISTANCE_FROM_EMA20_ATR_4H,CONFIRMATORY_NOVEL,0.042862586595998585,0.1872987106155932,0.5755494505494505,-1.4919387615336825e-05,0.0007499250074992502,0.1186346631380807,0.0,14,3,ic_ir|top_excess|grid_top,False,False
RETURN_6BAR,CONFIRMATORY_NOVEL,-0.037183537096356654,-0.14792336816979518,0.42445054945054944,-0.000630802596198249,1.0,0.09102145394036179,0.0,0,10,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|grid_ic|grid_top|bh|regime,False,False
RETURN_18BAR,CONFIRMATORY_NOVEL,-0.04849890937520634,-0.1923957673985661,0.4230769230769231,-0.00025169895429866273,1.0,0.06772602232003873,0.0,0,10,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|grid_ic|grid_top|bh|regime,False,False
RETURN_42BAR,CONFIRMATORY_NOVEL,-0.055736704795043855,-0.22530294245590898,0.38324175824175827,0.0006859334993279323,1.0,0.09050242371695866,0.0,0,7,mean_ic|ic_ir|positive_ic_share|fold_ic|grid_ic|bh|regime,False,False
XSM_18BAR_SKIP_1BAR,CONFIRMATORY_NOVEL,-0.04593015584590037,-0.18368861866478842,0.40934065934065933,0.00022746952853330808,1.0,0.06409968082255016,0.0,0,7,mean_ic|ic_ir|positive_ic_share|fold_ic|grid_ic|bh|regime,False,False
DONCHIAN_42_POSITION,CONFIRMATORY_NOVEL,-0.024945789050607542,-0.11640059738737697,0.4491758241758242,0.00015844603220416514,1.0,0.06925347889496848,0.0,1,8,mean_ic|ic_ir|positive_ic_share|fold_ic|fold_top|grid_ic|bh|regime,False,False
PATH_EFFICIENCY_42BAR,CONFIRMATORY_NOVEL,-0.04883508238095777,-0.21711691770218025,0.41620879120879123,0.0002314462165626961,1.0,0.08234767513230346,0.0,0,8,mean_ic|ic_ir|positive_ic_share|fold_ic|fold_top|grid_ic|bh|regime,False,False
VOLATILITY_CONTRACTION_BREAKOUT_4H,CONFIRMATORY_NOVEL,0.004283551815168673,0.019754650528703396,0.5338345864661654,0.002301713694010235,0.9886511348865114,0.15859784414793648,0.0,8,5,mean_ic|ic_ir|positive_ic_share|grid_ic|bh,False,False
QUOTE_TURNOVER_ACCELERATION_6_42,CONFIRMATORY_NOVEL,-0.01738637962007561,-0.08153083387118004,0.4725274725274725,0.0007434350441957295,1.0,0.07995864498758908,0.0,1,7,mean_ic|ic_ir|positive_ic_share|fold_ic|grid_ic|bh|regime,False,False
PRICE_TURNOVER_CONFIRMATION_18,CONFIRMATORY_NOVEL,-0.007867832344451294,-0.038302895306951745,0.47527472527472525,0.0003923995768360049,1.0,0.11280427515117453,0.0,3,6,mean_ic|ic_ir|positive_ic_share|fold_ic|grid_ic|bh,False,False
LOW_REALIZED_VOLATILITY_42,POST_HOC_DIRECTIONAL_REPLICATION,0.06756494782455627,0.21402261663814887,0.5851648351648352,-0.0002925216673820205,0.0007499250074992502,0.20837428017462847,0.0,15,3,top_excess|fold_top|grid_top,False,False
DRAWDOWN_RESILIENCE_42,POST_HOC_DIRECTIONAL_REPLICATION,0.034557572340891685,0.11103449333845018,0.5412087912087912,-7.09971869959775e-05,0.0009999000099990003,0.15428549489565246,0.0,14,5,ic_ir|positive_ic_share|top_excess|fold_top|grid_top,False,False
