rebalance_time,fixed_count,pit_count,union_count,intersection_count,entrant_count,removed_survivor_count,entrants,removed_survivors,jaccard_similarity
2022-01-03T00:00:00+00:00,30,30,46,14,16,16,"1INCH,ALGO,BAT,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,SUSHI,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SNX,SOL,SUI,SYN,TAO,TRX,ZEC",0.30434782608695654
2022-01-10T00:00:00+00:00,30,30,45,15,15,15,"1INCH,ALGO,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,SUSHI,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SNX,SOL,SUI,SYN,TAO,TRX",0.3333333333333333
2022-01-17T00:00:00+00:00,30,30,45,15,15,15,"1INCH,ALGO,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,SUSHI,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SNX,SOL,SUI,SYN,TAO,TRX",0.3333333333333333
2022-01-24T00:00:00+00:00,30,30,45,15,15,15,"1INCH,ALGO,BAT,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SNX,SOL,SUI,SYN,TAO,TRX",0.3333333333333333
2022-01-31T00:00:00+00:00,30,30,45,15,15,15,"1INCH,ALGO,BAT,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX,ZEC",0.3333333333333333
2022-02-07T00:00:00+00:00,30,30,44,16,14,14,"1INCH,ALGO,BAT,BCH,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX",0.36363636363636365
2022-02-14T00:00:00+00:00,30,30,45,15,15,15,"1INCH,ALGO,BAT,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SNX,SOL,SUI,SYN,TAO,TRX",0.3333333333333333
2022-02-21T00:00:00+00:00,30,30,45,15,15,15,"1INCH,ALGO,BAT,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SNX,SOL,SUI,SYN,TAO,TRX",0.3333333333333333
2022-02-28T00:00:00+00:00,30,30,45,15,15,15,"1INCH,ALGO,BAT,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SNX,SOL,SUI,SYN,TAO,TRX",0.3333333333333333
2022-03-07T00:00:00+00:00,30,30,45,15,15,15,"1INCH,ALGO,BAT,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SNX,SOL,SUI,SYN,TAO,TRX",0.3333333333333333
2022-03-14T00:00:00+00:00,30,30,45,15,15,15,"1INCH,ALGO,BAT,BCH,COMP,CRO,CRV,DASH,ETC,FTT,ICP,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SNX,SOL,SUI,SYN,TAO,TRX",0.3333333333333333
2022-03-21T00:00:00+00:00,30,30,44,16,14,14,"1INCH,ALGO,BAT,BCH,CRO,CRV,DASH,ETC,FTT,ICP,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX",0.36363636363636365
2022-03-28T00:00:00+00:00,30,30,45,15,15,15,"1INCH,ALGO,BAT,BCH,CRO,CRV,DASH,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SNX,SOL,SUI,SYN,TAO,TRX",0.3333333333333333
2022-04-04T00:00:00+00:00,30,30,44,16,14,14,"1INCH,ALGO,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX",0.36363636363636365
2022-04-11T00:00:00+00:00,30,30,44,16,14,14,"1INCH,ALGO,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX",0.36363636363636365
2022-04-18T00:00:00+00:00,30,30,44,16,14,14,"1INCH,ALGO,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX",0.36363636363636365
2022-04-25T00:00:00+00:00,30,30,44,16,14,14,"1INCH,ALGO,BCH,COMP,CRO,CRV,ETC,FTT,ICP,LRC,MANA,NEO,QNT,XTZ","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX",0.36363636363636365
2022-05-02T00:00:00+00:00,30,30,44,16,14,14,"1INCH,ALGO,BCH,COMP,CRO,CRV,DASH,ETC,FTT,ICP,LRC,MANA,NEO,QNT","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX",0.36363636363636365
2022-05-09T00:00:00+00:00,30,30,44,16,14,14,"1INCH,ALGO,BCH,COMP,CRO,CRV,DASH,ETC,FTT,ICP,LRC,MANA,NEO,QNT","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX",0.36363636363636365
2022-05-16T00:00:00+00:00,30,30,44,16,14,14,"1INCH,ALGO,BCH,COMP,CRO,CRV,DASH,ETC,FTT,ICP,LRC,MANA,NEO,QNT","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX",0.36363636363636365
2022-05-23T00:00:00+00:00,30,30,44,16,14,14,"1INCH,ALGO,BCH,COMP,CRO,CRV,DASH,ETC,FTT,ICP,LRC,MANA,NEO,QNT","BNB,DEXE,ENA,GRAM,HYPE,NEAR,ONDO,PEPE,SEI,SOL,SUI,SYN,TAO,TRX",0.36363636363636365
