fold_id,rebalance_time,pit_universe_count,pit_universe_symbols,rankable_count,selected_count,selected_symbols,outside_pit_universe_count,outside_pit_universe_symbols,daily_market_regime
WF01,2022-01-03T00:00:00+00:00,30,"1INCH,AAVE,ADA,ALGO,AVAX,BAT,BCH,BTC,COMP,CRO,CRV,DOGE,DOT,ETC,ETH,FTT,ICP,LINK,LRC,LTC,MANA,NEO,QNT,SHIB,SUSHI,UNI,XLM,XMR,XRP,XTZ",30,0,,0,,CRISIS
WF01,2022-01-10T00:00:00+00:00,30,"1INCH,AAVE,ADA,ALGO,AVAX,BCH,BTC,COMP,CRO,CRV,DOGE,DOT,ETC,ETH,FTT,ICP,LINK,LRC,LTC,MANA,NEO,QNT,SHIB,SUSHI,UNI,XLM,XMR,XRP,XTZ,ZEC",30,0,,0,,CRISIS
WF01,2022-01-17T00:00:00+00:00,30,"1INCH,AAVE,ADA,ALGO,AVAX,BCH,BTC,COMP,CRO,CRV,DOGE,DOT,ETC,ETH,FTT,ICP,LINK,LRC,LTC,MANA,NEO,QNT,SHIB,SUSHI,UNI,XLM,XMR,XRP,XTZ,ZEC",30,0,,0,,CRISIS
WF01,2022-01-24T00:00:00+00:00,30,"1INCH,AAVE,ADA,ALGO,AVAX,BAT,BCH,BTC,COMP,CRO,CRV,DOGE,DOT,ETC,ETH,FTT,ICP,LINK,LRC,LTC,MANA,NEO,QNT,SHIB,UNI,XLM,XMR,XRP,XTZ,ZEC",30,0,,0,,CRISIS
WF01,2022-01-31T00:00:00+00:00,30,"1INCH,AAVE,ADA,ALGO,AVAX,BAT,BCH,BTC,COMP,CRO,CRV,DOGE,DOT,ETC,ETH,FTT,ICP,LINK,LRC,LTC,MANA,NEO,QNT,SHIB,SNX,UNI,XLM,XMR,XRP,XTZ",30,0,,0,,CRISIS
WF01,2022-02-07T00:00:00+00:00,30,"1INCH,AAVE,ADA,ALGO,AVAX,BAT,BCH,BTC,CRO,CRV,DOGE,DOT,ETC,ETH,FTT,ICP,LINK,LRC,LTC,MANA,NEO,QNT,SHIB,SNX,UNI,XLM,XMR,XRP,XTZ,ZEC",30,3,"FTT,MANA,SNX",0,,RECOVERY
WF01,2022-02-14T00:00:00+00:00,30,"1INCH,AAVE,ADA,ALGO,AVAX,BAT,BCH,BTC,COMP,CRO,CRV,DOGE,DOT,ETC,ETH,FTT,ICP,LINK,LRC,LTC,MANA,NEO,QNT,SHIB,UNI,XLM,XMR,XRP,XTZ,ZEC",30,3,"CRO,ETC,XRP",0,,NEUTRAL
WF01,2022-02-21T00:00:00+00:00,30,"1INCH,AAVE,ADA,ALGO,AVAX,BAT,BCH,BTC,COMP,CRO,CRV,DOGE,DOT,ETC,ETH,FTT,ICP,LINK,LRC,LTC,MANA,NEO,QNT,SHIB,UNI,XLM,XMR,XRP,XTZ,ZEC",30,1,XRP,0,,CRISIS
WF01,2022-02-28T00:00:00+00:00,30,"1INCH,AAVE,ADA,ALGO,AVAX,BAT,BCH,BTC,COMP,CRO,CRV,DOGE,DOT,ETC,ETH,FTT,ICP,LINK,LRC,LTC,MANA,NEO,QNT,SHIB,UNI,XLM,XMR,XRP,XTZ,ZEC",30,1,XRP,0,,CRISIS
WF01,2022-03-07T00:00:00+00:00,30,"1INCH,AAVE,ADA,ALGO,AVAX,BAT,BCH,BTC,COMP,CRO,CRV,DOGE,DOT,ETC,ETH,FTT,ICP,LINK,LRC,LTC,MANA,NEO,QNT,SHIB,UNI,XLM,XMR,XRP,XTZ,ZEC",30,1,XRP,0,,CRISIS
