observation_state,fold_id,symbol,membership_exit_decision_time,last_pit_membership_week,first_removed_week,membership_tenure_weeks_before_exit,fixed_survivor,event_label,event_ids,price_at_membership_exit,measurement_status,data_available_1w,return_1w,data_available_2w,return_2w,data_available_4w,return_4w,data_available_8w,return_8w,mfe_8w,mae_8w,time_to_recovery_hours,time_to_new_high_hours,reentered_pit_later,reentry_time,fixed_or_union_position_active_at_exit,pit_position_active_at_exit,strategy_exit_time_if_any,strategy_exit_reason,fixed_post_exit_trade_count,fixed_post_exit_net_pnl,union_post_exit_trade_count,union_post_exit_net_pnl,population
REMOVED_FROM_PIT,WF01,BAT,2022-01-10T00:00:00+00:00,2022-01-03T00:00:00+00:00,2022-01-10T00:00:00+00:00,1,False,UNLABELLED,,1.033,MEASURABLE,True,0.022265246853824028,True,-0.2643756050338818,True,-0.08828654404646652,True,-0.3823814133591481,0.08586640851887717,-0.45130687318489837,8.0,,True,2022-01-24T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,SUSHI,2022-01-24T00:00:00+00:00,2022-01-17T00:00:00+00:00,2022-01-24T00:00:00+00:00,2,False,UNLABELLED,,4.655,MEASURABLE,True,-0.12137486573576806,True,0.03157894736842093,True,-0.21954887218045116,True,-0.3046186895810956,0.09215896885069808,-0.40816326530612246,296.0,,False,,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,ZEC,2022-01-31T00:00:00+00:00,2022-01-24T00:00:00+00:00,2022-01-31T00:00:00+00:00,3,True,UNLABELLED,,93.182,MEASURABLE,True,0.33749007319010094,True,0.25591852503702417,True,0.10128565602798822,True,1.2569594986156125,1.3208559593054452,-0.0915305531111158,20.0,52.0,True,2022-02-07T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_SURVIVORS
REMOVED_FROM_PIT,WF01,COMP,2022-02-07T00:00:00+00:00,2022-01-31T00:00:00+00:00,2022-02-07T00:00:00+00:00,4,False,UNLABELLED,,140.83,MEASURABLE,True,-0.1179436199673366,True,-0.18596889867215793,True,-0.281900163317475,True,0.21849037847049613,0.24114180217283243,-0.3374991124050274,4.0,4.0,True,2022-02-14T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,SNX,2022-02-14T00:00:00+00:00,2022-02-07T00:00:00+00:00,2022-02-14T00:00:00+00:00,2,True,UNLABELLED,,4.462612,MEASURABLE,True,-0.08982407612402787,True,-0.16127012610551839,True,-0.126091401179399,True,0.13787082542690232,0.831621256788625,-0.2544276759888604,16.0,1064.0,True,2022-03-21T00:00:00+00:00,True,True,2022-02-14T04:00:00+00:00,REBALANCE_EXIT,0,0.0,0,0.0,REMOVED_SURVIVORS
REMOVED_FROM_PIT,WF01,LRC,2022-03-14T00:00:00+00:00,2022-03-07T00:00:00+00:00,2022-03-14T00:00:00+00:00,9,False,UNLABELLED,,0.6797,MEASURABLE,True,0.21185817272326024,True,0.6261585993820804,True,0.411946446961895,True,-0.02236280712078853,1.0013241135795203,-0.05237604825658371,4.0,132.0,True,2022-03-28T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,COMP,2022-03-21T00:00:00+00:00,2022-03-14T00:00:00+00:00,2022-03-21T00:00:00+00:00,5,False,UNLABELLED,,115.23,MEASURABLE,True,0.09615551505684272,True,0.48919552199947924,True,0.23023518181029234,True,-0.350603141543001,0.5168792849084438,-0.5337151783389742,8.0,148.0,True,2022-04-04T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,SNX,2022-03-28T00:00:00+00:00,2022-03-21T00:00:00+00:00,2022-03-28T00:00:00+00:00,1,True,UNLABELLED,,5.423108,MEASURABLE,True,0.3486445411007857,True,-0.06365943661826401,True,0.08266661847781753,True,-0.4975008795694277,0.5072196607554191,-0.5993830475070754,4.0,8.0,True,2022-04-04T00:00:00+00:00,True,True,2022-03-28T04:00:00+00:00,REBALANCE_EXIT,0,0.0,0,0.0,REMOVED_SURVIVORS
REMOVED_FROM_PIT,WF01,BAT,2022-04-04T00:00:00+00:00,2022-03-28T00:00:00+00:00,2022-04-04T00:00:00+00:00,10,False,UNLABELLED,,0.9489,MEASURABLE,True,-0.22004426177679415,True,-0.23890820950574354,True,-0.364948888186321,True,-0.6079671198229528,0.0,-0.677626725682369,,,True,2022-06-13T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,DASH,2022-04-04T00:00:00+00:00,2022-03-28T00:00:00+00:00,2022-04-04T00:00:00+00:00,3,False,UNLABELLED,,132.48,MEASURABLE,True,-0.16168478260869557,True,-0.21210748792270528,True,-0.3215579710144927,True,-0.5629528985507246,0.02958937198067635,-0.6600996376811594,12.0,,True,2022-05-02T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
