schema_version,fold_id,candidate_id,trade_id,position_id,symbol,alignment_tier,natural_exit_reason,entry_time,natural_exit_time,counterfactual_exit_time,natural_exit_price,counterfactual_exit_price,natural_holding_hours,counterfactual_holding_hours,activated,activated_at,signal_time,natural_exit_priority,changed_exit,trigger_floor_return,running_peak_at_signal,baseline_net_pnl,counterfactual_gross_pnl,counterfactual_net_pnl,baseline_net_return,counterfactual_net_return,delta_net_pnl,delta_net_return,eligible_mfe_10pct,rescued_winner_to_loser,new_loser,improved_trade,worsened_trade,baseline_gross_pnl_error,baseline_net_pnl_error,baseline_return_error,trade_logic_changed,exit_rule_authorized
ams-rd02-d1-profit-protection-candidate-replay-v1,WF01,PP10_BREAKEVEN,TRADE-6329e1f4e2a7308a7d20,POS-5e2bf66b722cdaffe139,BTC,FULL,REBALANCE_EXIT,2022-02-09 20:00:00+00:00,2022-02-14 04:00:00+00:00,2022-02-14 04:00:00+00:00,41914.6,41914.6,104.0,104.0,False,,,False,False,,,-1527.7324143557225,-1430.552189592866,-1527.7324143557225,-0.06096212680638838,-0.06096212680638838,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,False,False
ams-rd02-d1-profit-protection-candidate-replay-v1,WF01,PP10_FIXED_05,TRADE-6329e1f4e2a7308a7d20,POS-5e2bf66b722cdaffe139,BTC,FULL,REBALANCE_EXIT,2022-02-09 20:00:00+00:00,2022-02-14 04:00:00+00:00,2022-02-14 04:00:00+00:00,41914.6,41914.6,104.0,104.0,False,,,False,False,,,-1527.7324143557225,-1430.552189592866,-1527.7324143557225,-0.06096212680638838,-0.06096212680638838,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,False,False
ams-rd02-d1-profit-protection-candidate-replay-v1,WF01,PP10_RETAIN_25,TRADE-6329e1f4e2a7308a7d20,POS-5e2bf66b722cdaffe139,BTC,FULL,REBALANCE_EXIT,2022-02-09 20:00:00+00:00,2022-02-14 04:00:00+00:00,2022-02-14 04:00:00+00:00,41914.6,41914.6,104.0,104.0,False,,,False,False,,,-1527.7324143557225,-1430.552189592866,-1527.7324143557225,-0.06096212680638838,-0.06096212680638838,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,False,False
ams-rd02-d1-profit-protection-candidate-replay-v1,WF01,PP10_RETAIN_50,TRADE-6329e1f4e2a7308a7d20,POS-5e2bf66b722cdaffe139,BTC,FULL,REBALANCE_EXIT,2022-02-09 20:00:00+00:00,2022-02-14 04:00:00+00:00,2022-02-14 04:00:00+00:00,41914.6,41914.6,104.0,104.0,False,,,False,False,,,-1527.7324143557225,-1430.552189592866,-1527.7324143557225,-0.06096212680638838,-0.06096212680638838,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,False,False
ams-rd02-d1-profit-protection-candidate-replay-v1,WF01,PP10_BREAKEVEN,TRADE-b8b9580faf2c0da9bfe1,POS-51e76e7ffbe789fbc539,DOGE,FULL,REBALANCE_EXIT,2022-02-09 00:00:00+00:00,2022-02-14 04:00:00+00:00,2022-02-14 04:00:00+00:00,0.14492,0.14492,124.0,124.0,False,,,False,False,,,-2149.6579265753917,-2055.8090069681357,-2149.6579265753917,-0.08760128289565,-0.08760128289565,0.0,0.0,False,False,False,False,False,0.0,0.0,1.3877787807814457e-17,False,False
ams-rd02-d1-profit-protection-candidate-replay-v1,WF01,PP10_FIXED_05,TRADE-b8b9580faf2c0da9bfe1,POS-51e76e7ffbe789fbc539,DOGE,FULL,REBALANCE_EXIT,2022-02-09 00:00:00+00:00,2022-02-14 04:00:00+00:00,2022-02-14 04:00:00+00:00,0.14492,0.14492,124.0,124.0,False,,,False,False,,,-2149.6579265753917,-2055.8090069681357,-2149.6579265753917,-0.08760128289565,-0.08760128289565,0.0,0.0,False,False,False,False,False,0.0,0.0,1.3877787807814457e-17,False,False
ams-rd02-d1-profit-protection-candidate-replay-v1,WF01,PP10_RETAIN_25,TRADE-b8b9580faf2c0da9bfe1,POS-51e76e7ffbe789fbc539,DOGE,FULL,REBALANCE_EXIT,2022-02-09 00:00:00+00:00,2022-02-14 04:00:00+00:00,2022-02-14 04:00:00+00:00,0.14492,0.14492,124.0,124.0,False,,,False,False,,,-2149.6579265753917,-2055.8090069681357,-2149.6579265753917,-0.08760128289565,-0.08760128289565,0.0,0.0,False,False,False,False,False,0.0,0.0,1.3877787807814457e-17,False,False
ams-rd02-d1-profit-protection-candidate-replay-v1,WF01,PP10_RETAIN_50,TRADE-b8b9580faf2c0da9bfe1,POS-51e76e7ffbe789fbc539,DOGE,FULL,REBALANCE_EXIT,2022-02-09 00:00:00+00:00,2022-02-14 04:00:00+00:00,2022-02-14 04:00:00+00:00,0.14492,0.14492,124.0,124.0,False,,,False,False,,,-2149.6579265753917,-2055.8090069681357,-2149.6579265753917,-0.08760128289565,-0.08760128289565,0.0,0.0,False,False,False,False,False,0.0,0.0,1.3877787807814457e-17,False,False
ams-rd02-d1-profit-protection-candidate-replay-v1,WF01,PP10_BREAKEVEN,TRADE-28a111a97c496f50aa77,POS-6ed884f20752ae2e77b8,SNX,FULL,REBALANCE_EXIT,2022-02-07 04:00:00+00:00,2022-02-14 04:00:00+00:00,2022-02-14 04:00:00+00:00,4.415454,4.415454,168.0,168.0,False,,,False,False,,,-6191.33044122362,-6103.537516256132,-6191.33044122362,-0.24715889984924633,-0.24715889984924633,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,False,False
ams-rd02-d1-profit-protection-candidate-replay-v1,WF01,PP10_FIXED_05,TRADE-28a111a97c496f50aa77,POS-6ed884f20752ae2e77b8,SNX,FULL,REBALANCE_EXIT,2022-02-07 04:00:00+00:00,2022-02-14 04:00:00+00:00,2022-02-14 04:00:00+00:00,4.415454,4.415454,168.0,168.0,False,,,False,False,,,-6191.33044122362,-6103.537516256132,-6191.33044122362,-0.24715889984924633,-0.24715889984924633,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,False,False
