signal_id,grid_id,evaluable_count,spearman,pearson,positive_future_return_share_top,mean_future_return_top,unconditional_mean_return,top_temporal_quintile_excess,bottom_temporal_quintile_return,top_minus_bottom_spread
MKT_PIT_EW_RETURN_6BAR,PRIMARY_GRID,728,-0.03204573034926084,0.0023469469435611853,0.5241379310344828,0.002657082091909339,0.0019429888657859643,0.0007140932261233746,0.0020442251857022437,0.0006128569062070952
MKT_PIT_EW_RETURN_6BAR,REPLICATION_A,727,-0.05553993336911931,-0.04526676154696299,0.4689655172413793,0.0011999372410407068,0.0019294871699524895,-0.0007295499289117827,0.0032483045348814907,-0.002048367293840784
MKT_PIT_EW_RETURN_6BAR,REPLICATION_B,727,0.018309906924387356,0.0038625227344376064,0.5724137931034483,0.007062839830694045,0.0019145946067258789,0.005148245223968166,0.0014306467417048803,0.005632193088989165
MKT_PIT_EW_RETURN_18BAR,PRIMARY_GRID,728,0.02000780535092013,0.021279219937058877,0.6068965517241379,0.006041189891498929,0.0019429888657859643,0.004098201025712965,0.0008982608025657764,0.005142929088933153
MKT_PIT_EW_RETURN_18BAR,REPLICATION_A,727,0.03903355616498045,0.00843934086566635,0.593103448275862,0.008956664998361737,0.0019294871699524895,0.007027177828409247,0.0006817628795829702,0.008274902118778767
MKT_PIT_EW_RETURN_18BAR,REPLICATION_B,727,0.04637931157250902,0.031118903338398902,0.5586206896551724,0.00773177493649338,0.0019145946067258789,0.0058171803297675006,-0.0008323418411246667,0.008564116777618046
MKT_PIT_EW_RETURN_42BAR,PRIMARY_GRID,728,0.04219421054206321,0.03718087982831746,0.5586206896551724,0.009039136425873917,0.0019429888657859643,0.007096147560087953,0.002299200024164133,0.0067399364017097846
MKT_PIT_EW_RETURN_42BAR,REPLICATION_A,727,0.026972402363173904,0.02010199601691139,0.5793103448275863,0.007875892477334443,0.0019294871699524895,0.005946405307381954,0.002762559221491863,0.005113333255842581
MKT_PIT_EW_RETURN_42BAR,REPLICATION_B,727,0.041331901810831406,0.04707853274124179,0.5241379310344828,0.008570002340152897,0.0019145946067258789,0.006655407733427018,0.002273558936577035,0.0062964434035758625
MKT_BREADTH_POSITIVE_6BAR,PRIMARY_GRID,728,-0.030595091008123458,0.0005969551757595794,0.496551724137931,0.0007043324578184854,0.0019429888657859643,-0.001238656407967479,0.0006271032646495875,7.722919316889793e-05
