variant_id,top_n,net_pnl_after_removal,sign_positive
MD01-M01,1,144140.22766907734,True
MD01-M01,3,72712.59524894701,True
MD01-M01,5,10621.895054724679,True
MD01-M02,1,30389.49482500636,True
MD01-M02,3,-24924.842940544215,False
MD01-M02,5,-62673.15868372348,False
MD01-M03,1,209468.08548628484,True
MD01-M03,3,94995.52947326098,True
MD01-M03,5,11273.786727723025,True
MD01-M04,1,-16752.67792542153,False
MD01-M04,3,-81060.19011613225,False
MD01-M04,5,-122109.90344995297,False
MD01-M05,1,203302.39224382245,True
MD01-M05,3,92929.69636359575,True
MD01-M05,5,10612.211366030097,True
MD01-M06,1,-36603.84406934428,False
MD01-M06,3,-100911.356260055,False
MD01-M06,5,-129066.30910865111,False
