schema_version,fold_id,trade_id,position_id,candidate_id,symbol,entry_time,exit_time,exit_reason,alignment_tier,holding_hours,holding_bucket,path_bar_count,entry_price,exit_price,gross_exit_return,net_return_fraction,reported_mfe,reported_mae,path_mfe,path_mae,mfe_reconstruction_error,mae_reconstruction_error,gross_return_reconstruction_error,time_to_mfe_bar_close_hours,time_to_mae_bar_close_hours,time_to_mfe_fraction,peak_to_exit_hours,peak_to_exit_giveback,giveback_fraction_of_mfe,captured_mfe_fraction,maximum_close_return,minimum_close_return,positive_close_ratio,post_mae_max_close_return,recovered_to_intrabar_breakeven_after_mae,recovered_to_close_breakeven_after_mae,hours_mae_to_close_breakeven,excursion_order,hours_to_high_5pct,hours_to_high_10pct,hours_to_high_20pct,eligible_mfe_10pct,winner_to_loser_10pct,severe_giveback_after_10pct,early_peak_severe_giveback,deep_mae_10pct,deep_mae_close_recovery,deep_mae_profitable_exit,stale_loser_14d,trade_logic_changed
ams-rd02-d0-trade-lifecycle-diagnostics-v1,WF01,TRADE-6329e1f4e2a7308a7d20,POS-5e2bf66b722cdaffe139,CAND-42f0987a435eab09a98f,BTC,2022-02-09T20:00:00+00:00,2022-02-14T04:00:00+00:00,REBALANCE_EXIT,FULL,104.0,LE_7D,26,44457.5,41914.6,-0.057198447955913,-0.06096212680638838,0.030914918742619424,-0.06594612832480462,0.030914918742619424,-0.06594612832480462,0.0,0.0,2.0816681711721685e-17,24.0,104.0,0.23076923076923078,80.0,0.08811336669853242,2.8501891734575064,-1.8501891734575062,0.01096552887589275,-0.05720069729516952,0.07692307692307693,-0.05720069729516952,False,False,,MFE_BEFORE_MAE,,,,False,False,False,False,False,False,False,False,False
ams-rd02-d0-trade-lifecycle-diagnostics-v1,WF01,TRADE-b8b9580faf2c0da9bfe1,POS-51e76e7ffbe789fbc539,CAND-f0525cf311b5e6bbd708,DOGE,2022-02-09T00:00:00+00:00,2022-02-14T04:00:00+00:00,REBALANCE_EXIT,FULL,124.0,LE_7D,31,0.1582,0.14492,-0.083944374209861,-0.08760128289564999,0.027054361567635965,-0.11188369152970923,0.027054361567635965,-0.11188369152970923,0.0,0.0,1.3877787807814457e-17,16.0,80.0,0.12903225806451613,108.0,0.11099873577749697,4.1028037383177525,-3.1028037383177525,0.008154235145385602,-0.09532237673830601,0.12903225806451613,-0.027560050568900096,False,False,,MFE_BEFORE_MAE,,,,False,False,False,False,True,False,False,False,False
ams-rd02-d0-trade-lifecycle-diagnostics-v1,WF01,TRADE-28a111a97c496f50aa77,POS-6ed884f20752ae2e77b8,CAND-57c4f3427ef83e7e9474,SNX,2022-02-07T04:00:00+00:00,2022-02-14T04:00:00+00:00,REBALANCE_EXIT,FULL,168.0,LE_7D,42,5.841641,4.415454,-0.2441415006502453,-0.24715889984924633,0.03985164442662592,-0.2548292508902893,0.03985164442662592,-0.2548292508902893,0.0,0.0,2.7755575615628914e-17,28.0,168.0,0.16666666666666666,140.0,0.28399314507687123,7.126259133415534,-6.126259133415534,0.015136500171783807,-0.242697557073432,0.07142857142857142,-0.242697557073432,False,False,,MFE_BEFORE_MAE,,,,False,False,False,False,True,False,False,False,False
ams-rd02-d0-trade-lifecycle-diagnostics-v1,WF01,TRADE-ddea250cd84b3e1d2bbb,POS-f417abd7b2a08fa9a559,CAND-16a75983b3be06ff9343,XRP,2022-02-15T04:00:00+00:00,2022-03-14T04:00:00+00:00,REBALANCE_EXIT,MEDIUM,648.0,GT_14D_LE_28D,162,0.82368,0.76154,-0.07544191919191912,-0.07913276981390752,0.04385198135198132,-0.24573863636363635,0.04385198135198132,-0.24573863636363635,0.0,0.0,5.551115123125783e-17,20.0,220.0,0.030864197530864196,628.0,0.11929390054390043,2.7203765227021037,-1.7203765227021037,0.034115190365190395,-0.2235576923076923,0.07407407407407407,-0.0106473387723387,True,False,,MFE_BEFORE_MAE,,,,False,False,False,False,True,False,False,True,False
ams-rd02-d0-trade-lifecycle-diagnostics-v1,WF01,TRADE-c089d41892728bb364ce,POS-f92ff79838baa96409b2,CAND-bbd828e6e8257032af5b,XMR,2022-03-22T04:00:00+00:00,2022-03-28T04:00:00+00:00,REBALANCE_EXIT,FULL,144.0,LE_7D,36,194.77,217.33,0.11582892642604103,0.11137451953412064,0.11577758381680958,-0.020023617600246513,0.11577758381680958,-0.020023617600246513,0.0,0.0,6.938893903907228e-17,144.0,28.0,1.0,0.0,-5.134260923145284e-05,-0.0004434589800447924,1.0004434589800448,0.11546952816142109,-0.014992041895569241,0.8888888888888888,0.11546952816142109,True,True,8.0,MAE_BEFORE_MFE,72.0,132.0,,True,False,False,False,False,False,False,False,False
ams-rd02-d0-trade-lifecycle-diagnostics-v1,WF01,TRADE-955520fad76cae015c92,POS-aaf9b93f36fd6d00d806,CAND-f2b0b8cd03abd65f843a,NEAR,2022-03-28T04:00:00+00:00,2022-04-04T04:00:00+00:00,REBALANCE_EXIT,FULL,168.0,LE_7D,42,13.2633,16.3603,0.23350146645254188,0.22857730890183323,0.3328960364313558,-0.05679582004478523,0.3328960364313558,-0.05679582004478523,0.0,0.0,5.551115123125783e-17,168.0,20.0,1.0,0.0,0.09939456997881391,0.2985754082395312,0.7014245917604688,0.29847775440501256,-0.047929248377100664,0.8095238095238095,0.29847775440501256,True,True,12.0,MAE_BEFORE_MFE,36.0,52.0,128.0,True,False,False,False,False,False,False,False,False
ams-rd02-d0-trade-lifecycle-diagnostics-v1,WF01,TRADE-c044fe4cb80a5c105f52,POS-4774862460ae98b8c7bd,CAND-6f5824d5923934863997,SNX,2022-03-22T04:00:00+00:00,2022-04-11T04:00:00+00:00,REBALANCE_EXIT,MEDIUM,480.0,GT_14D_LE_28D,120,5.076076,4.951109,-0.0246188197339835,-0.028512556980554382,0.6102625335002865,-0.028707608002716878,0.6102625335002865,-0.028707608002716878,0.0,0.0,3.469446951953614e-17,256.0,480.0,0.5333333333333333,224.0,0.63488135323427,1.0403413586490018,-0.04034135864900174,0.537057167780782,-0.026589830412310556,0.9583333333333334,-0.026589830412310556,False,False,,MFE_BEFORE_MAE,20.0,152.0,196.0,True,True,True,False,False,False,False,True,False
ams-rd02-d0-trade-lifecycle-diagnostics-v1,WF01,TRADE-50823589550799eb5de1,POS-42b43bfd1fb410bee7b4,CAND-7a91ad6877025aa7b872,ZEC,2022-03-21T20:00:00+00:00,2022-04-11T04:00:00+00:00,REBALANCE_EXIT,FULL,488.0,GT_14D_LE_28D,122,178.519,159.6,-0.10597751499840358,-0.10954646703433811,0.21142287375573465,-0.12323618214307719,0.21142287375573465,-0.12323618214307719,0.0,0.0,1.3877787807814457e-17,116.0,488.0,0.23770491803278687,372.0,0.31740038875413823,1.5012585115120687,-0.5012585115120688,0.1780706815521036,-0.10412897226625739,0.5327868852459017,-0.10412897226625739,False,False,,MFE_BEFORE_MAE,48.0,72.0,116.0,True,True,True,True,True,False,False,True,False
ams-rd02-d0-trade-lifecycle-diagnostics-v1,WF01,TRADE-c941579497432892cb94,POS-c322d7af0b67bb6364df,CAND-07d12dbb2e1191742df6,AAVE,2022-04-04T20:00:00+00:00,2022-04-18T04:00:00+00:00,REBALANCE_EXIT,FULL,320.0,GT_7D_LE_14D,80,236.467,169.297,-0.2840565491167901,-0.2869146068049467,0.02110653917882832,-0.3416586669598719,0.02110653917882832,-0.3416586669598719,0.0,0.0,0.0,4.0,172.0,0.0125,316.0,0.30516308829561845,14.458224804648378,-13.458224804648378,0.0066478620695487045,-0.33262992299136873,0.025,-0.24646145128072838,False,False,,MFE_BEFORE_MAE,,,,False,False,False,False,True,False,False,False,False
ams-rd02-d0-trade-lifecycle-diagnostics-v1,WF01,TRADE-ab24d153b9f872e7bb1d,POS-759fdcfda3b7eddc4b89,CAND-be2f790e9f4554688d2b,SOL,2022-04-17T16:00:00+00:00,2022-04-18T04:00:00+00:00,REBALANCE_EXIT,FOUR_HOUR_ONLY,12.0,LE_7D,3,105.1,101.18,-0.03729781160799228,-0.041140934116543196,0.0033491912464320706,-0.05211227402473828,0.0033491912464320706,-0.05211227402473828,0.0,0.0,6.938893903907228e-18,4.0,8.0,0.3333333333333333,8.0,0.04064700285442435,12.136363636363269,-11.136363636363269,-0.009762131303520438,-0.0470884871550904,0.0,-0.03758325404376772,False,False,,MFE_BEFORE_MAE,,,,False,False,False,False,False,False,False,False,False
