canonical_symbol,d0b_status,row_count,resolution,blocking_integrity_failure,recoverable_data,usable_source_pairs,unavailable_source_pairs,unresolved_source_pairs,true_integrity_counter_total
CRO,COMPLETE,8766,USABLE_COMPLETE,False,False,CRO-USDT,,,0
MATIC,SOURCE_REQUEST_INCOMPLETE,2512,USABLE_SOURCE_RECOVERY_REQUIRED,False,True,POL-USDT,MATIC-USDT,,0
XVG,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,XVG-USDT,,0
FTT,COMPLETE,7168,USABLE_COMPLETE,False,False,FTT-USDT,,,0
BCH,SOURCE_REQUEST_INCOMPLETE,8766,USABLE_SOURCE_RECOVERY_REQUIRED,False,True,BCH-USDT,BCHABC-USDT,,0
ICP,COMPLETE,7984,USABLE_COMPLETE,False,False,ICP-USDT,,,0
ETC,COMPLETE,8766,USABLE_COMPLETE,False,False,ETC-USDT,,,0
LEO,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,LEO-USDT,,0
QNT,COMPLETE,8541,USABLE_COMPLETE,False,False,QNT-USDT,,,0
ALGO,COMPLETE,8766,USABLE_COMPLETE,False,False,ALGO-USDT,,,0
HT,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,HT-USDT,,0
LDO,COMPLETE,5446,USABLE_COMPLETE,False,False,LDO-USDT,,,0
GNO,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,GNO-USDT,,0
CRV,COMPLETE,8644,USABLE_COMPLETE,False,False,CRV-USDT,,,0
MANA,COMPLETE,8314,USABLE_COMPLETE,False,False,MANA-USDT,,,0
MKR,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,MKR-USDT,,0
NEO,COMPLETE,8766,USABLE_COMPLETE,False,False,NEO-USDT,,,0
XTZ,COMPLETE,8766,USABLE_COMPLETE,False,False,XTZ-USDT,,,0
BSV,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,BSV-USDT,,0
1INCH,COMPLETE,8766,USABLE_COMPLETE,False,False,1INCH-USDT,,,0
FLOW,COMPLETE,7228,USABLE_COMPLETE,False,False,FLOW-USDT,,,0
XAUT,NO_DATA,0,VENUE_UNAVAILABLE,False,False,,XAUT-USDT,,0
COMP,COMPLETE,8766,USABLE_COMPLETE,False,False,COMP-USDT,,,0
DASH,COMPLETE,8766,USABLE_COMPLETE,False,False,DASH-USDT,,,0
LRC,COMPLETE,8566,USABLE_COMPLETE,False,False,LRC-USDT,,,0
BTG,NO_DATA,0,VENUE_UNAVAILABLE,False,False,,BTG-USDT,,0
ZRX,COMPLETE,2434,USABLE_COMPLETE,False,False,ZRX-USDT,,,0
PAXG,COMPLETE,6886,USABLE_COMPLETE,False,False,PAXG-USDT,,,0
UMA,COMPLETE,8766,USABLE_COMPLETE,False,False,UMA-USDT,,,0
ELF,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,ELF-USDT,,0
LPT,COMPLETE,7684,USABLE_COMPLETE,False,False,LPT-USDT,,,0
BAT,COMPLETE,8538,USABLE_COMPLETE,False,False,BAT-USDT,,,0
POWR,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,POWR-USDT,,0
SUSHI,COMPLETE,8638,USABLE_COMPLETE,False,False,SUSHI-USDT,,,0
PERP,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,PERP-USDT,,0
BAL,COMPLETE,7294,USABLE_COMPLETE,False,False,BAL-USDT,,,0
SNT,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,SNT-USDT,,0
QTUM,COMPLETE,305,USABLE_COMPLETE,False,False,QTUM-USDT,,,0
XEM,COMPLETE,8766,USABLE_COMPLETE,False,False,XEM-USDT,,,0
DCR,COMPLETE,2434,USABLE_COMPLETE,False,False,DCR-USDT,,,0
POLY,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,POLY-USDT,,0
ANT,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,ANT-USDT,,0
YFI,COMPLETE,8766,USABLE_COMPLETE,False,False,YFI-USDT,,,0
MAID,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,MAID-USDT,,0
GAS,COMPLETE,8386,USABLE_COMPLETE,False,False,GAS-USDT,,,0
NXM,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,NXM-USDT,,0
OMG,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,OMG-USDT,,0
RENBTC,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,RENBTC-USDT,,0
SRM,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,SRM-USDT,,0
HEDG,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,HEDG-USDT,,0
CVC,COMPLETE,323,USABLE_COMPLETE,False,False,CVC-USDT,,,0
DGB,COMPLETE,8766,USABLE_COMPLETE,False,False,DGB-USDT,,,0
ALPHA,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,ALPHA-USDT,,0
REN,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,REN-USDT,,0
REV,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,REV-USDT,,0
ICX,COMPLETE,5572,USABLE_COMPLETE,False,False,ICX-USDT,,,0
REP,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,REP-USDT,,0
GNT,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,GNT-USDT,,0
FUN,NO_DATA,0,VENUE_UNAVAILABLE,False,False,,FUN-USDT,,0
WNXM,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,WNXM-USDT,,0
KNC,COMPLETE,5884,USABLE_COMPLETE,False,False,KNC-USDT,,,0
VET,COMPLETE,8766,USABLE_COMPLETE,False,False,VET-USDT,,,0
BTM,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,BTM-USDT,,0
QASH,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,QASH-USDT,,0
DRGN,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,DRGN-USDT,,0
GRIN,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,GRIN-USDT,,0
AE,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,AE-USDT,,0
WTC,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,WTC-USDT,,0
AION,SOURCE_REQUEST_INCOMPLETE,0,VENUE_UNAVAILABLE,False,False,,AION-USDT,,0
