symbol,pit_panel_rows,matched_panel_rows,matched_row_share
1INCH,2967,2967,1.0
AAVE,3282,3282,1.0
ADA,3282,3282,1.0
ALGO,3282,3282,1.0
AVAX,3282,3282,1.0
BAL,63,63,1.0
BAT,630,630,1.0
BCH,3282,3282,1.0
BTC,3282,3282,1.0
COMP,2799,2799,1.0
CRO,3282,0,0.0
CRV,3282,3282,1.0
DASH,1491,1491,1.0
DOGE,3282,3282,1.0
DOT,462,462,1.0
ETC,3282,3282,1.0
ETH,3282,3282,1.0
FLOW,594,594,1.0
FTT,3051,2328,0.7630285152409046
ICP,3282,3282,1.0
LDO,2715,2715,1.0
LINK,3282,3282,1.0
LPT,126,126,1.0
LRC,1218,1218,1.0
LTC,3282,3282,1.0
MANA,3282,3282,1.0
MATIC,1245,907,0.7285140562248996
NEO,3282,3282,1.0
PAXG,2268,2268,1.0
QNT,3282,3282,1.0
SHIB,3282,3282,1.0
SNX,3072,3072,1.0
SUSHI,63,63,1.0
UMA,168,168,1.0
UNI,3282,3282,1.0
XLM,3282,3282,1.0
XMR,3282,2335,0.7114564290067033
XRP,3282,3282,1.0
XTZ,357,357,1.0
ZEC,2673,2673,1.0
ZRX,294,294,1.0
