initial_capital,final_equity,gross_return,net_return,cagr,maximum_drawdown,calmar,sharpe,sortino,profit_factor,expectancy,win_rate,payoff_ratio,trade_count,entries_per_year,rebalance_count,average_holding_hours,median_holding_hours,turnover,fees,break_even_fee,cluster_rejections,crisis_rejections,selection_expirations,natural_reselections,entries_by_alignment_tier,return_by_alignment_tier,per_symbol_pnl,per_symbol_trades,top_1_symbol_contribution,top_3_symbol_contribution,reconciliation_status,open_positions_after_fold,portfolio,cost_mode,transaction_cost,fold_id,status,weekly_expectancy,weekly_interval_count,average_exposure
100000.0,41126.52520414399,-0.5887347479585598,-0.5887347479585601,-0.5887347479585601,0.6157344511742282,-0.9561504100279289,-2.3438872336631293,-1.958678002075496,0.07584616989726134,-1784.0446907835146,0.18181818181818182,0.34130776453767603,33.0,33.0,52.0,275.1515151515151,164.0,911373.1626930104,0.0,-0.06459864872681916,213.0,54.0,0.0,10.0,"{""FOUR_HOUR_ONLY"":3,""FULL"":22,""MEDIUM"":8}","{""FOUR_HOUR_ONLY"":-292.1434793276533,""FULL"":-50703.64907522558,""MEDIUM"":-7877.682241302754}","{""AAVE"":-5859.516845312266,""ALGO"":-5341.016434060527,""COMP"":-2005.4018603545735,""CRO"":-2324.7146364163073,""CRV"":-3073.9351461934702,""DASH"":-909.7292265324234,""DOGE"":-4458.4408068314615,""ETC"":-10322.595150210673,""ETH"":-278.3257448588629,""FTT"":-1802.7037908164339,""ICP"":-101.58252734021373,""LDO"":-3698.5435015348075,""LRC"":-130.48009806473598,""LTC"":-1599.354972823242,""MANA"":-5028.001041286995,""PAXG"":94.60290322902995,""QNT"":1840.9401559393261,""SHIB"":147.69797032013645,""SNX"":-10342.667921145454,""UNI"":469.63478365552976,""XMR"":-2688.6597949044067,""XRP"":-1100.247947156615,""ZEC"":-360.4331631565379}","{""AAVE"":2,""ALGO"":1,""COMP"":1,""CRO"":1,""CRV"":1,""DASH"":1,""DOGE"":2,""ETC"":3,""ETH"":1,""FTT"":1,""ICP"":1,""LDO"":1,""LRC"":2,""LTC"":1,""MANA"":1,""PAXG"":1,""QNT"":3,""SHIB"":1,""SNX"":4,""UNI"":1,""XMR"":1,""XRP"":1,""ZEC"":1}",0.7211240540808352,0.9629426144656364,PASS,0,M05_PIT,ZERO_COST,0.0,WF01,PASS,-0.01566582395054013,51,
100000.0,127828.0839167634,0.27828083916763346,0.2782808391676339,0.2782808391676339,0.4864511401600584,0.5720632889791776,0.7240349810496876,0.9589964652049746,1.433770367012669,488.2119985397078,0.43859649122807015,1.8352260697762162,57.0,57.0,52.0,350.8070175438597,296.0,2277651.40026784,0.0,0.01221788545582125,218.0,2.0,0.0,33.0,"{""FOUR_HOUR_ONLY"":1,""FULL"":47,""MEDIUM"":9}","{""FOUR_HOUR_ONLY"":4.267561609165698,""FULL"":33228.49489341956,""MEDIUM"":-5404.678538265382}","{""AAVE"":3136.2908894533152,""ADA"":-253.7964273179623,""ALGO"":-1463.2523625166814,""AVAX"":27397.634329881566,""BCH"":1045.5241295970989,""BTC"":1004.2284458068259,""COMP"":4724.49405748794,""CRO"":-272.8290173760481,""CRV"":-1775.54744612274,""DASH"":-112.02956268723418,""ETC"":1936.9504376649936,""FTT"":-10190.94252683457,""ICP"":8965.15247318199,""LDO"":-1460.5749741122713,""LINK"":13587.996713762392,""LRC"":-2631.040688178805,""LTC"":-2180.1529648837095,""MANA"":-3914.0097438437433,""NEO"":185.35751529346715,""PAXG"":415.1806786709821,""SHIB"":-3356.5741654543344,""SNX"":-768.5824512421723,""XLM"":-3014.769277227276,""XRP"":-3176.6241462396747}","{""AAVE"":2,""ADA"":2,""ALGO"":1,""AVAX"":1,""BCH"":4,""BTC"":4,""COMP"":1,""CRO"":3,""CRV"":1,""DASH"":1,""ETC"":1,""FTT"":4,""ICP"":4,""LDO"":3,""LINK"":2,""LRC"":2,""LTC"":1,""MANA"":2,""NEO"":3,""PAXG"":4,""SHIB"":2,""SNX"":4,""XLM"":2,""XRP"":3}",0.4390730283866657,0.8005085959227896,PASS,0,M05_PIT,ZERO_COST,0.0,WF02,PASS,0.007213267555553671,52,
100000.0,113347.32668629232,0.133473266862923,0.13347326686292327,0.13347326686292327,0.5146756819154955,0.2593347064041744,0.5187546319172588,0.7223569909650508,1.1562651541993842,211.862328353846,0.4444444444444444,1.4453314427492303,63.0,63.0,53.0,353.14285714285717,252.0,2162099.0457085106,0.0,0.006173318799980524,147.0,3.0,0.0,33.0,"{""FOUR_HOUR_ONLY"":2,""FULL"":45,""MEDIUM"":16}","{""FOUR_HOUR_ONLY"":219.424093641689,""FULL"":28407.392614498094,""MEDIUM"":-15279.490021847489}","{""1INCH"":-1285.014637987873,""AAVE"":4577.036375229634,""ADA"":4777.683112038075,""ALGO"":-3393.51422983684,""AVAX"":-8328.939437728344,""BCH"":-5948.8829637487215,""BTC"":3396.99529387614,""CRO"":1209.214164161664,""CRV"":-7807.084109793791,""DOGE"":35296.542228222395,""ETC"":-1525.5234969910855,""ETH"":1978.8439682460323,""FTT"":25.4069828631948,""ICP"":-11595.443090966935,""LDO"":-3659.080866130393,""LINK"":588.5476164675667,""LPT"":1456.5368386121095,""LTC"":162.02627580467188,""MATIC"":-279.733532258345,""NEO"":-5969.4592313417825,""PAXG"":-503.08254968592837,""QNT"":84.461221324735,""SHIB"":2447.8302270393915,""UMA"":-6439.158628101986,""UNI"":505.6159995593416,""XLM"":22342.15979660846,""XMR"":-1414.9678467677222,""XRP"":-3211.24885403655,""ZEC"":2548.419862594993,""ZRX"":-6688.859800979812}","{""1INCH"":1,""AAVE"":4,""ADA"":3,""ALGO"":2,""AVAX"":5,""BCH"":2,""BTC"":2,""CRO"":1,""CRV"":2,""DOGE"":2,""ETC"":1,""ETH"":2,""FTT"":3,""ICP"":4,""LDO"":2,""LINK"":2,""LPT"":2,""LTC"":1,""MATIC"":1,""NEO"":1,""PAXG"":2,""QNT"":1,""SHIB"":2,""UMA"":2,""UNI"":2,""XLM"":1,""XMR"":4,""XRP"":3,""ZEC"":2,""ZRX"":1}",0.43363273194276264,0.7668113049116427,PASS,0,M05_PIT,ZERO_COST,0.0,WF03,PASS,0.007779707572159711,52,
100000.0,23397.248239766377,,-0.7660275176023362,,0.7660275176023362,,,,,,,,,,,,,334992.54255105637,0.0,,,,,,,,,,,,PASS,0,PIT_EQUAL_WEIGHT,ZERO_COST,0.0,WF01,PASS,-0.022218891110156236,51,0.9972602739726028
100000.0,189473.17607997882,,0.8947317607997882,,0.38611681282079846,,,,,,,,,,,,,738313.0208066062,0.0,,,,,,,,,,,,PASS,0,PIT_EQUAL_WEIGHT,ZERO_COST,0.0,WF02,PASS,0.015306873143387729,52,1.0
100000.0,152446.75829986192,,0.5244675829986192,,0.5218436620594364,,,,,,,,,,,,,699977.4972152457,0.0,,,,,,,,,,,,PASS,0,PIT_EQUAL_WEIGHT,ZERO_COST,0.0,WF03,PASS,0.01436413284352112,52,1.0
100000.0,39951.39673977943,-0.5824656272805041,-0.6004860326022057,-0.6004860326022057,0.6249700607251686,-0.960823678346202,-2.4179916158816086,-2.025314955475526,0.06922546208267696,-1819.6546442491072,0.18181818181818182,0.31151457937204635,33.0,33.0,52.0,275.1515151515151,164.0,901020.2660850624,1802.040532170125,-0.06464511945012294,213.0,54.0,0.0,10.0,"{""FOUR_HOUR_ONLY"":3,""FULL"":22,""MEDIUM"":8}","{""FOUR_HOUR_ONLY"":-341.73700255859285,""FULL"":-51580.28916286029,""MEDIUM"":-8126.577094801656}","{""AAVE"":-5911.722374026123,""ALGO"":-5251.228809075431,""COMP"":-2049.9556329098377,""CRO"":-2370.437069383063,""CRV"":-3094.368696244342,""DASH"":-929.7142518822645,""DOGE"":-4460.838512902861,""ETC"":-10450.23010944108,""ETH"":-323.66992569473285,""FTT"":-1899.098383234801,""ICP"":-155.4390941699759,""LDO"":-3665.719700785607,""LRC"":-236.10778244233634,""LTC"":-1608.4292395393502,""MANA"":-5110.011714068044,""PAXG"":48.56882371974895,""QNT"":1712.1510014970718,""SHIB"":109.6506289841899,""SNX"":-10530.439627139935,""UNI"":441.89524641752394,""XMR"":-2722.602309272683,""XRP"":-1152.8898793527676,""ZEC"":-437.96584927383685}","{""AAVE"":2,""ALGO"":1,""COMP"":1,""CRO"":1,""CRV"":1,""DASH"":1,""DOGE"":2,""ETC"":3,""ETH"":1,""FTT"":1,""ICP"":1,""LDO"":1,""LRC"":2,""LTC"":1,""MANA"":1,""PAXG"":1,""QNT"":3,""SHIB"":1,""SNX"":4,""UNI"":1,""XMR"":1,""XRP"":1,""ZEC"":1}",0.7404646451482928,0.9789951372341177,PASS,0,M05_PIT,BASE_COST,0.002,WF01,PASS,-0.01618852259954144,51,
100000.0,121246.36636539828,0.2568777224745308,0.21246366365398273,0.21246366365398273,0.5056381810165079,0.4201891226387556,0.6293358713339775,0.8347553361997031,1.3249269150479503,372.7432695683911,0.42105263157894735,1.8217745081909316,57.0,57.0,52.0,350.8070175438597,296.0,2220702.9410273917,4441.405882054784,0.011567405875352613,218.0,2.0,0.0,33.0,"{""FOUR_HOUR_ONLY"":1,""FULL"":47,""MEDIUM"":9}","{""FOUR_HOUR_ONLY"":-14.680275710168846,""FULL"":27071.134768686043,""MEDIUM"":-5810.088127577581}","{""AAVE"":2891.7129637114017,""ADA"":-527.7830470024178,""ALGO"":-1511.31953833514,""AVAX"":26034.67216363843,""BCH"":832.7817264793707,""BTC"":670.6305234906029,""COMP"":4511.579351317221,""CRO"":-554.3320424442745,""CRV"":-1765.9930708782326,""DASH"":-209.7599278907963,""ETC"":1866.0765367896636,""FTT"":-10447.361087422747,""ICP"":8203.768669011308,""LDO"":-1637.193599337395,""LINK"":12919.461623808284,""LRC"":-2793.669795983593,""LTC"":-2174.1067932792826,""MANA"":-4103.145688363935,""NEO"":-52.66046410261356,""PAXG"":75.72342732672169,""SHIB"":-3356.7494819687918,""SNX"":-1231.2592694078803,""XLM"":-3091.5835970656935,""XRP"":-3303.1232166919194}","{""AAVE"":2,""ADA"":2,""ALGO"":1,""AVAX"":1,""BCH"":4,""BTC"":4,""COMP"":1,""CRO"":3,""CRV"":1,""DASH"":1,""ETC"":1,""FTT"":4,""ICP"":4,""LDO"":3,""LINK"":2,""LRC"":2,""LTC"":1,""MANA"":2,""NEO"":3,""PAXG"":4,""SHIB"":2,""SNX"":4,""XLM"":2,""XRP"":3}",0.4488240785214229,0.8129774779566479,PASS,0,M05_PIT,BASE_COST,0.002,WF02,PASS,0.006229166814812546,52,
100000.0,107136.57909523828,0.11339688196274339,0.07136579095238282,0.07136579095238282,0.529721920628893,0.13472312202533812,0.4363881995750358,0.6077643405937582,1.0830313942403507,113.27903325775061,0.4126984126984127,1.5412369841112683,63.0,63.0,53.0,353.14285714285717,252.0,2101554.5505180294,4203.109101036059,0.005395857173195493,147.0,3.0,0.0,33.0,"{""FOUR_HOUR_ONLY"":2,""FULL"":45,""MEDIUM"":16}","{""FOUR_HOUR_ONLY"":171.3692272692347,""FULL"":22576.587126530125,""MEDIUM"":-15611.377258561071}","{""1INCH"":-1337.620607419449,""AAVE"":4206.910996100804,""ADA"":3983.692613107227,""ALGO"":-3424.01686773508,""AVAX"":-8455.516718087605,""BCH"":-6013.396622529988,""BTC"":3138.1173887554814,""CRO"":1068.9170800397935,""CRV"":-7573.989119763406,""DOGE"":33750.06355105025,""ETC"":-1604.9467288195299,""ETH"":1861.0095120736105,""FTT"":-209.9265919175499,""ICP"":-11641.2881539517,""LDO"":-3771.3900737459167,""LINK"":469.7732091004643,""LPT"":1269.3959512253743,""LTC"":117.36219052189382,""MATIC"":-353.6557854622677,""NEO"":-5914.847446915976,""PAXG"":-617.5564422236741,""QNT"":26.92419834545771,""SHIB"":2302.155978401232,""UMA"":-6492.761949655283,""UNI"":392.11986087443483,""XLM"":21168.344970379927,""XMR"":-1580.6579114488443,""XRP"":-3273.407500498336,""ZEC"":2321.057628845139,""ZRX"":-6674.287513408196}","{""1INCH"":1,""AAVE"":4,""ADA"":3,""ALGO"":2,""AVAX"":5,""BCH"":2,""BTC"":2,""CRO"":1,""CRV"":2,""DOGE"":2,""ETC"":1,""ETH"":2,""FTT"":3,""ICP"":4,""LDO"":2,""LINK"":2,""LPT"":2,""LTC"":1,""MATIC"":1,""NEO"":1,""PAXG"":2,""QNT"":1,""SHIB"":2,""UMA"":2,""UNI"":2,""XLM"":1,""XMR"":4,""XRP"":3,""ZEC"":2,""ZRX"":1}",0.44363705055001934,0.7771891251081421,PASS,0,M05_PIT,BASE_COST,0.002,WF03,PASS,0.006738840592372207,52,
100000.0,23101.051132751712,,-0.7689894886724828,,0.7689894886724828,,,,,,,,,,,,,333347.78121585137,666.6955624317025,,,,,,,,,,,,PASS,0,PIT_EQUAL_WEIGHT,BASE_COST,0.002,WF01,PASS,-0.022418470252260566,51,0.9972602739726028
