signal_id,family_id,mean_rank_ic,median_rank_ic,ic_information_ratio,positive_ic_period_share,mean_top_excess,median_top_excess,positive_top_excess_share,evaluable_decision_count,raw_bootstrap_p_value,bh_adjusted_p_value,maximum_absolute_symbol_contribution_share,concentration_defined,gate_pass,reason
XSM_RETURN_7D,CROSS_SECTIONAL_MOMENTUM,-0.022564754489114887,-0.0424916573971079,-0.0843305109348688,0.4423076923076923,0.005123764393559444,-6.980844790616114e-05,0.5,104,0.8126187381261873,0.9998000199980002,0.1303797673981865,True,True,
XSM_RETURN_28D,CROSS_SECTIONAL_MOMENTUM,-0.04609502010781211,-0.07096774193548387,-0.18743647394591006,0.38461538461538464,-0.002011116652697995,-0.007877811665990813,0.4326923076923077,104,0.9716028397160283,0.9998000199980002,0.0893269197886097,True,True,
XSM_RETURN_84D,CROSS_SECTIONAL_MOMENTUM,-0.05024890293244019,-0.04560622914349277,-0.1852824168947613,0.4423076923076923,-0.004381488863721205,-0.0008929313032558575,0.4807692307692308,104,0.9728027197280272,0.9998000199980002,0.0876439136918873,True,True,
XSM_28D_SKIP_1D,CROSS_SECTIONAL_MOMENTUM,-0.04247973939297632,-0.08253615127919911,-0.1732616432854677,0.40384615384615385,-0.004636530790487385,-0.0059637969192687015,0.4423076923076923,104,0.9623037696230377,0.9998000199980002,0.12084380405313447,True,True,
TSM_RETURN_28D,TIME_SERIES_TREND,-0.04609502010781211,-0.07096774193548387,-0.18743647394591006,0.38461538461538464,-0.002011116652697995,-0.007877811665990813,0.4326923076923077,104,0.9723027697230276,0.9998000199980002,0.0893269197886097,True,True,
TSM_RETURN_84D,TIME_SERIES_TREND,-0.05024890293244019,-0.04560622914349277,-0.1852824168947613,0.4423076923076923,-0.004381488863721205,-0.0008929313032558575,0.4807692307692308,104,0.9693030696930307,0.9998000199980002,0.0876439136918873,True,True,
EMA_20_50_TREND_STATE,TIME_SERIES_TREND,-0.029566276326565537,-0.02135706340378198,-0.1329013624965617,0.49038461538461536,-0.008831003110456141,-0.008535833646391695,0.4230769230769231,104,0.9128087191280871,0.9998000199980002,0.19263078022482005,True,True,
MULTI_HORIZON_TREND_AGREEMENT,TIME_SERIES_TREND,-0.03969076138679398,-0.0033263281909623778,-0.17148600807532954,0.49038461538461536,0.0015679378170460638,-0.0019343878312630212,0.46153846153846156,104,0.9611038896110389,0.9998000199980002,0.11418593589456084,True,True,
REVERSAL_1D_VOL_NORMALIZED,REVERSAL_AND_OVEREXTENSION,0.02907931890134337,0.061401557285873196,0.1162307093352548,0.5961538461538461,0.000721239840297217,0.0005586192061059862,0.5096153846153846,104,0.11788821117888211,0.6439070378676418,0.12967060475312578,True,True,
REVERSAL_3D_VOL_NORMALIZED,REVERSAL_AND_OVEREXTENSION,0.01658069405566625,0.032925472747497214,0.06862423684793605,0.5480769230769231,-0.00510410280720385,-0.005621727005905174,0.4230769230769231,104,0.23887611238876114,0.8758790787587908,0.17351047977384224,True,True,
