universe_mode,portfolio_mode,fold_id,trade_id,position_id,candidate_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,net_pnl,return_fraction,exit_reason,alignment_tier,holding_hours,mfe,mae,natural_reselection_sequence,previous_position_id,entry_weekday,week_start,weekly_path_complete,weekly_low_weekday,friday_close,tuesday_to_friday_return
PIT_UNIVERSE,CONTROL,WF01,TRADE-a8166c232d36c988efdc,POS-a739ac2fc798f5e0bb6b,CAND-2e4a99a76f9abc3ea76a,CRO,2022-02-15T12:00:00+00:00,2022-02-21T04:00:00+00:00,0.4926,0.4141,29514.83898556236,-2316.914860366644,-2370.437069383063,-0.16271436015504506,REBALANCE_EXIT,MEDIUM,136.0,0.012586276898091775,-0.18473406414941118,0,,TUESDAY,2022-02-14T00:00:00Z,True,SUNDAY,0.4352,-0.11652456354039786
PIT_UNIVERSE,CONTROL,WF01,TRADE-ddea250cd84b3e1d2bbb,POS-f417abd7b2a08fa9a559,CAND-16a75983b3be06ff9343,XRP,2022-02-15T04:00:00+00:00,2022-03-14T04:00:00+00:00,0.82368,0.76154,17652.459229378463,-1096.923816513577,-1152.8898793527676,-0.07913276981390749,REBALANCE_EXIT,MEDIUM,648.0,0.04385198135198132,-0.24573863636363635,0,,TUESDAY,2022-02-14T00:00:00Z,True,THURSDAY,0.78406,-0.04810120435120435
PIT_UNIVERSE,CONTROL,WF01,TRADE-40f7a4b136b0b65ddebf,POS-4774862460ae98b8c7bd,CAND-6f5824d5923934863997,SNX,2022-03-22T04:00:00+00:00,2022-03-28T04:00:00+00:00,5.076076,5.457367,2642.081879904936,1007.4020420708331,951.7416043042101,0.07082342813472754,REBALANCE_EXIT,MEDIUM,144.0,0.09071455982928556,-0.020045011146405223,1,POS-6ed884f20752ae2e77b8,TUESDAY,2022-03-21T00:00:00Z,True,TUESDAY,5.0542,-0.004309628145835465
PIT_UNIVERSE,CONTROL,WF01,TRADE-607e948389968de962ac,POS-960070c3980eaa91d84e,CAND-57087f5b9b0fc633ede2,DOGE,2022-04-19T16:00:00+00:00,2022-04-25T04:00:00+00:00,0.14286,0.1287,81383.71470446032,-1152.3934002151564,-1196.594523345443,-0.10271435289857063,REBALANCE_EXIT,MEDIUM,132.0,0.026669466610667936,-0.12739745205095887,0,,TUESDAY,2022-04-18T00:00:00Z,True,SUNDAY,0.13636,-0.04549909001819952
PIT_UNIVERSE,CONTROL,WF01,TRADE-c297468b80572a75b4c7,POS-05f0f2e33255f368510a,CAND-325ca2665ed41bbb401b,SNX,2022-04-26T00:00:00+00:00,2022-05-02T04:00:00+00:00,6.17196,4.713065,2742.3962753457995,-4000.8682141206104,-4060.570318154702,-0.2394230731791073,REBALANCE_EXIT,FULL,148.0,0.15441448097524924,-0.31343041756589485,2,POS-4774862460ae98b8c7bd,TUESDAY,2022-04-25T00:00:00Z,True,SATURDAY,4.979255,-0.19324574365355573
PIT_UNIVERSE,CONTROL,WF01,TRADE-cd4796eda028d8091490,POS-7ddff3c1108ccc8d787c,CAND-02aa5efd877ad606bf60,ICP,2022-08-02T00:00:00+00:00,2022-08-08T04:00:00+00:00,8.35,8.29,1666.3710781515338,-99.98226468909286,-155.4390941699759,-0.011148959565898203,REBALANCE_EXIT,FULL,148.0,0.03952095808383227,-0.10419161676646693,0,,TUESDAY,2022-08-01T00:00:00Z,True,TUESDAY,8.39,0.004790419161676773
PIT_UNIVERSE,CONTROL,WF01,TRADE-525a6748f4d40e23094b,POS-dad68e228af0c3b3c1e2,CAND-adb2e22b897ca82a7c32,ETC,2022-08-02T12:00:00+00:00,2022-08-29T04:00:00+00:00,37.0297,31.2262,374.9102972557905,-2175.79191012398,-2226.9715896409034,-0.16009191241144152,REBALANCE_EXIT,FULL,640.0,0.23464948406279285,-0.1800581695233825,2,POS-3d63110720c1772a75df,TUESDAY,2022-08-01T00:00:00Z,True,TUESDAY,38.3156,0.03472617925611088
PIT_UNIVERSE,CONTROL,WF01,TRADE-2346c45dc8c0d4207126,POS-d19d925803ad66d2892a,CAND-5504511b25fdf8314c08,SHIB,2022-09-06T00:00:00+00:00,2022-09-12T04:00:00+00:00,1.263e-05,1.284e-05,689366459.0983839,144.76695641066158,109.6506289841899,0.012568686854319975,REBALANCE_EXIT,MEDIUM,148.0,0.102929532858274,-0.07205067300079171,0,,TUESDAY,2022-09-05T00:00:00Z,True,TUESDAY,1.291e-05,0.022169437846397466
PIT_UNIVERSE,CONTROL,WF01,TRADE-53bd80f3ac2b48b16e3b,POS-e1d8dbdd7fdf5223a729,CAND-b9523da2ec7591260a1e,QNT,2022-12-13T00:00:00+00:00,2022-12-26T04:00:00+00:00,120.812,106.5,30.432982834359894,-435.5568503253587,-449.3924147134467,-0.12198415472468627,REBALANCE_EXIT,FOUR_HOUR_ONLY,316.0,0.0549614276727477,-0.1722676555309075,2,POS-48aabdbc8afd09f433c2,TUESDAY,2022-12-12T00:00:00Z,True,SATURDAY,111.054,-0.08077012217329405
PIT_UNIVERSE,CONTROL,WF02,TRADE-56a4981205d43c37f3c6,POS-24c1c6b09c20e18f915f,CAND-ff299f48e9200e85f049,ETC,2023-01-10T16:00:00+00:00,2023-01-16T04:00:00+00:00,20.1524,22.4828,831.166511184772,1936.9504376649936,1866.0765367896636,0.11118518406706966,REBALANCE_EXIT,MEDIUM,132.0,0.184712490819952,-0.03499831285603705,0,,TUESDAY,2023-01-09T00:00:00Z,True,WEDNESDAY,21.6188,0.07276552668664782
