asset,canonical_asset,canonical_symbol,normalization_rule,stablecoin_excluded,investable_identity,observation_days,first_day,last_day,maximum_market_cap_usd
cro,cro,CRO,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,89641417607.1939
crv,crv,CRV,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,10791272272.553272
cvc,cvc,CVC,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,889975160.877958
dash,dash,DASH,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,4499017501.875661
dgb,dgb,DGB,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2251702574.472011
doge,doge,DOGE,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,88662843135.25148
drgn,drgn,DRGN,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,150259800.10229725
elf,elf,ELF,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,878058152.4999216
etc,etc,ETC,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,16995264096.023787
eth,eth,ETH,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,566636453619.9932
ftt,ftt,FTT,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,27126316771.349243
fun,fun,FUN,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,574923041.9888905
gas,gas,GAS,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,662238968.181316
gno,gno,GNO,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,5849917688.59902
gnt,gnt,GNT,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,356315180.6820721
grin,grin,GRIN,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,102065067.581095
hbtc,hbtc,HBTC,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2693840928.9409328
ht,ht,HT,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,18042003896.2999
icx_eth,icx,ICX,NETWORK_FORM_TO_PARENT,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1220458530.481201
