cost_mode,transaction_cost,m05_compounded_return,equal_weight_compounded_return,delta_compounded_return,m05_weekly_expectancy,equal_weight_weekly_expectancy,delta_weekly_expectancy,m05_mean_maximum_drawdown,equal_weight_mean_maximum_drawdown,drawdown_improvement,m05_turnover,equal_weight_turnover,m05_fees,equal_weight_fees
ZERO_COST,0.0,-0.40411894482882516,-0.3241805108259409,-0.07993843400288425,-0.0001246600957190371,0.0026434120303309174,-0.0027680721260499547,0.5389537577499274,0.5579959974941904,0.019042239744263,5351123.608669361,1773283.0605729083,0.0,0.0
BASE_COST,0.002,-0.4810345157020558,-0.3477089988835531,-0.1333255168185027,-0.0009759888219548795,0.002455376518637891,-0.0034313653405927706,0.5534433874568565,0.559941106835251,0.006497719378394495,5223277.757630483,1762578.9413184037,10446.555515260969,3525.157882636807
STRESS_0_4_PERCENT,0.004,-0.5481740878572945,-0.3704107674183956,-0.17776332043889886,-0.0018280017132115836,0.0022675980585925744,-0.004095599771804158,0.5674969464635001,0.5618704069572947,-0.005626539506205397,5099663.546565982,1751972.4659045367,20398.654186263928,7007.8898636181475
