canonical_symbol,venue_pair,attempt_status,classification,blocking,error
CRO,CRO-USDT,ACQUIRED,USABLE_SOURCE,False,
MATIC,MATIC-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
MATIC,POL-USDT,ACQUIRED,USABLE_SOURCE,False,
XVG,XVG-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
FTT,FTT-USDT,ACQUIRED,USABLE_SOURCE,False,
BCH,BCH-USDT,ACQUIRED,USABLE_SOURCE,False,
BCH,BCHABC-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
ICP,ICP-USDT,ACQUIRED,USABLE_SOURCE,False,
ETC,ETC-USDT,ACQUIRED,USABLE_SOURCE,False,
LEO,LEO-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
QNT,QNT-USDT,ACQUIRED,USABLE_SOURCE,False,
ALGO,ALGO-USDT,ACQUIRED,USABLE_SOURCE,False,
HT,HT-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
LDO,LDO-USDT,ACQUIRED,USABLE_SOURCE,False,
GNO,GNO-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
CRV,CRV-USDT,ACQUIRED,USABLE_SOURCE,False,
MANA,MANA-USDT,ACQUIRED,USABLE_SOURCE,False,
MKR,MKR-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
NEO,NEO-USDT,ACQUIRED,USABLE_SOURCE,False,
XTZ,XTZ-USDT,ACQUIRED,USABLE_SOURCE,False,
BSV,BSV-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
1INCH,1INCH-USDT,ACQUIRED,USABLE_SOURCE,False,
FLOW,FLOW-USDT,ACQUIRED,USABLE_SOURCE,False,
XAUT,XAUT-USDT,NO_KUCOIN_HISTORY,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list.
COMP,COMP-USDT,ACQUIRED,USABLE_SOURCE,False,
DASH,DASH-USDT,ACQUIRED,USABLE_SOURCE,False,
LRC,LRC-USDT,ACQUIRED,USABLE_SOURCE,False,
BTG,BTG-USDT,NO_KUCOIN_HISTORY,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list. | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin kline data must be a list.
ZRX,ZRX-USDT,ACQUIRED,USABLE_SOURCE,False,
PAXG,PAXG-USDT,ACQUIRED,USABLE_SOURCE,False,
UMA,UMA-USDT,ACQUIRED,USABLE_SOURCE,False,
ELF,ELF-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
LPT,LPT-USDT,ACQUIRED,USABLE_SOURCE,False,
BAT,BAT-USDT,ACQUIRED,USABLE_SOURCE,False,
POWR,POWR-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
SUSHI,SUSHI-USDT,ACQUIRED,USABLE_SOURCE,False,
PERP,PERP-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
BAL,BAL-USDT,ACQUIRED,USABLE_SOURCE,False,
SNT,SNT-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
QTUM,QTUM-USDT,ACQUIRED,USABLE_SOURCE,False,
XEM,XEM-USDT,ACQUIRED,USABLE_SOURCE,False,
DCR,DCR-USDT,ACQUIRED,USABLE_SOURCE,False,
POLY,POLY-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
ANT,ANT-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
YFI,YFI-USDT,ACQUIRED,USABLE_SOURCE,False,
MAID,MAID-USDT,SOURCE_REQUEST_INCOMPLETE,VENUE_PAIR_UNAVAILABLE,False,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
GAS,GAS-USDT,ACQUIRED,USABLE_SOURCE,False,
