variant_id,fold_id,observations,beta,downside_beta,upside_beta,correlation,alpha_intercept,r_squared,residual_return,residual_volatility,volatility_matched_btc_return,maximum_btc_exposure
MD01-M01,WF01,2188,0.2084313755360872,0.19527424759219697,0.15381810389611184,0.39774173425117354,-0.00013854980738211537,0.15819848716513096,-6.938893903907228e-18,0.0062943393300639895,-0.5237544164507303,1.0
MD01-M01,WF02,2188,0.7934678421490992,0.8519011687673627,0.6143940217340538,0.6195981981357598,2.1419720972715454e-05,0.38390192713308036,-1.1102230246251565e-16,0.009043170958271602,0.7592583108100224,1.0
MD01-M01,WF03,2194,1.0349089807943543,1.0992802465627909,0.8872065200458478,0.6040650729684346,0.00014992785183855548,0.36489461238036003,1.942890293094024e-16,0.015123001539228752,1.230445580713,1.0
MD01-M02,WF01,2188,0.31138137023423385,0.36070391384392864,0.19833831456622703,0.5051579676747266,-0.00028934268895293756,0.25518457230526037,1.6653345369377348e-16,0.006964230223508264,-0.5799462979056141,1.0
MD01-M02,WF02,2188,0.7473775167214188,0.8686949118254851,0.5520226531495563,0.6249418750974985,-0.0001153814282692521,0.3905523472503776,-1.6653345369377348e-16,0.008399341495158374,0.6782064891423454,1.0
MD01-M02,WF03,2194,1.144705816072792,1.1471485389865033,1.0457745794703652,0.6652957056813548,7.279536837100396e-05,0.44261837599805154,-1.942890293094024e-16,0.014228272043852188,1.1992713553369514,1.0
MD01-M03,WF01,2188,0.32092534974791787,0.36213817785217434,0.23742205077865508,0.5173010646675621,-0.00024125385605456272,0.26760039150619275,-1.3877787807814457e-16,0.006950532402217336,-0.5725235844328679,1.0
MD01-M03,WF02,2188,0.7851596004017559,0.7978924092322566,0.6328341749729818,0.6114652569881717,5.330435125856754e-05,0.3738897605036108,-4.440892098500626e-16,0.009140883933537894,0.8161891887770718,1.0
MD01-M03,WF03,2194,0.9454767836624864,0.9262655843066321,0.8499221483527645,0.5762007467302374,0.00032156104862036765,0.3320073005324826,1.942890293094024e-16,0.014854552675997775,1.2781021635381813,1.0
MD01-M04,WF01,2188,0.43630484724785157,0.4696908540565118,0.31775894421713946,0.60540731777227,-0.0002308877269097985,0.3665180204122145,1.942890293094024e-16,0.007509186211360182,-0.6065292871359858,1.0
MD01-M04,WF02,2188,0.760901796157296,0.8389994941694554,0.5853519135804963,0.6337572675641888,-5.853434442639366e-05,0.4016482741904266,-2.220446049250313e-16,0.008355271420082725,0.8078991593810381,1.0
MD01-M04,WF03,2194,1.0162290397817604,0.9751669871977471,0.9119836587163634,0.6601564700605429,-0.00016049888601544468,0.43580656496279624,-1.3877787807814457e-16,0.01280723560687696,1.2178959455373435,1.0
MD01-M05,WF01,2188,0.1944208548266042,0.185543241203114,0.1554824534281834,0.3921399891644408,-0.00017526004839146483,0.15377377110188772,-1.3877787807814457e-16,0.0059707422901678405,-0.5083622495649938,1.0
MD01-M05,WF02,2188,0.7732223159435048,0.7975543833720472,0.6138289059579435,0.6052987015329864,5.018548070323753e-05,0.36638651807751954,-1.1102230246251565e-16,0.009147943507339641,0.8171495233746973,1.0
MD01-M05,WF03,2194,0.9189554699557954,0.8894335438653254,0.8310976061069463,0.5624304288353299,0.0003021001050743216,0.31632798727989364,1.942890293094024e-16,0.014963949254867992,1.2759337560528077,1.0
MD01-M06,WF01,2188,0.3258725025153475,0.3595114314504577,0.21593370594678318,0.5154947904750143,-0.00026204407931099344,0.26573487900687875,2.7755575615628914e-17,0.007091420754604174,-0.6013882691938268,1.0
MD01-M06,WF02,2188,0.7069709215028458,0.7965593028079512,0.5317149236604788,0.6187027743267852,-0.0001295296240491115,0.38279312295966106,0.0,0.008076282425675055,0.7682355078287533,1.0
MD01-M06,WF03,2194,1.0162290397817604,0.9751669871977471,0.9119836587163634,0.6601564700605429,-0.00016049888601544468,0.43580656496279624,-1.3877787807814457e-16,0.01280723560687696,1.2178959455373435,1.0
