candidate_id,trade_count,row_count,activated_count,changed_exit_count,changed_exit_rate,mean_delta_net_return,median_delta_net_return,total_delta_net_pnl,improved_trade_count,worsened_trade_count,rescued_winner_to_loser_count,new_loser_count,mean_holding_hours_saved,exit_rule_authorized
PP10_BREAKEVEN,147,147,74,32,0.21768707482993196,-0.025328465047493514,0.0,-134684.89060079944,17,15,0,14,331.125,False
PP10_FIXED_05,147,147,74,46,0.3129251700680272,-0.022158920642066787,0.0,-120093.38433822701,27,19,16,2,329.30434782608694,False
PP10_RETAIN_25,147,147,74,43,0.2925170068027211,-0.02241557984602895,0.0,-124862.7498506598,26,17,14,2,372.93023255813955,False
PP10_RETAIN_50,147,147,74,62,0.4217687074829932,-0.04200303000871278,0.0,-237523.93633304324,33,29,16,0,386.7096774193548,False
