canonical_asset,canonical_symbol,snapshot_appearances,first_rebalance,last_rebalance,best_rank,mean_rank,source_asset_forms,venue_pair_candidates
cro,CRO,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,4,8.464968152866241,cro,CRO-USDT
matic,MATIC,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,4,11.063694267515924,"matic_eth,pol_eth","MATIC-USDT,POL-USDT"
xvg,XVG,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,4,37.611464968152866,xvg,XVG-USDT
ftt,FTT,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,7,27.32484076433121,ftt,FTT-USDT
bch,BCH,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,11,16.337579617834393,bch,"BCH-USDT,BCHABC-USDT"
icp,ICP,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,12,16.88535031847134,icp,ICP-USDT
etc,ETC,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,14,17.8343949044586,etc,ETC-USDT
leo,LEO,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,14,18.726114649681527,leo_eth,LEO-USDT
qnt,QNT,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,14,20.10828025477707,qnt,QNT-USDT
algo,ALGO,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,14,21.05732484076433,algo,ALGO-USDT
ht,HT,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,14,27.904458598726116,ht,HT-USDT
ldo,LDO,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,15,23.343949044585987,ldo,LDO-USDT
gno,GNO,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,18,23.687898089171973,gno,GNO-USDT
crv,CRV,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,18,25.121019108280255,crv,CRV-USDT
mana,MANA,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,18,26.29299363057325,mana,MANA-USDT
mkr,MKR,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,19,26.936305732484076,mkr,MKR-USDT
neo,NEO,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,23,27.719745222929937,neo,NEO-USDT
xtz,XTZ,17,2022-01-03T00:00:00+00:00,2022-04-25T00:00:00+00:00,23,26.235294117647058,xtz,XTZ-USDT
bsv,BSV,84,2022-01-03T00:00:00+00:00,2023-08-07T00:00:00+00:00,25,30.047619047619047,bsv,BSV-USDT
1inch,1INCH,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,26,31.286624203821656,1inch,1INCH-USDT
flow,FLOW,29,2024-06-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,27,27.17241379310345,flow,FLOW-USDT
xaut,XAUT,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,28,37.4203821656051,xaut,XAUT-USDT
comp,COMP,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,30,34.796178343949045,comp,COMP-USDT
dash,DASH,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,30,38.19108280254777,dash,DASH-USDT
lrc,LRC,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,30,40.394904458598724,lrc_eth,LRC-USDT
btg,BTG,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,30,40.859872611464965,btg,BTG-USDT
zrx,ZRX,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,30,43.89808917197452,zrx,ZRX-USDT
paxg,PAXG,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,31,37.59235668789809,paxg,PAXG-USDT
uma,UMA,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,32,45.98089171974522,uma,UMA-USDT
elf,ELF,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,32,46.961783439490446,elf,ELF-USDT
lpt,LPT,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,33,48.6687898089172,lpt,LPT-USDT
bat,BAT,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,34,39.496815286624205,bat,BAT-USDT
powr,POWR,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,34,50.64331210191083,powr,POWR-USDT
sushi,SUSHI,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,35,46.84076433121019,sushi,SUSHI-USDT
perp,PERP,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,36,58.24203821656051,perp,PERP-USDT
bal,BAL,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,37,47.89171974522293,bal,BAL-USDT
snt,SNT,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,37,52.560509554140125,snt,SNT-USDT
