signal_id,fold_id,mean_rank_ic,mean_top_excess
BN_AVG_TRADE_SIZE_ACCEL_6_42,WF01,-0.01183725597518701,0.000769239120391893
BN_AVG_TRADE_SIZE_ACCEL_6_42,WF02,-0.028355798552842884,-0.0014319102505494477
BN_AVG_TRADE_SIZE_ACCEL_6_42,WF03,-0.00647674771473528,-0.00032760369339963734
BN_FLOW_PRICE_CONFIRMATION_6,WF01,0.012884724286282607,-0.0006915968388457358
BN_FLOW_PRICE_CONFIRMATION_6,WF02,0.010731662085763401,-0.0004139015802516016
BN_FLOW_PRICE_CONFIRMATION_6,WF03,0.002082749392858433,-9.516526571701825e-06
BN_KC_PRICE_BASIS_REVERSION_42,WF01,-0.001806239737274219,-7.882900955961978e-05
BN_KC_PRICE_BASIS_REVERSION_42,WF02,-0.018978749766927105,-0.0004029535675798529
BN_KC_PRICE_BASIS_REVERSION_42,WF03,-0.011635552647423759,-0.0006179636491844024
BN_KC_RETURN_DIVERGENCE_1,WF01,0.022586646153454133,-0.0007060935132011349
BN_KC_RETURN_DIVERGENCE_1,WF02,0.01912956736857628,0.0012662847917359447
BN_KC_RETURN_DIVERGENCE_1,WF03,0.0015151915488349123,-0.0006396994315974951
BN_KC_RETURN_DIVERGENCE_6,WF01,-0.004407938444337161,-0.0005750184338606951
BN_KC_RETURN_DIVERGENCE_6,WF02,-0.003926444054545629,0.0012485837442381314
BN_KC_RETURN_DIVERGENCE_6,WF03,0.012513149037785998,-0.0003862009900390271
BN_KC_TURNOVER_SHARE_ACCEL_6_42,WF01,-0.017529647874475467,-0.0007728807004038124
BN_KC_TURNOVER_SHARE_ACCEL_6_42,WF02,0.019375725533360994,0.0034500213782637005
BN_KC_TURNOVER_SHARE_ACCEL_6_42,WF03,0.0014949615006144101,0.0009160418045315228
BN_LOG_MEDIAN_QUOTE_TURNOVER_42,WF01,0.020195219850392264,0.00033442179842544664
BN_LOG_MEDIAN_QUOTE_TURNOVER_42,WF02,-0.009833270178097764,-0.00012249410619892616
BN_LOG_MEDIAN_QUOTE_TURNOVER_42,WF03,0.015734465480084472,0.000612814843835335
BN_LOW_REALIZED_VOLATILITY_42,WF01,0.05733047497415313,-8.073811035587563e-06
BN_LOW_REALIZED_VOLATILITY_42,WF02,0.05776689101812255,-0.0010290804851145173
BN_LOW_REALIZED_VOLATILITY_42,WF03,0.07955656972050415,0.0006429576732909138
BN_TAKER_BUY_IMBALANCE_1,WF01,-0.003028948488718598,-0.000313879810127116
BN_TAKER_BUY_IMBALANCE_1,WF02,-0.01629976482193231,-0.0011108569591022045
BN_TAKER_BUY_IMBALANCE_1,WF03,-0.004153865940185896,0.00021087850953218504
BN_TAKER_BUY_IMBALANCE_18,WF01,-0.03755002128565347,-0.0006142331690766516
BN_TAKER_BUY_IMBALANCE_18,WF02,-0.0387445340647311,-0.001414433037011265
BN_TAKER_BUY_IMBALANCE_18,WF03,-0.006194516284962866,-0.0003267830183448046
BN_TAKER_BUY_IMBALANCE_6,WF01,-0.023321170102779298,-0.0014275991620312431
BN_TAKER_BUY_IMBALANCE_6,WF02,-0.024720162158585808,0.0003316601258515684
BN_TAKER_BUY_IMBALANCE_6,WF03,-0.016548109679822513,-0.0002336995282030318
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,WF01,0.00726874657909141,0.000651829866646084
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,WF02,-0.02132962822617995,-0.0009903179012359347
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,WF03,-0.010816731789032528,-0.000801084294739632
BN_TRADE_COUNT_ACCEL_6_42,WF01,-0.008053883111354375,-0.00014210772648060046
BN_TRADE_COUNT_ACCEL_6_42,WF02,-0.03272223124439873,-9.520942091948861e-05
BN_TRADE_COUNT_ACCEL_6_42,WF03,-0.011007715982277878,8.869753486608387e-05
BN_TRADE_COUNT_ZSCORE_42,WF01,-0.0072362099373593615,1.1509694800433448e-05
BN_TRADE_COUNT_ZSCORE_42,WF02,-0.02178073705167301,-0.00010822505433505822
BN_TRADE_COUNT_ZSCORE_42,WF03,-0.021059268600252205,0.00031645505054379885
