group_name,trade_count,winning_trade_count,losing_trade_count,net_pnl,gross_pnl,loss_amount,mean_return_fraction,maximum_adverse_excursion,category,non_additive_attribution
FRAUD_OR_INSOLVENCY,7,3,4,-10657.287679340297,-10169.94302606538,15450.620217626374,-0.07931972535152379,-0.4514224369296833,FRAUD_OR_INSOLVENCY,True
ISSUER_OR_PROTOCOL_COLLAPSE,7,3,4,-10657.287679340297,-10169.94302606538,15450.620217626374,-0.07931972535152379,-0.4514224369296833,ISSUER_OR_PROTOCOL_COLLAPSE,True
