query_id_internal,namespace,pilot_month,query_sha256,execution_id,execution_state,submitted_at,started_at,completed_at,execution_cost_credits,usage_credits_before,usage_credits_after,observed_credit_delta,raw_response_path,raw_response_sha256,normalized_path,normalized_sha256,row_count,first_day,last_day,result_download_count,status,failure_reason
bitcoin_2022_03,bitcoin,2022-03,2b5e75bb62d843f58e31edee0b51e4352a53a03d99605109fbaae9c363cd75c9,,SUBSCRIPTION_BLOCKED,2026-07-29T17:25:29.638177+00:00,,,0,0.0,0.0,0.0,,,,,0,,,0,FAILED,DUNE_SUBSCRIPTION_BLOCKS_API_EXECUTION
ethereum_2022_03,ethereum,2022-03,5644ad3866a2a617813ca7137c3bcb33ee1de9fff958f463380d536e76ca12e3,,SUBSCRIPTION_BLOCKED,2026-07-29T17:25:31.509532+00:00,,,0,0.0,0.0,0.0,,,,,0,,,0,FAILED,DUNE_SUBSCRIPTION_BLOCKS_API_EXECUTION
cardano_2022_03,cardano,2022-03,27228385dfb858b22d5dfa523c62457d5125278dec8d1d3d4c2eb7dd7781e74c,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
avalanche_c_2022_03,avalanche_c,2022-03,858ff4becb2157a69a29df181fba156820dc610a4dac41b5f25307ecdd675e18,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
polkadot_2022_03,polkadot,2022-03,4a083214203f8225db656f2594bc7198c87a18009cb5ffaae6212a14c19b773a,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
bitcoin_2023_03,bitcoin,2023-03,d2f6f768ad29cda6ca00a4ab8cea13a46e11962a2f91d9575ba0db787aa19af6,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
ethereum_2023_03,ethereum,2023-03,38355ef25253fd8f5a2e204249910e4dd82d34457067f89af84166aeb91744bf,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
cardano_2023_03,cardano,2023-03,9517f1e3aa3276f19c527e69b55c49a3d05fd3a65f0ae72d4da5aa80e914a465,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
avalanche_c_2023_03,avalanche_c,2023-03,1c26bfb9fe635fd51c2e9d2d82209a8c50d187d1ef0aa942f344075a32568934,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
polkadot_2023_03,polkadot,2023-03,80f2ef03780338add65a5ad9806e221e133a6daefa8ddd1d7e37af170f39048b,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
bitcoin_2024_03,bitcoin,2024-03,d485a44587eaa95f1c95dfbffd2ba2c91efc35354d0fab54b7cd6396c7803492,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
ethereum_2024_03,ethereum,2024-03,541e6ebb05919d5f5f82ea269a8039b0c2da73c5ace1d05481fc24544d4c96e5,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
cardano_2024_03,cardano,2024-03,bf1a9c7757cfb6a303a3b7c622da5baedb1cab530358845c2b37f258f02a3ff7,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
avalanche_c_2024_03,avalanche_c,2024-03,f67f974dd61cd9efaa3b80d8a3c30724c5dad99b4c87071b402f7c7d691c088a,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
polkadot_2024_03,polkadot,2024-03,77d27ea60583497d7004013d1b6572109f41047dbc6fa6e8ae623578a810e473,,NOT_SUBMITTED,,,,0,,,0,,,,,0,,,0,NOT_EXECUTED,RD09B_DUNE_API_EXECUTION_BLOCKED
