rank,namespace,asset,raw_catalog_supported,mapping_effective_history_known,selected_before_acquisition,selection_reason
1,bitcoin,BTC,True,True,True,PREVIOUS_DETERMINISTIC_NAMESPACE_REGISTRY
2,ethereum,ETH,True,True,True,PREVIOUS_DETERMINISTIC_NAMESPACE_REGISTRY
3,cardano,ADA,True,True,True,PREVIOUS_DETERMINISTIC_NAMESPACE_REGISTRY
4,avalanche_c,AVAX,True,True,True,PREVIOUS_DETERMINISTIC_NAMESPACE_REGISTRY
5,polkadot,DOT,True,True,True,FIFTH_PREVIOUS_DETERMINISTIC_RANK
