signal_id,symbol,aggregate_contribution
BN_TAKER_BUY_IMBALANCE_18,COMP,-0.0193425247519551
BN_TAKER_BUY_IMBALANCE_18,LDO,0.10362955863919884
BN_TAKER_BUY_IMBALANCE_18,PAXG,-0.09944154954497259
BN_TAKER_BUY_IMBALANCE_18,1INCH,-0.18330459919582245
BN_TAKER_BUY_IMBALANCE_18,AAVE,0.023462485563494485
BN_TAKER_BUY_IMBALANCE_18,ICP,0.0036899450917980163
BN_TAKER_BUY_IMBALANCE_18,QNT,-0.063190349612981
BN_TAKER_BUY_IMBALANCE_18,SHIB,0.01813393257802924
BN_TAKER_BUY_IMBALANCE_18,ADA,-0.001392647294222666
BN_TAKER_BUY_IMBALANCE_18,XMR,-0.09543088984881809
BN_TAKER_BUY_IMBALANCE_18,ETH,-0.03128240228158431
BN_TAKER_BUY_IMBALANCE_18,LINK,0.014903557174607295
BN_TAKER_BUY_IMBALANCE_18,DOGE,0.0988884118789904
BN_TAKER_BUY_IMBALANCE_18,UNI,0.04518528061645506
BN_TAKER_BUY_IMBALANCE_18,SNX,-0.03268233687556645
BN_TAKER_BUY_IMBALANCE_18,LTC,-0.03001262464954571
BN_TAKER_BUY_IMBALANCE_18,MANA,-0.03037250015018288
BN_TAKER_BUY_IMBALANCE_18,BTC,0.005631986789171155
BN_TAKER_BUY_IMBALANCE_18,ZEC,0.07733913946091074
BN_TAKER_BUY_IMBALANCE_18,AVAX,0.015272271853726949
BN_TAKER_BUY_IMBALANCE_18,CRV,-0.07313722332518746
BN_TAKER_BUY_IMBALANCE_18,NEO,0.027777391948730305
BN_TAKER_BUY_IMBALANCE_18,XRP,0.08282864032776208
BN_TAKER_BUY_IMBALANCE_18,DASH,-0.035284030348100515
BN_TAKER_BUY_IMBALANCE_18,LRC,-0.022550156347277677
BN_TAKER_BUY_IMBALANCE_18,ETC,-0.04380888984144235
BN_TAKER_BUY_IMBALANCE_18,XLM,-0.1184119485911898
BN_TAKER_BUY_IMBALANCE_18,FTT,-0.033682090494674286
BN_TAKER_BUY_IMBALANCE_18,MATIC,-0.0841896291808656
BN_TAKER_BUY_IMBALANCE_18,BAT,-0.00543457135726457
BN_TAKER_BUY_IMBALANCE_18,UMA,-0.014949747666439684
BN_TAKER_BUY_IMBALANCE_18,LPT,-0.05034434915865059
BN_TAKER_BUY_IMBALANCE_18,ZRX,0.06593904546141922
BN_TAKER_BUY_IMBALANCE_18,FLOW,-0.030449255863247295
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,1INCH,0.008279190983295364
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,ADA,0.008076947584608089
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,MANA,0.12597026506180942
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,NEO,0.0711157903679157
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,PAXG,-0.13485069195342422
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,XMR,-0.03328873726187362
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,AAVE,0.03472301263038822
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,AVAX,0.07428963968211559
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,DASH,-0.046462713762353766
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,ICP,0.07949235326609064
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,QNT,-0.11721398107380868
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,CRV,-0.08189401349514074
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,ZEC,-0.1527539187631719
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,BCH,-0.0066896117533024515
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,LINK,-0.031590863870987265
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,XLM,-0.09111162438877574
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,ETH,-0.029276151489637935
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,BAL,-0.003698609864931096
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,SHIB,-4.3356220244511034e-05
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,UNI,-0.0004634272562610356
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,ALGO,0.026198203650521855
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,LTC,0.0017394759016766109
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,DOGE,0.07062412712189131
