symbol,trade_count,winning_trade_count,mean_return,median_return,total_net_pnl,positive_fold_count,observed_fold_count
DOGE,5,1,0.29346093387615896,-0.08760128289564999,71212.58949418378,1,3
XLM,4,2,0.21810582717055388,0.008856102181540482,59776.21881050239,1,2
DEXE,8,3,0.2547883766771834,-0.03153133256419952,59157.75577501169,2,3
AVAX,5,3,0.2085721424262609,0.052240115352153685,40475.56884637523,2,3
ADA,4,3,0.09725494031549148,0.13816731010899078,30911.91341371744,2,2
SUI,5,3,0.13199466079352093,0.14610720425301807,28219.134528787537,1,1
SEI,4,2,0.1413035402131831,-0.007712290401280578,21970.21924255935,1,2
SOL,9,3,0.18030441892319568,-0.04313544913704674,21649.315897366607,1,3
ZEC,3,2,0.1407639824849787,0.16669589251567762,18236.360842336377,1,2
PEPE,5,3,0.1158074501112089,0.014902212741898147,15125.622829156922,2,2
LINK,4,1,0.191554690101216,-0.06084801270873398,14998.942889653283,1,2
GRAM,7,3,0.046806517538267485,-0.013145591578888827,7976.197891847565,2,2
ETH,3,2,0.04429745025020057,0.05847534160301108,3389.399406879731,2,3
TAO,1,1,0.03639616565720545,0.03639616565720545,1590.305966681959,1,1
BTC,5,3,0.0007890518071159786,0.0076339627829453685,46.47075325632625,2,3
TRX,8,3,0.013732401587051293,-0.012916814038373303,-59.59174647666805,1,3
UNI,7,5,0.03639971253503442,0.10262278749990218,-1255.2111505630387,2,3
DOT,1,0,-0.07588173773491452,-0.07588173773491452,-2050.471317573178,0,1
SHIB,4,2,-0.03694948153069672,-0.020051001183236737,-2425.847270779542,2,3
BNB,4,0,-0.07031988613248769,-0.031306189876989625,-4737.871334327912,0,3
AAVE,9,6,0.021158017564180523,0.0220759708630214,-5580.786342420906,1,3
XMR,6,2,-0.027041000766734834,-0.025135187548152797,-5830.4022363355325,1,3
LTC,3,0,-0.1363421720500342,-0.1283955299691444,-6742.407490650105,0,2
ENA,3,1,0.11224968608108112,-0.08536604571462832,-7178.583120132306,0,1
ONDO,2,0,-0.14979589014576872,-0.14979589014576872,-13192.834276082105,0,1
SYN,4,2,-0.07233414431734249,-0.07406974974105636,-13416.767774662876,1,2
SNX,10,2,-0.09677564827830087,-0.09139877872551537,-13759.4338481225,1,2
NEAR,8,4,-0.048952880447203924,-0.06325216736338782,-15562.655642706695,0,3
XRP,6,1,-0.0755545613406716,-0.08296453059819447,-18967.531065002437,0,3
