source_id,symbol,expected_bar_count,observed_bar_count,missing_bar_count,largest_gap_bars,first_valid_bar,last_valid_bar,complete_lookback_feasibility,gap_classification
OHLCV_4H,1INCH,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,AAVE,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,ADA,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,ALGO,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,AVAX,8386,8386,0,0,2021-03-05T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,BAL,7294,7294,0,0,2021-09-03T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,BAT,8538,8538,0,0,2021-02-08T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,BCH,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,BNB,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,BTC,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,COMP,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,CRO,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,CRV,8644,8644,0,0,2021-01-21T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,CVC,323,323,0,0,2024-11-08T04:00:00+00:00,2024-12-31T20:00:00+00:00,False,NONE
OHLCV_4H,DASH,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,DCR,2434,2434,0,0,2023-11-22T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,DEXE,7146,7146,0,0,2021-09-28T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,DGB,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,DOGE,8532,8532,0,0,2021-02-09T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,DOT,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,ENA,1206,1206,0,0,2024-06-14T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,ETC,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,ETH,8766,8766,0,0,2021-01-01T00:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
OHLCV_4H,FLOW,7228,7228,0,0,2021-09-14T08:00:00+00:00,2024-12-31T20:00:00+00:00,True,NONE
