signal_id,family,signal_class,minimum_bars,higher_score_preferred
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,CONFIRMATORY_NOVEL,43,True
REVERSAL_3BAR_VOL_NORMALIZED,REVERSAL,CONFIRMATORY_NOVEL,43,True
REVERSAL_6BAR_VOL_NORMALIZED,REVERSAL,CONFIRMATORY_NOVEL,43,True
DISTANCE_FROM_EMA20_ATR_4H,REVERSAL,CONFIRMATORY_NOVEL,20,True
RETURN_6BAR,CONTINUATION,CONFIRMATORY_NOVEL,7,True
RETURN_18BAR,CONTINUATION,CONFIRMATORY_NOVEL,19,True
RETURN_42BAR,CONTINUATION,CONFIRMATORY_NOVEL,43,True
XSM_18BAR_SKIP_1BAR,CONTINUATION,CONFIRMATORY_NOVEL,20,True
DONCHIAN_42_POSITION,BREAKOUT,CONFIRMATORY_NOVEL,43,True
PATH_EFFICIENCY_42BAR,PATH_QUALITY,CONFIRMATORY_NOVEL,43,True
VOLATILITY_CONTRACTION_BREAKOUT_4H,VOLATILITY,CONFIRMATORY_NOVEL,142,True
QUOTE_TURNOVER_ACCELERATION_6_42,TURNOVER,CONFIRMATORY_NOVEL,42,True
PRICE_TURNOVER_CONFIRMATION_18,TURNOVER,CONFIRMATORY_NOVEL,42,True
LOW_REALIZED_VOLATILITY_42,QUALITY_REPLICATION,POST_HOC_DIRECTIONAL_REPLICATION,43,True
DRAWDOWN_RESILIENCE_42,QUALITY_REPLICATION,POST_HOC_DIRECTIONAL_REPLICATION,42,True
