signal_id,raw_p_value,bh_adjusted_p_value,block_length
MKT_PIT_EW_RETURN_6BAR,0.8274172582741726,0.9088321937037066,28
MKT_PIT_EW_RETURN_18BAR,0.296970302969703,0.593940605939406,28
MKT_PIT_EW_RETURN_42BAR,0.15008499150084992,0.593940605939406,28
MKT_BREADTH_POSITIVE_6BAR,0.828017198280172,0.9088321937037066,28
MKT_BREADTH_THRUST_6_42,0.9135086491350864,0.9135086491350864,28
MKT_BREADTH_ABOVE_EMA20,0.47735226477352266,0.8295570442955705,28
MKT_CROSS_SECTIONAL_DISPERSION_42,0.2913708629137086,0.593940605939406,28
MKT_DISPERSION_ACCEL_18_42,0.020397960203979604,0.14278572142785723,28
MKT_AVG_PAIRWISE_CORRELATION_42,0.538046195380462,0.8295570442955705,28
MKT_CORRELATION_CHANGE_18_42,0.18148185181481852,0.593940605939406,28
MKT_AGG_QUOTE_TURNOVER_ACCEL_6_42,0.003999600039996,0.05599440055994401,28
MKT_BN_AGG_TAKER_IMBALANCE_6,0.5925407459254075,0.8295570442955705,28
MKT_BN_KC_RETURN_DIVERGENCE_6,0.21897810218978103,0.593940605939406,28
MKT_LOW_REALIZED_VOLATILITY_42,0.8439156084391561,0.9088321937037066,28
