signal_id,grid_id,decision_count,evaluable_decision_count,mean_rank_ic,median_rank_ic,ic_information_ratio,positive_ic_share,mean_top_excess
BN_AVG_TRADE_SIZE_ACCEL_6_42,PRIMARY_GRID,728,728,-0.013271910818329919,-0.0120415982484948,-0.06600435599213567,0.4835164835164835,-0.0003324829336727006
BN_AVG_TRADE_SIZE_ACCEL_6_42,REPLICATION_A,727,727,-0.01649177293322937,-0.012807881773399015,-0.08273266274463716,0.47730398899587345,3.052959999464166e-05
BN_AVG_TRADE_SIZE_ACCEL_6_42,REPLICATION_B,727,727,-0.015542413706811562,-0.020251778872468526,-0.07821135689357388,0.45529573590096284,-8.430668990979912e-05
BN_FLOW_PRICE_CONFIRMATION_6,PRIMARY_GRID,728,728,0.006915795534239004,-0.0019157088122605365,0.033052072859697364,0.4958791208791209,-0.0002792590210484434
BN_FLOW_PRICE_CONFIRMATION_6,REPLICATION_A,727,727,-0.0026904884562473936,0.003284072249589491,-0.013744043499082202,0.5075653370013755,-0.0004696523883287186
BN_FLOW_PRICE_CONFIRMATION_6,REPLICATION_B,727,727,-0.00501622932354,-0.0038314176245210726,-0.025092890629797904,0.4855570839064649,-0.00011236684649881106
BN_KC_PRICE_BASIS_REVERSION_42,PRIMARY_GRID,728,728,-0.011041027306658228,-0.019314976211527935,-0.05649750584840686,0.4684065934065934,-0.00043090860799691776
BN_KC_PRICE_BASIS_REVERSION_42,REPLICATION_A,727,727,-0.022580693648510265,-0.018609742747673783,-0.1181319392605009,0.47455295735900965,-0.0011109327098390823
BN_KC_PRICE_BASIS_REVERSION_42,REPLICATION_B,727,727,-0.028623006794993706,-0.03251231527093596,-0.15106825529220325,0.44291609353507566,-0.0011278676420174725
BN_KC_RETURN_DIVERGENCE_1,PRIMARY_GRID,728,728,0.011128760543373908,0.023645320197044337,0.05505514346067448,0.5357142857142857,-0.00017961949484195808
BN_KC_RETURN_DIVERGENCE_1,REPLICATION_A,727,727,0.01102814418839234,0.009852216748768473,0.0561538858189823,0.517193947730399,0.00013170057171382448
BN_KC_RETURN_DIVERGENCE_1,REPLICATION_B,727,727,0.026944708535950476,0.022660098522167486,0.13723559646841435,0.547455295735901,9.840929889456792e-05
BN_KC_RETURN_DIVERGENCE_6,PRIMARY_GRID,728,728,0.004219465398244069,0.004433497536945813,0.021506216592376812,0.5123626373626373,-2.4190438183886095e-05
BN_KC_RETURN_DIVERGENCE_6,REPLICATION_A,727,727,0.013224390485781116,0.0049261083743842365,0.0672034738352341,0.5185694635488308,0.0005206545272080809
BN_KC_RETURN_DIVERGENCE_6,REPLICATION_B,727,727,0.03372777096435255,0.03296703296703297,0.17058285469479054,0.5680880330123796,0.001205572424037479
BN_KC_TURNOVER_SHARE_ACCEL_6_42,PRIMARY_GRID,728,728,0.0012612655753997174,-0.0015599343185550081,0.006185908373816354,0.4958791208791209,0.001131945968722314
